Ball,Runs,Commentary
44.6,W,"A Rashid to T Boult, WICKET!!! T Boult is out st Jos Buttler b Adil Rashid, 79.6 km/h good length just outside off stump."
44.5,•,"A Rashid to T Boult, no run, 75.7 km/h good length just outside off stump."
44.4,4,"A Rashid to T Boult, FOUR, 77.6 km/h good length on middle stump."
44.3,•,"A Rashid to T Boult, no run, 80.2 km/h good length going down leg."
44.2,•,"A Rashid to T Boult, no run, 80.1 km/h good length outside off stump."
44.1,1,"A Rashid to T Southee, one run, 78.2 km/h full length going down leg."
43.6,•,"M Wood to T Boult, no run, 144.7 km/h good length going down leg."
43.5,•,"M Wood to T Boult, no run, 138.6 km/h full length on off stump."
43.4,W,"M Wood to M Henry, WICKET!!! M Henry is out b Mark Wood, 147.0 km/h good length on leg stump."
43.3,1,"M Wood to T Southee, one run, 146.8 km/h good length on middle stump."
43.2,•,"M Wood to T Southee, no run, 124.7 km/h good length outside off stump."
43.1,•,"M Wood to T Southee, no run, 147.7 km/h short length on middle stump."
42.6,2B,"A Rashid to M Henry, 2 byes."
42.5,1,"A Rashid to T Southee, one run."
42.4,•,"A Rashid to T Southee, no run."
42.3,•,"A Rashid to T Southee, no run."
42.2,1,"A Rashid to M Henry, one run, 76.4 km/h good length outside off stump."
42.1,•,"A Rashid to M Henry, no run, 75.4 km/h full length on off stump."
41.6,•,"M Wood to T Southee, no run, 142.1 km/h short length going down leg."
41.5,•,"M Wood to T Southee, no run, 145.4 km/h short length just outside off stump."
41.4,•,"M Wood to T Southee, no run, 147.2 km/h full length on off stump."
41.3,•,"M Wood to T Southee, no run, 141.9 km/h short length on middle stump."
41.2,1,"M Wood to M Henry, one run, 143.8 km/h short length going down leg."
41.1,•,"M Wood to M Henry, no run, 139.8 km/h short length just outside off stump."
40.6,1,"A Rashid to M Henry, one run, 79.6 km/h short length going down leg."
40.5,•,"A Rashid to M Henry, no run, 86.4 km/h good length outside off stump."
40.4,•,"A Rashid to M Henry, no run."
40.3,1,"A Rashid to T Southee, one run."
40.2,1,"A Rashid to M Henry, one run, 78.7 km/h good length going down leg."
40.1,1,"A Rashid to T Southee, one run, 76.1 km/h full length outside off stump."
39.6,•,"M Wood to M Henry, no run, 128.6 km/h good length going down leg."
39.5,•,"M Wood to M Henry, no run, 142.9 km/h good length just outside off stump."
39.4,1,"M Wood to T Southee, one run, 145.4 km/h short length outside off stump."
39.4,1Wd,"M Wood to T Southee, wide delivery."
39.3,3,"M Wood to M Henry, three runs, 145.3 km/h full length just outside off stump."
39.2,W,"M Wood to M Santner, WICKET!!! M Santner is out lbw Mark Wood."
39.1,•,"M Wood to M Santner, no run, 143.3 km/h good length just outside off stump."
38.6,1,"L Plunkett to M Santner, one run, 131.7 km/h short length going down leg."
38.5,1,"L Plunkett to T Southee, one run, 130.5 km/h full length going down leg."
38.4,•,"L Plunkett to T Southee, no run, 128.3 km/h good length just outside off stump."
38.3,W,"L Plunkett to T Latham, WICKET!!! T Latham is out c Jos Buttler b Liam Plunkett, 128.5 km/h short length on leg stump."
38.2,•,"L Plunkett to T Latham, no run, 128.8 km/h good length on off stump."
38.1,•,"L Plunkett to T Latham, no run, 117.2 km/h full length on off stump."
37.6,4,"C Woakes to M Santner, FOUR, 136.0 km/h good length outside off stump."
37.5,1,"C Woakes to T Latham, one run, 134.9 km/h good length just outside off stump."
37.4,•,"C Woakes to T Latham, no run, 129.3 km/h good length on middle stump."
37.3,4,"C Woakes to T Latham, FOUR, 134.5 km/h full length on leg stump."
37.2,2,"C Woakes to T Latham, two runs, 132.2 km/h good length outside off stump."
37.1,•,"C Woakes to T Latham, no run, 133.2 km/h good length going down leg."
36.6,•,"B Stokes to M Santner, no run, 140.5 km/h full length going down leg."
36.5,•,"B Stokes to M Santner, no run, 137.0 km/h short length just outside off stump."
36.4,1,"B Stokes to T Latham, one run, 138.5 km/h short length outside off stump."
36.3,•,"B Stokes to T Latham, no run, 132.6 km/h short length outside off stump."
36.2,•,"B Stokes to T Latham, no run, 133.7 km/h good length just outside off stump."
36.1,1,"B Stokes to M Santner, one run, 138.2 km/h short length on off stump."
35.6,3,"C Woakes to M Santner, three runs, 133.8 km/h short length on leg stump."
35.5,•,"C Woakes to M Santner, no run, 134.0 km/h good length just outside off stump."
35.4,•,"C Woakes to M Santner, no run."
35.3,1,"C Woakes to T Latham, one run, 134.7 km/h good length just outside off stump."
35.2,•,"C Woakes to T Latham, no run, 136.7 km/h full length just outside off stump."
35.1,•,"C Woakes to T Latham, no run, 133.2 km/h good length just outside off stump."
34.6,•,"B Stokes to M Santner, no run, 110.8 km/h short length outside off stump."
34.5,•,"B Stokes to M Santner, no run, 136.7 km/h short length just outside off stump."
34.4,•,"B Stokes to M Santner, no run, 135.3 km/h full length just outside off stump."
34.3,1,"B Stokes to T Latham, one run, 141.0 km/h short length on off stump."
34.2,•,"B Stokes to T Latham, no run, 143.9 km/h short length outside off stump."
34.1,•,"B Stokes to T Latham, no run, 116.0 km/h good length just outside off stump."
33.6,1,"C Woakes to T Latham, one run, 128.6 km/h short length going down leg."
33.5,4,"C Woakes to T Latham, FOUR, 122.0 km/h full length just outside off stump."
33.4,•,"C Woakes to T Latham, no run, 131.1 km/h short length on off stump."
33.3,1,"C Woakes to M Santner, one run, 133.8 km/h full length just outside off stump."
33.2,1,"C Woakes to T Latham, one run, 128.9 km/h short length on middle stump."
33.1,•,"C Woakes to T Latham, no run, 131.5 km/h good length going down leg."
32.6,•,"B Stokes to M Santner, no run, 144.9 km/h short length on off stump."
32.5,•,"B Stokes to M Santner, no run, 133.8 km/h full length on middle stump."
32.4,•,"B Stokes to M Santner, no run, 136.7 km/h short length just outside off stump."
32.3,1,"B Stokes to T Latham, one run, 136.8 km/h good length on off stump."
32.2,1,"B Stokes to M Santner, one run, 119.3 km/h good length outside off stump."
32.1,1Lb,"B Stokes to T Latham, 1 leg bye."
31.6,•,"J Archer to M Santner, no run, 140.3 km/h short length on middle stump."
31.5,•,"J Archer to M Santner, no run, 137.4 km/h full length just outside off stump."
31.4,1,"J Archer to T Latham, one run, 141.3 km/h good length on middle stump."
31.3,•,"J Archer to T Latham, no run, 138.1 km/h good length just outside off stump."
31.2,•,"J Archer to T Latham, no run, 146.8 km/h short length just outside off stump."
31.1,•,"J Archer to T Latham, no run, 138.6 km/h short length outside off stump."
30.6,•,"B Stokes to M Santner, no run, 143.7 km/h short length on middle stump."
30.5,1,"B Stokes to T Latham, one run, 127.6 km/h short length on middle stump."
30.4,1,"B Stokes to M Santner, one run, 131.9 km/h good length outside off stump."
30.3,1,"B Stokes to T Latham, one run, 122.6 km/h good length going down leg."
30.2,•,"B Stokes to T Latham, no run, 128.7 km/h good length just outside off stump."
30.1,•,"B Stokes to T Latham, no run, 136.3 km/h short length just outside off stump."
29.6,•,"J Archer to M Santner, no run, 139.3 km/h good length just outside off stump."
29.5,•,"J Archer to M Santner, no run, 135.4 km/h full length on leg stump."
29.4,•,"J Archer to M Santner, no run, 132.8 km/h short length just outside off stump."
29.3,•,"J Archer to M Santner, no run, 136.2 km/h good length on middle stump."
29.2,•,"J Archer to M Santner, no run, 138.2 km/h good length just outside off stump."
29.1,1Lb,"J Archer to T Latham, 1 leg bye."
29.1,1Wd,"J Archer to T Latham, wide delivery."
28.6,•,"B Stokes to M Santner, no run, 134.9 km/h good length on off stump."
28.6,1Wd,"B Stokes to M Santner, wide delivery."
28.5,•,"B Stokes to M Santner, no run, 135.7 km/h short length outside off stump."
28.4,•,"B Stokes to M Santner, no run, 130.6 km/h short length just outside off stump."
28.3,1,"B Stokes to T Latham, one run, 132.6 km/h short length outside off stump."
28.2,•,"B Stokes to T Latham, no run, 128.9 km/h short length just outside off stump."
28.1,W,"B Stokes to C de Grandhomme, WICKET!!! C de Grandhomme is out c Joe Root b Ben Stokes, 129.3 km/h short length on middle stump."
27.6,•,"M Wood to T Latham, no run, 149.0 km/h short length on middle stump."
27.5,1,"M Wood to C de Grandhomme, one run, 148.0 km/h short length just outside off stump."
27.4,•,"M Wood to C de Grandhomme, no run, 144.7 km/h short length on leg stump."
27.3,•,"M Wood to C de Grandhomme, no run, 125.1 km/h short length outside off stump."
27.2,•,"M Wood to C de Grandhomme, no run, 146.1 km/h short length just outside off stump."
27.1,1,"M Wood to T Latham, one run, 142.9 km/h good length just outside off stump."
26.6,1Lb,"L Plunkett to T Latham, 1 leg bye."
26.5,1,"L Plunkett to C de Grandhomme, one run, 131.2 km/h short length outside off stump."
26.4,•,"L Plunkett to C de Grandhomme, no run, 132.4 km/h short length going down leg."
26.3,•,"L Plunkett to C de Grandhomme, no run, 133.6 km/h short length just outside off stump."
26.2,•,"L Plunkett to C de Grandhomme, no run, 129.8 km/h full length on off stump."
26.1,•,"L Plunkett to C de Grandhomme, no run, 131.8 km/h full length going down leg."
25.6,•,"M Wood to T Latham, no run."
25.5,•,"M Wood to T Latham, no run."
25.4,1,"M Wood to C de Grandhomme, one run."
25.3,•,"M Wood to C de Grandhomme, no run."
25.2,•,"M Wood to C de Grandhomme, no run."
25.1,W,"M Wood to J Neesham, WICKET!!! J Neesham is out b Mark Wood."
24.6,•,"L Plunkett to T Latham, no run, 128.6 km/h good length on off stump."
24.5,4,"L Plunkett to T Latham, FOUR, 128.6 km/h good length outside off stump."
24.4,1,"L Plunkett to J Neesham, one run, 130.4 km/h short length on middle stump."
24.3,•,"L Plunkett to J Neesham, no run, 129.7 km/h short length on middle stump."
24.2,1,"L Plunkett to T Latham, one run, 129.1 km/h short length going down leg."
24.2,1Wd,"L Plunkett to T Latham, wide delivery."
24.1,1,"L Plunkett to J Neesham, one run, 129.8 km/h short length on off stump."
23.6,1,"M Wood to J Neesham, one run, 146.8 km/h good length going down leg."
23.5,3,"M Wood to T Latham, three runs, 129.9 km/h full length on middle stump."
23.4,2,"M Wood to T Latham, two runs, 141.5 km/h short length on middle stump."
23.3,1Lb,"M Wood to J Neesham, 1 leg bye."
23.2,•,"M Wood to J Neesham, no run, 143.6 km/h short length on off stump."
23.1,•,"M Wood to J Neesham, no run, 142.3 km/h short length on off stump."
22.6,2,"L Plunkett to T Latham, two runs, 128.2 km/h short length going down leg."
22.5,•,"L Plunkett to T Latham, no run, 127.8 km/h good length on off stump."
22.4,•,"L Plunkett to T Latham, no run, 130.8 km/h good length just outside off stump."
22.3,1,"L Plunkett to J Neesham, one run, 129.9 km/h good length just outside off stump."
22.2,•,"L Plunkett to J Neesham, no run, 129.0 km/h good length on off stump."
22.1,1,"L Plunkett to T Latham, one run, 126.0 km/h short length going down leg."
21.6,1,"J Root to T Latham, one run, 95.0 km/h good length on leg stump."
21.5,1,"J Root to J Neesham, one run, 84.9 km/h good length going down leg."
21.4,4,"J Root to J Neesham, FOUR, 89.9 km/h good length outside off stump."
21.3,1,"J Root to T Latham, one run, 93.1 km/h short length outside off stump."
21.2,•,"J Root to T Latham, no run, 85.5 km/h full length just outside off stump."
21.1,•,"J Root to T Latham, no run, 92.9 km/h good length just outside off stump."
20.6,1,"A Rashid to T Latham, one run, 75.7 km/h good length just outside off stump."
20.5,2,"A Rashid to T Latham, two runs, 76.4 km/h full length on middle stump."
20.4,4,"A Rashid to T Latham, FOUR, 86.4 km/h good length outside off stump."
20.3,•,"A Rashid to T Latham, no run, 76.1 km/h good length just outside off stump."
20.2,2,"A Rashid to T Latham, two runs, 76.1 km/h good length on off stump."
20.1,1,"A Rashid to J Neesham, one run, 80.0 km/h good length outside off stump."
