Ball,Runs,Commentary
42.6,•,"I Udana to F Allen, no run, 131.5 km/h full length on middle stump."
49.6,•,"A Mathews to S Cottrell, no run, 113.4 km/h good length outside off stump."
49.5,1,"A Mathews to S Gabriel, one run, 123.0 km/h good length on leg stump."
49.4,1,"A Mathews to S Cottrell, one run, 116.6 km/h full length going down leg."
49.3,1,"A Mathews to S Gabriel, one run, 126.3 km/h short length going down leg."
49.2,•,"A Mathews to S Gabriel, no run, 118.7 km/h good length just outside off stump."
49.1,•,"A Mathews to S Gabriel, no run, 124.3 km/h good length going down leg."
48.6,1,"L Malinga to S Gabriel, one run, 132.2 km/h full length on off stump."
48.5,•,"L Malinga to S Gabriel, no run, 132.1 km/h full length going down leg."
48.4,•,"L Malinga to S Gabriel, no run, 132.7 km/h full length on middle stump."
48.3,W,"L Malinga to O Thomas, WICKET!!! O Thomas is out lbw Lasith Malinga, 136.6 km/h full length on leg stump."
48.2,•,"L Malinga to O Thomas, no run, 129.4 km/h full toss just outside off stump."
48.1,•,"L Malinga to O Thomas, no run, 133.2 km/h full length outside off stump."
47.6,•,"A Mathews to S Cottrell, no run, 121.9 km/h good length on middle stump."
47.5,2,"A Mathews to S Cottrell, two runs, 124.2 km/h good length going down leg."
47.4,1,"A Mathews to O Thomas, one run, 123.1 km/h full length outside off stump."
47.3,•,"A Mathews to O Thomas, no run."
47.2,•,"A Mathews to O Thomas, no run."
47.1,W,"A Mathews to N Pooran, WICKET!!! N Pooran is out c Kusal Perera b Angelo Mathews, 115.5 km/h full length outside off stump."
46.6,•,"I Udana to S Cottrell, no run, 127.9 km/h short length on middle stump."
46.6,1Wd,"I Udana to S Cottrell, wide delivery."
46.5,2,"I Udana to S Cottrell, two runs, 128.9 km/h short length on middle stump."
46.4,•,"I Udana to S Cottrell, no run, 129.0 km/h short length outside off stump."
46.3,1,"I Udana to N Pooran, one run, 135.4 km/h good length on middle stump."
46.2,4,"I Udana to N Pooran, FOUR, 130.7 km/h short length just outside off stump."
46.1,1,"I Udana to S Cottrell, one run, 132.1 km/h short length just outside off stump."
45.6,•,"L Malinga to N Pooran, no run, 128.5 km/h full toss just outside off stump."
45.6,1Wd,"L Malinga to N Pooran, wide delivery."
45.5,1,"L Malinga to S Cottrell, one run, 132.1 km/h full length on leg stump."
