Ball,Runs,Commentary
16.1,1,"J Mendis to C Munro, one run, 79.9 km/h good length going down leg."
15.6,2,"L Malinga to M Guptill, two runs, 112.3 km/h full toss on leg stump."
15.5,•,"L Malinga to M Guptill, no run, 132.6 km/h full toss on off stump."
15.5,5Nb,"L Malinga to M Guptill, 5 runs, no-ball."
15.4,4,"L Malinga to M Guptill, FOUR, 138.1 km/h short length going down leg."
15.4,1Wd,"L Malinga to M Guptill, wide delivery."
15.3,2,"L Malinga to M Guptill, two runs, 112.0 km/h short length on middle stump."
15.2,1,"L Malinga to C Munro, one run, 130.3 km/h short length going down leg."
15.1,1,"L Malinga to M Guptill, one run, 102.3 km/h good length going down leg."
14.6,1,"J Mendis to M Guptill, one run, 83.0 km/h good length outside off stump."
14.5,6,"J Mendis to M Guptill, SIX, 81.8 km/h good length going down leg."
14.4,1,"J Mendis to C Munro, one run, 83.2 km/h good length going down leg."
14.3,1Lb,"J Mendis to M Guptill, 1 leg bye."
14.2,•,"J Mendis to M Guptill, no run, 83.1 km/h good length going down leg."
14.1,2,"J Mendis to M Guptill, two runs, 82.8 km/h good length going down leg."
13.6,•,"NTLC Perera to C Munro, no run, 125.9 km/h short length just outside off stump."
13.5,4,"NTLC Perera to C Munro, FOUR, 127.8 km/h full length outside off stump."
13.4,•,"NTLC Perera to C Munro, no run, 130.1 km/h good length just outside off stump."
13.3,2,"NTLC Perera to C Munro, two runs, 132.8 km/h short length just outside off stump."
13.2,1,"NTLC Perera to M Guptill, one run, 130.3 km/h short length just outside off stump."
13.1,1,"NTLC Perera to C Munro, one run, 126.2 km/h short length just outside off stump."
12.6,6,"I Udana to M Guptill, SIX, 132.8 km/h good length on middle stump."
12.5,2,"I Udana to M Guptill, two runs, 128.1 km/h short length on middle stump."
12.4,•,"I Udana to M Guptill, no run, 129.9 km/h good length on off stump."
12.3,1,"I Udana to C Munro, one run, 127.0 km/h good length just outside off stump."
12.2,•,"I Udana to C Munro, no run, 129.3 km/h good length just outside off stump."
12.1,1,"I Udana to M Guptill, one run, 131.4 km/h full length outside off stump."
11.6,1,"NTLC Perera to M Guptill, one run, 127.6 km/h full length outside off stump."
11.5,1,"NTLC Perera to C Munro, one run, 135.8 km/h short length on middle stump."
11.4,4,"NTLC Perera to C Munro, FOUR, 131.6 km/h short length just outside off stump."
11.3,1,"NTLC Perera to M Guptill, one run, 126.9 km/h full length just outside off stump."
11.2,1,"NTLC Perera to C Munro, one run, 130.9 km/h good length outside off stump."
11.1,1Lb,"NTLC Perera to M Guptill, 1 leg bye."
10.6,1,"I Udana to M Guptill, one run, 129.5 km/h good length on off stump."
10.5,1,"I Udana to C Munro, one run, 135.3 km/h full length on leg stump."
10.4,•,"I Udana to C Munro, no run, 127.1 km/h short length just outside off stump."
10.3,1,"I Udana to M Guptill, one run, 100.7 km/h short length going down leg."
10.2,1,"I Udana to C Munro, one run, 125.6 km/h short length outside off stump."
10.1,1,"I Udana to M Guptill, one run, 131.3 km/h full length outside off stump."
9.6,4,"NTLC Perera to C Munro, FOUR, 128.2 km/h short length outside off stump."
9.5,•,"NTLC Perera to C Munro, no run, 131.9 km/h good length outside off stump."
9.4,1,"NTLC Perera to M Guptill, one run, 126.4 km/h good length outside off stump."
9.3,•,"NTLC Perera to M Guptill, no run, 127.5 km/h short length on off stump."
9.2,4,"NTLC Perera to M Guptill, FOUR, 130.3 km/h short length outside off stump."
9.1,•,"NTLC Perera to M Guptill, no run, 127.4 km/h good length outside off stump."
8.6,•,"I Udana to C Munro, no run, 133.2 km/h full toss on off stump."
8.5,1,"I Udana to M Guptill, one run, 128.5 km/h good length just outside off stump."
8.4,4,"I Udana to M Guptill, FOUR, 126.1 km/h short length outside off stump."
8.3,4,"I Udana to M Guptill, FOUR, 132.5 km/h good length outside off stump."
8.2,•,"I Udana to M Guptill, no run, 128.2 km/h good length just outside off stump."
8.1,•,"I Udana to M Guptill, no run, 129.3 km/h good length just outside off stump."
7.6,4,"S Lakmal to C Munro, FOUR, 134.5 km/h full length going down leg."
7.5,2,"S Lakmal to C Munro, two runs, 120.4 km/h full length outside off stump."
7.4,1,"S Lakmal to M Guptill, one run, 130.4 km/h short length just outside off stump."
7.3,2,"S Lakmal to M Guptill, two runs, 128.2 km/h short length just outside off stump."
7.2,•,"S Lakmal to M Guptill, no run, 136.4 km/h good length outside off stump."
7.1,•,"S Lakmal to M Guptill, no run, 126.4 km/h short length on middle stump."
6.6,2,"L Malinga to C Munro, two runs, 131.7 km/h short length going down leg."
6.5,1,"L Malinga to M Guptill, one run, 130.4 km/h full length just outside off stump."
6.4,2,"L Malinga to M Guptill, two runs, 133.6 km/h full toss going down leg."
6.3,1,"L Malinga to C Munro, one run, 134.3 km/h full length going down leg."
6.2,•,"L Malinga to C Munro, no run, 129.2 km/h short length on leg stump."
6.1,4,"L Malinga to C Munro, FOUR, 131.7 km/h short length outside off stump."
5.6,1,"S Lakmal to C Munro, one run, 126.7 km/h full length going down leg."
5.5,•,"S Lakmal to C Munro, no run, 132.3 km/h short length on middle stump."
5.4,6,"S Lakmal to C Munro, SIX, 128.5 km/h good length just outside off stump."
5.3,4,"S Lakmal to C Munro, FOUR, 132.5 km/h short length outside off stump."
5.2,•,"S Lakmal to C Munro, no run, 133.7 km/h full length going down leg."
5.1,2,"S Lakmal to C Munro, two runs, 131.6 km/h good length on leg stump."
5.1,1Wd,"S Lakmal to C Munro, wide delivery."
4.6,4,"L Malinga to M Guptill, FOUR, 127.1 km/h short length on middle stump."
4.5,1,"L Malinga to C Munro, one run, 135.2 km/h full length just outside off stump."
4.4,•,"L Malinga to C Munro, no run, 135.9 km/h full length on off stump."
4.3,1,"L Malinga to M Guptill, one run, 126.3 km/h short length just outside off stump."
4.2,1,"L Malinga to C Munro, one run, 132.0 km/h full toss going down leg."
4.1,•,"L Malinga to C Munro, no run, 132.1 km/h full length just outside off stump."
3.6,•,"S Lakmal to M Guptill, no run, 130.1 km/h short length outside off stump."
3.5,1,"S Lakmal to C Munro, one run, 129.9 km/h short length on middle stump."
3.4,1,"S Lakmal to M Guptill, one run, 129.9 km/h short length just outside off stump."
3.3,•,"S Lakmal to M Guptill, no run, 134.2 km/h short length just outside off stump."
3.2,•,"S Lakmal to M Guptill, no run, 128.6 km/h short length just outside off stump."
3.1,1Lb,"S Lakmal to C Munro, 1 leg bye."
2.6,•,"L Malinga to M Guptill, no run, 132.8 km/h full length just outside off stump."
2.5,•,"L Malinga to M Guptill, no run, 128.9 km/h good length outside off stump."
2.4,1,"L Malinga to C Munro, one run, 115.3 km/h full length going down leg."
2.3,•,"L Malinga to C Munro, no run, 133.0 km/h full length on off stump."
2.2,1,"L Malinga to M Guptill, one run, 131.4 km/h short length just outside off stump."
2.1,1,"L Malinga to C Munro, one run, 130.7 km/h short length on leg stump."
1.6,1,"S Lakmal to C Munro, one run, 128.0 km/h short length on middle stump."
1.5,•,"S Lakmal to C Munro, no run, 132.5 km/h good length on middle stump."
1.4,•,"S Lakmal to C Munro, no run, 130.1 km/h good length outside off stump."
1.3,2,"S Lakmal to C Munro, two runs, 131.6 km/h short length going down leg."
1.2,•,"S Lakmal to C Munro, no run, 133.2 km/h short length on off stump."
1.1,•,"S Lakmal to C Munro, no run, 132.1 km/h good length on middle stump."
0.6,4,"L Malinga to M Guptill, FOUR, 131.5 km/h short length on middle stump."
0.5,1,"L Malinga to C Munro, one run, 134.8 km/h full length going down leg."
0.4,1,"L Malinga to M Guptill, one run, 132.3 km/h good length on middle stump."
0.3,4,"L Malinga to M Guptill, FOUR, 129.2 km/h good length outside off stump."
0.2,•,"L Malinga to M Guptill, no run, 129.7 km/h short length outside off stump."
0.1,•,"L Malinga to M Guptill, no run, 127.0 km/h short length outside off stump."
29.2,W,"L Ferguson to L Malinga, WICKET!!! L Malinga is out b Lockie Ferguson, 142.2 km/h full toss on middle stump."
29.1,1,"L Ferguson to D Karunaratne, one run, 139.6 km/h short length on middle stump."
28.6,1,"T Boult to D Karunaratne, one run, 139.7 km/h full toss on middle stump."
28.6,1Wd,"T Boult to D Karunaratne, wide delivery."
28.5,•,"T Boult to D Karunaratne, no run."
28.4,2,"T Boult to D Karunaratne, two runs, 139.9 km/h full length on middle stump."
28.3,•,"T Boult to D Karunaratne, no run, 126.3 km/h good length just outside off stump."
28.2,1,"T Boult to L Malinga, one run, 133.6 km/h short length on off stump."
