Ball,Runs,Commentary
34.5,4,"M Ur Rahman to G Maxwell, FOUR, 92.0 km/h full length outside off stump."
34.4,W,"M Ur Rahman to S Smith, WICKET!!! S Smith is out c Hazrat Zazai b Mujeeb Ur Rahman, 90.3 km/h good length outside off stump."
34.3,•,"M Ur Rahman to S Smith, no run, 93.3 km/h good length just outside off stump."
34.2,1,"M Ur Rahman to D Warner, one run, 90.3 km/h short length going down leg."
34.1,•,"M Ur Rahman to D Warner, no run, 87.6 km/h full length on leg stump."
33.6,1,"R Khan to D Warner, one run, 88.5 km/h good length going down leg."
33.5,•,"R Khan to D Warner, no run, 85.6 km/h short length just outside off stump."
33.4,1,"R Khan to S Smith, one run, 84.4 km/h good length just outside off stump."
33.3,1,"R Khan to D Warner, one run, 90.2 km/h good length just outside off stump."
33.2,2,"R Khan to D Warner, two runs, 91.3 km/h full length going down leg."
33.1,•,"R Khan to D Warner, no run, 86.6 km/h good length on off stump."
32.6,1,"M Ur Rahman to D Warner, one run, 95.4 km/h good length on leg stump."
32.5,1,"M Ur Rahman to S Smith, one run, 93.9 km/h short length on middle stump."
32.4,2,"M Ur Rahman to S Smith, two runs, 91.5 km/h good length on leg stump."
32.3,1,"M Ur Rahman to D Warner, one run, 91.2 km/h short length on leg stump."
32.2,2,"M Ur Rahman to D Warner, two runs, 94.9 km/h good length going down leg."
32.1,1,"M Ur Rahman to S Smith, one run, 98.0 km/h good length just outside off stump."
31.6,1,"D Zadran to S Smith, one run, 135.6 km/h short length on middle stump."
31.5,•,"D Zadran to S Smith, no run, 131.8 km/h short length on off stump."
31.4,•,"D Zadran to S Smith, no run, 133.5 km/h good length just outside off stump."
31.3,1,"D Zadran to D Warner, one run, 133.1 km/h short length on middle stump."
31.2,1,"D Zadran to S Smith, one run, 130.7 km/h short length just outside off stump."
31.1,•,"D Zadran to S Smith, no run, 134.3 km/h good length on off stump."
30.6,1,"M Ur Rahman to S Smith, one run, 97.1 km/h short length on middle stump."
30.5,•,"M Ur Rahman to S Smith, no run, 95.6 km/h short length outside off stump."
30.4,4,"M Ur Rahman to S Smith, FOUR, 98.0 km/h good length just outside off stump."
30.3,1,"M Ur Rahman to D Warner, one run, 89.2 km/h good length on middle stump."
30.2,•,"M Ur Rahman to D Warner, no run, 89.6 km/h good length going down leg."
30.1,2,"M Ur Rahman to D Warner, two runs, 89.7 km/h short length going down leg."
29.6,1,"D Zadran to D Warner, one run, 125.7 km/h short length on middle stump."
29.5,•,"D Zadran to D Warner, no run, 130.5 km/h short length on leg stump."
29.4,4,"D Zadran to D Warner, FOUR, 135.6 km/h full length on middle stump."
29.3,2,"D Zadran to D Warner, two runs, 129.9 km/h good length outside off stump."
29.2,•,"D Zadran to D Warner, no run, 133.9 km/h good length on off stump."
29.1,2,"D Zadran to D Warner, two runs, 129.4 km/h short length on middle stump."
28.6,1,"R Khan to D Warner, one run, 97.4 km/h short length just outside off stump."
28.5,1,"R Khan to S Smith, one run, 88.1 km/h good length on leg stump."
28.4,1,"R Khan to D Warner, one run, 88.1 km/h good length just outside off stump."
28.3,•,"R Khan to D Warner, no run, 94.7 km/h good length going down leg."
28.2,1,"R Khan to S Smith, one run, 93.5 km/h full length just outside off stump."
28.1,1,"R Khan to D Warner, one run."
27.6,•,"H Hassan to S Smith, no run, 138.3 km/h good length just outside off stump."
27.5,•,"H Hassan to S Smith, no run, 141.9 km/h good length just outside off stump."
27.4,1Lb,"H Hassan to D Warner, 1 leg bye."
27.3,1,"H Hassan to S Smith, one run, 132.6 km/h good length outside off stump."
27.2,•,"H Hassan to S Smith, no run, 134.6 km/h full length just outside off stump."
27.1,•,"H Hassan to S Smith, no run, 133.3 km/h good length just outside off stump."
26.6,1,"R Khan to S Smith, one run, 97.2 km/h short length going down leg."
26.5,1,"R Khan to D Warner, one run, 94.9 km/h good length on middle stump."
26.4,1,"R Khan to S Smith, one run, 95.3 km/h short length outside off stump."
26.3,•,"R Khan to S Smith, no run, 87.8 km/h good length on off stump."
26.2,•,"R Khan to S Smith, no run, 93.4 km/h good length on middle stump."
26.1,1,"R Khan to D Warner, one run, 87.0 km/h short length on off stump."
25.6,•,"H Hassan to S Smith, no run, 137.4 km/h full length just outside off stump."
