Ball,Runs,Commentary
32.1,1,"A Alam to K Williamson, one run."
31.6,•,"H Hassan to T Latham, no run."
31.5,•,"H Hassan to T Latham, no run."
31.4,1,"H Hassan to K Williamson, one run."
31.3,1,"H Hassan to T Latham, one run."
31.2,1Lb,"H Hassan to K Williamson, 1 leg bye."
31.1,1,"H Hassan to T Latham, one run."
30.6,1,"A Alam to T Latham, one run."
30.5,1,"A Alam to K Williamson, one run."
30.4,1,"A Alam to T Latham, one run."
30.3,1,"A Alam to K Williamson, one run."
30.2,1,"A Alam to T Latham, one run."
30.1,1,"A Alam to K Williamson, one run."
29.6,•,"H Hassan to T Latham, no run."
29.5,1,"H Hassan to K Williamson, one run."
29.4,•,"H Hassan to K Williamson, no run."
29.3,1Lb,"H Hassan to T Latham, 1 leg bye."
29.2,1,"H Hassan to K Williamson, one run."
29.1,4,"H Hassan to K Williamson, FOUR."
28.6,1,"G Naib to K Williamson, one run."
28.5,4,"G Naib to K Williamson, FOUR."
28.4,4,"G Naib to K Williamson, FOUR."
28.3,1,"G Naib to T Latham, one run."
28.2,1,"G Naib to K Williamson, one run."
28.1,1,"G Naib to T Latham, one run."
27.6,•,"A Alam to K Williamson, no run."
27.5,1,"A Alam to T Latham, one run."
27.4,•,"A Alam to T Latham, no run."
27.3,•,"A Alam to T Latham, no run."
27.2,1,"A Alam to K Williamson, one run."
27.1,•,"A Alam to K Williamson, no run."
26.6,1,"G Naib to K Williamson, one run."
26.5,2,"G Naib to K Williamson, two runs."
26.4,1,"G Naib to T Latham, one run."
26.3,•,"G Naib to T Latham, no run."
26.2,1,"G Naib to K Williamson, one run."
26.1,2,"G Naib to K Williamson, two runs."
25.6,4,"A Alam to T Latham, FOUR."
25.5,•,"A Alam to T Latham, no run."
25.4,W,"A Alam to R Taylor, WICKET!!! R Taylor is out b Aftab Alam."
25.3,4,"A Alam to R Taylor, FOUR."
25.2,1,"A Alam to K Williamson, one run."
25.1,1,"A Alam to R Taylor, one run."
24.6,2,"M Nabi to K Williamson, two runs."
24.5,1,"M Nabi to R Taylor, one run."
24.4,1,"M Nabi to K Williamson, one run."
24.3,•,"M Nabi to K Williamson, no run."
24.2,1,"M Nabi to R Taylor, one run."
24.1,6,"M Nabi to R Taylor, SIX."
23.6,4,"R Shah to K Williamson, FOUR."
23.5,1,"R Shah to R Taylor, one run."
23.4,1,"R Shah to K Williamson, one run."
23.3,•,"R Shah to K Williamson, no run."
23.2,•,"R Shah to K Williamson, no run."
23.1,•,"R Shah to K Williamson, no run."
22.6,•,"G Naib to R Taylor, no run."
22.5,4,"G Naib to R Taylor, FOUR."
22.4,•,"G Naib to R Taylor, no run."
22.3,1,"G Naib to K Williamson, one run."
22.2,•,"G Naib to K Williamson, no run."
22.1,1,"G Naib to R Taylor, one run."
21.6,1,"R Shah to R Taylor, one run."
21.5,1,"R Shah to K Williamson, one run."
21.4,1,"R Shah to R Taylor, one run."
21.3,•,"R Shah to R Taylor, no run."
21.2,1,"R Shah to K Williamson, one run."
21.1,•,"R Shah to K Williamson, no run."
20.6,•,"G Naib to R Taylor, no run."
20.5,•,"G Naib to R Taylor, no run."
20.4,1,"G Naib to K Williamson, one run."
20.3,•,"G Naib to K Williamson, no run."
20.2,1,"G Naib to R Taylor, one run."
20.1,1,"G Naib to K Williamson, one run."
20.1,5Nb,"G Naib to K Williamson, 5 runs, no-ball."
19.6,•,"R Shah to R Taylor, no run."
19.5,•,"R Shah to R Taylor, no run."
19.4,•,"R Shah to R Taylor, no run."
19.3,1,"R Shah to K Williamson, one run."
19.2,•,"R Shah to K Williamson, no run."
19.1,•,"R Shah to K Williamson, no run."
18.6,•,"G Naib to R Taylor, no run."
18.5,1,"G Naib to K Williamson, one run."
18.4,•,"G Naib to K Williamson, no run."
18.3,•,"G Naib to K Williamson, no run."
18.3,1Wd,"G Naib to K Williamson, wide delivery."
18.2,4,"G Naib to K Williamson, FOUR."
18.1,1,"G Naib to R Taylor, one run."
17.6,•,"R Shah to K Williamson, no run."
17.5,1,"R Shah to R Taylor, one run."
17.4,4,"R Shah to R Taylor, FOUR."
17.3,•,"R Shah to R Taylor, no run."
17.2,•,"R Shah to R Taylor, no run."
17.1,1,"R Shah to K Williamson, one run."
16.6,1,"H Hassan to K Williamson, one run."
16.5,1Lb,"H Hassan to R Taylor, 1 leg bye."
16.4,•,"H Hassan to R Taylor, no run."
16.3,1,"H Hassan to K Williamson, one run."
16.2,•,"H Hassan to K Williamson, no run."
16.2,1Wd,"H Hassan to K Williamson, wide delivery."
16.1,•,"H Hassan to K Williamson, no run."
15.6,•,"R Shah to R Taylor, no run."
15.5,•,"R Shah to R Taylor, no run."
15.4,•,"R Shah to R Taylor, no run."
15.3,•,"R Shah to R Taylor, no run."
15.2,•,"R Shah to R Taylor, no run."
15.1,4,"R Shah to R Taylor, FOUR."
14.6,•,"H Hassan to K Williamson, no run."
14.5,•,"H Hassan to K Williamson, no run."
14.4,2,"H Hassan to K Williamson, two runs."
14.3,•,"H Hassan to K Williamson, no run."
14.2,1,"H Hassan to R Taylor, one run."
14.1,•,"H Hassan to R Taylor, no run."
13.6,1,"M Nabi to R Taylor, one run."
13.5,1,"M Nabi to K Williamson, one run."
13.4,•,"M Nabi to K Williamson, no run."
13.3,•,"M Nabi to K Williamson, no run."
13.2,•,"M Nabi to K Williamson, no run."
13.1,1,"M Nabi to R Taylor, one run."
12.6,•,"G Naib to K Williamson, no run."
12.5,1,"G Naib to R Taylor, one run."
12.4,•,"G Naib to R Taylor, no run."
12.3,4,"G Naib to R Taylor, FOUR."
12.2,•,"G Naib to R Taylor, no run."
12.1,•,"G Naib to R Taylor, no run."
11.6,•,"M Nabi to K Williamson, no run."
11.5,•,"M Nabi to K Williamson, no run."
11.4,1,"M Nabi to R Taylor, one run."
11.3,1,"M Nabi to K Williamson, one run."
11.2,1,"M Nabi to R Taylor, one run."
11.2,1Wd,"M Nabi to R Taylor, wide delivery."
11.1,•,"M Nabi to R Taylor, no run."
10.6,•,"G Naib to K Williamson, no run."
10.5,•,"G Naib to K Williamson, no run."
10.4,•,"G Naib to K Williamson, no run."
10.3,•,"G Naib to K Williamson, no run."
10.2,•,"G Naib to K Williamson, no run."
10.1,•,"G Naib to K Williamson, no run."
9.6,•,"A Alam to R Taylor, no run."
9.5,•,"A Alam to R Taylor, no run."
9.4,•,"A Alam to R Taylor, no run."
9.3,4,"A Alam to R Taylor, FOUR."
9.2,1,"A Alam to K Williamson, one run."
9.1,1,"A Alam to R Taylor, one run."
8.6,•,"G Naib to K Williamson, no run."
8.5,•,"G Naib to K Williamson, no run."
8.4,•,"G Naib to K Williamson, no run."
8.3,•,"G Naib to K Williamson, no run."
8.2,4,"G Naib to K Williamson, FOUR."
8.1,1,"G Naib to R Taylor, one run."
7.6,•,"A Alam to K Williamson, no run."
7.5,W,"A Alam to C Munro, WICKET!!! C Munro is out c Hamid Hassan b Aftab Alam."
7.4,1,"A Alam to K Williamson, one run."
7.3,•,"A Alam to K Williamson, no run."
7.2,1,"A Alam to C Munro, one run."
7.1,•,"A Alam to C Munro, no run."
6.6,4,"G Naib to K Williamson, FOUR."
6.5,•,"G Naib to K Williamson, no run."
6.4,•,"G Naib to K Williamson, no run."
6.3,•,"G Naib to K Williamson, no run."
6.2,1,"G Naib to C Munro, one run."
6.1,•,"G Naib to C Munro, no run."
5.6,•,"H Hassan to K Williamson, no run."
5.5,•,"H Hassan to K Williamson, no run."
5.4,•,"H Hassan to K Williamson, no run."
5.4,1Wd,"H Hassan to K Williamson, wide delivery."
5.3,4,"H Hassan to K Williamson, FOUR."
5.2,•,"H Hassan to K Williamson, no run."
5.1,1,"H Hassan to C Munro, one run."
4.6,•,"A Alam to K Williamson, no run."
4.5,•,"A Alam to K Williamson, no run."
4.4,1,"A Alam to C Munro, one run."
4.3,•,"A Alam to C Munro, no run."
4.2,•,"A Alam to C Munro, no run."
4.1,1,"A Alam to K Williamson, one run."
3.6,•,"H Hassan to C Munro, no run."
3.5,4,"H Hassan to C Munro, FOUR."
3.4,1,"H Hassan to K Williamson, one run."
3.3,1,"H Hassan to C Munro, one run."
3.2,•,"H Hassan to C Munro, no run."
3.1,•,"H Hassan to C Munro, no run."
2.6,•,"A Alam to K Williamson, no run."
2.5,•,"A Alam to K Williamson, no run."
2.4,•,"A Alam to K Williamson, no run."
2.3,1Lb,"A Alam to C Munro, 1 leg bye."
2.2,4,"A Alam to C Munro, FOUR."
2.1,•,"A Alam to C Munro, no run."
2.1,1Wd,"A Alam to C Munro, wide delivery."
1.6,•,"H Hassan to K Williamson, no run."
1.5,1,"H Hassan to C Munro, one run."
1.4,•,"H Hassan to C Munro, no run."
1.3,•,"H Hassan to C Munro, no run."
1.3,1Wd,"H Hassan to C Munro, wide delivery."
1.2,•,"H Hassan to C Munro, no run."
1.1,1,"H Hassan to K Williamson, one run."
0.6,•,"A Alam to C Munro, no run."
0.5,4,"A Alam to C Munro, FOUR."
0.4,4,"A Alam to C Munro, FOUR."
0.3,1,"A Alam to K Williamson, one run."
0.2,2,"A Alam to K Williamson, two runs."
0.1,W,"A Alam to M Guptill, WICKET!!! M Guptill is out c Najibullah Zadran b Aftab Alam."
30.1,•,"M Henry to H Shahidi, no run."
41.1,W,"L Ferguson to H Shahidi, WICKET!!! H Shahidi is out c Matt Henry b Lockie Ferguson."
40.6,•,"T Boult to H Hassan, no run."
40.5,•,"T Boult to H Hassan, no run."
40.4,•,"T Boult to H Hassan, no run."
40.3,•,"T Boult to H Hassan, no run."
40.2,•,"T Boult to H Hassan, no run."
