Ball,Runs,Commentary
49.3,W,"J Neesham to Y Chahal, WICKET!!! Y Chahal is out c Tom Latham b Jimmy Neesham, 112.5 km/h good length just outside off stump."
49.2,•,"J Neesham to Y Chahal, no run, 114.7 km/h short length outside off stump."
49.1,4,"J Neesham to Y Chahal, FOUR, 115.3 km/h full length going down leg."
48.6,W,"L Ferguson to B Kumar, WICKET!!! B Kumar is out b Lockie Ferguson, 121.3 km/h full length on off stump."
48.5,1,"L Ferguson to Y Chahal, one run, 143.1 km/h full length going down leg."
48.4,•,"L Ferguson to Y Chahal, no run, 143.3 km/h full toss just outside off stump."
48.3,1W,"L Ferguson to MS Dhoni, WICKET!!! MS Dhoni is out run out (Martin Guptill), 142.5 km/h short length going down leg."
48.2,•,"L Ferguson to MS Dhoni, no run, 125.9 km/h full length on middle stump."
48.1,6,"L Ferguson to MS Dhoni, SIX, 142.6 km/h short length outside off stump."
47.6,1,"T Boult to MS Dhoni, one run, 114.8 km/h short length just outside off stump."
47.5,W,"T Boult to R Jadeja, WICKET!!! R Jadeja is out c Kane Williamson b Trent Boult, 137.2 km/h full length just outside off stump."
47.4,1,"T Boult to MS Dhoni, one run, 119.8 km/h good length on middle stump."
47.3,1,"T Boult to R Jadeja, one run, 134.9 km/h full toss on middle stump."
47.2,1,"T Boult to MS Dhoni, one run, 135.5 km/h full length outside off stump."
47.1,2,"T Boult to MS Dhoni, two runs, 119.1 km/h short length just outside off stump."
46.6,1,"M Henry to MS Dhoni, one run, 125.5 km/h good length just outside off stump."
46.5,1,"M Henry to R Jadeja, one run, 124.1 km/h good length outside off stump."
46.4,1,"M Henry to MS Dhoni, one run, 127.4 km/h good length on leg stump."
46.3,1,"M Henry to R Jadeja, one run, 125.7 km/h short length outside off stump."
46.2,•,"M Henry to R Jadeja, no run, 123.4 km/h good length outside off stump."
46.1,1,"M Henry to MS Dhoni, one run, 124.5 km/h short length just outside off stump."
45.6,1,"T Boult to MS Dhoni, one run, 116.1 km/h short length on middle stump."
45.5,1,"T Boult to R Jadeja, one run, 115.9 km/h short length just outside off stump."
45.4,4,"T Boult to R Jadeja, FOUR, 124.9 km/h good length just outside off stump."
45.3,1,"T Boult to MS Dhoni, one run, 133.5 km/h good length outside off stump."
45.2,1,"T Boult to R Jadeja, one run, 132.5 km/h full toss on middle stump."
45.1,2,"T Boult to R Jadeja, two runs, 121.0 km/h short length just outside off stump."
44.6,•,"L Ferguson to MS Dhoni, no run, 146.7 km/h short length outside off stump."
44.5,1,"L Ferguson to R Jadeja, one run, 147.8 km/h full toss on middle stump."
44.4,6,"L Ferguson to R Jadeja, SIX, 125.4 km/h full length on middle stump."
44.3,1,"L Ferguson to MS Dhoni, one run, 142.7 km/h short length just outside off stump."
44.2,2,"L Ferguson to MS Dhoni, two runs, 146.6 km/h full length outside off stump."
44.1,•,"L Ferguson to MS Dhoni, no run, 145.3 km/h full toss on off stump."
43.6,1,"J Neesham to MS Dhoni, one run, 129.2 km/h short length outside off stump."
43.6,1Wd,"J Neesham to MS Dhoni, wide delivery."
43.5,1,"J Neesham to R Jadeja, one run, 116.3 km/h short length just outside off stump."
43.4,2,"J Neesham to R Jadeja, two runs, 112.2 km/h full length outside off stump."
43.3,•,"J Neesham to R Jadeja, no run, 113.5 km/h short length outside off stump."
43.2,•,"J Neesham to R Jadeja, no run, 122.4 km/h short length just outside off stump."
43.1,2,"J Neesham to R Jadeja, two runs, 130.1 km/h full length on middle stump."
42.6,1,"L Ferguson to R Jadeja, one run, 141.2 km/h good length outside off stump."
42.5,•,"L Ferguson to R Jadeja, no run, 139.9 km/h short length on middle stump."
42.4,1,"L Ferguson to MS Dhoni, one run, 143.4 km/h good length outside off stump."
42.3,•,"L Ferguson to MS Dhoni, no run, 145.7 km/h good length outside off stump."
42.2,•,"L Ferguson to MS Dhoni, no run, 142.4 km/h good length on off stump."
42.1,1,"L Ferguson to R Jadeja, one run, 122.6 km/h short length on middle stump."
41.6,1,"J Neesham to R Jadeja, one run, 119.6 km/h good length outside off stump."
41.6,1Wd,"J Neesham to R Jadeja, wide delivery."
41.5,2,"J Neesham to R Jadeja, two runs, 131.6 km/h full length on leg stump."
41.4,4,"J Neesham to R Jadeja, FOUR, 112.2 km/h short length outside off stump."
41.3,1,"J Neesham to MS Dhoni, one run, 110.0 km/h short length on off stump."
41.2,•,"J Neesham to MS Dhoni, no run, 111.7 km/h good length outside off stump."
41.1,•,"J Neesham to MS Dhoni, no run, 116.5 km/h good length on middle stump."
40.6,•,"M Santner to R Jadeja, no run, 96.0 km/h good length on middle stump."
40.5,6,"M Santner to R Jadeja, SIX, 97.0 km/h good length on leg stump."
40.4,•,"M Santner to R Jadeja, no run, 91.9 km/h good length on off stump."
40.3,1,"M Santner to MS Dhoni, one run, 93.0 km/h good length on leg stump."
40.2,2,"M Santner to MS Dhoni, two runs, 93.2 km/h short length on leg stump."
40.1,•,"M Santner to MS Dhoni, no run, 89.8 km/h good length on middle stump."
39.6,2,"L Ferguson to R Jadeja, two runs, 139.8 km/h short length on leg stump."
39.6,1Wd,"L Ferguson to R Jadeja, wide delivery."
39.5,1,"L Ferguson to MS Dhoni, one run, 125.0 km/h short length on middle stump."
39.4,1,"L Ferguson to R Jadeja, one run, 141.2 km/h full toss on leg stump."
39.3,•,"L Ferguson to R Jadeja, no run, 145.4 km/h good length just outside off stump."
39.2,•,"L Ferguson to R Jadeja, no run, 120.8 km/h short length outside off stump."
39.1,4,"L Ferguson to R Jadeja, FOUR, 138.7 km/h short length going down leg."
38.6,1,"M Santner to R Jadeja, one run, 82.7 km/h short length on middle stump."
38.5,•,"M Santner to R Jadeja, no run, 93.3 km/h good length on middle stump."
38.4,6,"M Santner to R Jadeja, SIX, 94.9 km/h good length just outside off stump."
38.3,1,"M Santner to MS Dhoni, one run, 93.2 km/h good length on leg stump."
38.2,1,"M Santner to R Jadeja, one run, 90.6 km/h good length just outside off stump."
38.2,1Wd,"M Santner to R Jadeja, wide delivery."
38.1,•,"M Santner to R Jadeja, no run, 94.9 km/h short length on middle stump."
37.6,1,"M Henry to R Jadeja, one run, 133.7 km/h short length outside off stump."
37.5,•,"M Henry to R Jadeja, no run, 135.8 km/h good length outside off stump."
37.4,•,"M Henry to R Jadeja, no run, 118.4 km/h short length just outside off stump."
37.3,•,"M Henry to R Jadeja, no run, 122.8 km/h good length outside off stump."
37.2,4,"M Henry to R Jadeja, FOUR, 135.4 km/h short length just outside off stump."
37.1,•,"M Henry to R Jadeja, no run, 134.5 km/h short length outside off stump."
36.6,•,"M Santner to MS Dhoni, no run, 92.6 km/h good length outside off stump."
36.5,1,"M Santner to R Jadeja, one run, 91.7 km/h good length on middle stump."
36.4,•,"M Santner to R Jadeja, no run, 92.5 km/h good length on leg stump."
36.3,1,"M Santner to MS Dhoni, one run, 95.0 km/h good length on middle stump."
36.2,•,"M Santner to MS Dhoni, no run, 91.0 km/h good length on middle stump."
36.1,1,"M Santner to R Jadeja, one run, 92.4 km/h good length on middle stump."
35.6,•,"M Henry to MS Dhoni, no run, 133.3 km/h short length just outside off stump."
35.5,•,"M Henry to MS Dhoni, no run, 131.5 km/h good length just outside off stump."
35.5,1Wd,"M Henry to MS Dhoni, wide delivery."
35.4,•,"M Henry to MS Dhoni, no run, 133.9 km/h good length on off stump."
35.3,1,"M Henry to R Jadeja, one run, 132.9 km/h short length just outside off stump."
35.2,1,"M Henry to MS Dhoni, one run, 132.7 km/h good length outside off stump."
35.1,1,"M Henry to R Jadeja, one run, 121.6 km/h short length just outside off stump."
34.6,•,"M Santner to MS Dhoni, no run, 90.7 km/h good length on middle stump."
34.5,1,"M Santner to R Jadeja, one run, 93.3 km/h good length on leg stump."
34.4,2,"M Santner to R Jadeja, two runs, 93.3 km/h good length on leg stump."
34.3,•,"M Santner to R Jadeja, no run, 94.9 km/h good length just outside off stump."
34.2,1,"M Santner to MS Dhoni, one run, 88.8 km/h good length outside off stump."
34.1,1,"M Santner to R Jadeja, one run, 91.1 km/h full length on middle stump."
33.6,1,"T Boult to R Jadeja, one run, 135.8 km/h short length on off stump."
33.5,1,"T Boult to MS Dhoni, one run, 132.1 km/h short length outside off stump."
33.4,•,"T Boult to MS Dhoni, no run, 136.8 km/h good length just outside off stump."
33.3,4,"T Boult to MS Dhoni, FOUR, 136.0 km/h full toss just outside off stump."
33.2,•,"T Boult to MS Dhoni, no run, 117.3 km/h full toss outside off stump."
33.1,1,"T Boult to R Jadeja, one run, 138.0 km/h good length outside off stump."
33.1,1Wd,"T Boult to R Jadeja, wide delivery."
32.6,2,"J Neesham to MS Dhoni, two runs, 128.1 km/h short length on leg stump."
32.5,•,"J Neesham to MS Dhoni, no run, 134.7 km/h good length just outside off stump."
32.4,1,"J Neesham to R Jadeja, one run, 131.7 km/h short length outside off stump."
32.3,6,"J Neesham to R Jadeja, SIX, 128.7 km/h short length on off stump."
32.2,•,"J Neesham to R Jadeja, no run, 133.3 km/h good length just outside off stump."
32.1,•,"J Neesham to R Jadeja, no run, 134.6 km/h good length just outside off stump."
31.6,•,"T Boult to MS Dhoni, no run, 133.2 km/h short length outside off stump."
31.5,1,"T Boult to R Jadeja, one run, 133.4 km/h short length on middle stump."
31.4,•,"T Boult to R Jadeja, no run, 134.0 km/h good length just outside off stump."
31.3,1,"T Boult to MS Dhoni, one run, 135.7 km/h good length outside off stump."
31.2,•,"T Boult to MS Dhoni, no run, 135.3 km/h good length outside off stump."
31.2,1Wd,"T Boult to MS Dhoni, wide delivery."
31.1,•,"T Boult to MS Dhoni, no run, 135.0 km/h short length outside off stump."
30.6,1,"M Santner to MS Dhoni, one run, 83.0 km/h short length on off stump."
30.5,•,"M Santner to MS Dhoni, no run, 91.1 km/h good length on off stump."
30.4,1,"M Santner to R Jadeja, one run, 90.5 km/h short length just outside off stump."
30.3,W,"M Santner to H Pandya, WICKET!!! H Pandya is out c Kane Williamson b Mitchell Santner, 93.1 km/h good length just outside off stump."
30.2,•,"M Santner to H Pandya, no run, 91.6 km/h good length just outside off stump."
