Ball,Runs,Commentary
49.5,W,"M Shami to M Ur Rahman, WICKET!!! M Ur Rahman is out b Mohammed Shami, 141.6 km/h full length on leg stump."
49.4,W,"M Shami to A Alam, WICKET!!! A Alam is out b Mohammed Shami, 139.5 km/h full length on leg stump."
49.3,W,"M Shami to M Nabi, WICKET!!! M Nabi is out c Hardik Pandya b Mohammed Shami, 142.7 km/h full length going down leg."
49.2,•,"M Shami to M Nabi, no run, 139.4 km/h full length going down leg."
49.1,4,"M Shami to M Nabi, FOUR, 138.1 km/h full toss going down leg."
48.6,1,"J Bumrah to M Nabi, one run, 140.8 km/h full toss on middle stump."
48.5,1,"J Bumrah to I Ali Khil, one run, 142.4 km/h full toss going down leg."
48.4,•,"J Bumrah to I Ali Khil, no run, 142.7 km/h full toss going down leg."
48.3,1,"J Bumrah to M Nabi, one run, 142.4 km/h full toss on leg stump."
48.2,2,"J Bumrah to M Nabi, two runs, 141.9 km/h full toss going down leg."
48.1,•,"J Bumrah to M Nabi, no run, 142.6 km/h full toss just outside off stump."
47.6,2,"M Shami to I Ali Khil, two runs, 139.5 km/h short length going down leg."
47.5,•,"M Shami to I Ali Khil, no run, 141.5 km/h short length on leg stump."
47.4,•,"M Shami to I Ali Khil, no run, 126.7 km/h short length on off stump."
47.3,•,"M Shami to I Ali Khil, no run, 138.8 km/h short length just outside off stump."
47.2,1,"M Shami to M Nabi, one run, 138.2 km/h full length on leg stump."
47.1,•,"M Shami to M Nabi, no run, 135.7 km/h full length on off stump."
46.6,1,"J Bumrah to M Nabi, one run, 137.8 km/h full toss outside off stump."
46.5,•,"J Bumrah to M Nabi, no run."
46.4,•,"J Bumrah to M Nabi, no run, 144.1 km/h full toss outside off stump."
46.3,6,"J Bumrah to M Nabi, SIX, 138.1 km/h short length just outside off stump."
46.2,1,"J Bumrah to I Ali Khil, one run, 145.6 km/h short length on middle stump."
46.1,•,"J Bumrah to I Ali Khil, no run."
45.6,1,"Y Chahal to I Ali Khil, one run, 76.9 km/h good length on middle stump."
45.5,2,"Y Chahal to I Ali Khil, two runs, 81.0 km/h good length going down leg."
45.4,W,"Y Chahal to R Khan, WICKET!!! R Khan is out st MS Dhoni b Yuzvendra Chahal, 81.0 km/h good length outside off stump."
45.3,4,"Y Chahal to R Khan, FOUR, 89.8 km/h good length just outside off stump."
45.2,•,"Y Chahal to R Khan, no run, 82.3 km/h good length outside off stump."
