Ball,Runs,Commentary
44.4,W,"M Starc to A Rashid, WICKET!!! A Rashid is out c Marcus Stoinis b Mitchell Starc, 144.1 km/h full length on off stump."
44.3,•,"M Starc to A Rashid, no run, 126.3 km/h short length going down leg."
44.2,4,"M Starc to A Rashid, FOUR, 146.5 km/h full length just outside off stump."
44.1,4,"M Starc to A Rashid, FOUR, 149.6 km/h short length going down leg."
43.6,•,"J Behrendorff to M Wood, no run, 129.3 km/h good length on off stump."
43.5,1Lb,"J Behrendorff to A Rashid, 1 leg bye."
43.4,1,"J Behrendorff to M Wood, one run, 112.6 km/h full toss just outside off stump."
43.3,W,"J Behrendorff to J Archer, WICKET!!! J Archer is out c David Warner b Jason Behrendorff, 111.5 km/h good length outside off stump."
43.2,•,"J Behrendorff to J Archer, no run, 130.1 km/h good length outside off stump."
43.1,1,"J Behrendorff to A Rashid, one run, 116.3 km/h short length on middle stump."
42.6,1,"M Starc to A Rashid, one run, 148.2 km/h full toss just outside off stump."
42.5,•,"M Starc to A Rashid, no run, 146.0 km/h full toss just outside off stump."
42.4,1,"M Starc to J Archer, one run, 152.1 km/h full toss just outside off stump."
42.3,1,"M Starc to A Rashid, one run, 147.5 km/h full length on off stump."
42.2,•,"M Starc to A Rashid, no run, 144.9 km/h good length just outside off stump."
42.1,•,"M Starc to A Rashid, no run, 146.6 km/h full toss outside off stump."
41.6,•,"J Behrendorff to J Archer, no run, 134.4 km/h good length outside off stump."
41.5,1,"J Behrendorff to A Rashid, one run, 114.3 km/h full length outside off stump."
41.4,4,"J Behrendorff to A Rashid, FOUR, 132.1 km/h full length going down leg."
41.3,W,"J Behrendorff to C Woakes, WICKET!!! C Woakes is out c Aaron Finch b Jason Behrendorff, 109.9 km/h good length on middle stump."
41.2,1,"J Behrendorff to A Rashid, one run, 132.6 km/h good length just outside off stump."
41.1,1,"J Behrendorff to C Woakes, one run, 110.2 km/h full length just outside off stump."
40.6,•,"N Lyon to A Rashid, no run, 91.9 km/h full toss outside off stump."
40.5,1,"N Lyon to C Woakes, one run, 89.1 km/h good length on leg stump."
40.4,1,"N Lyon to A Rashid, one run, 90.5 km/h good length on middle stump."
40.3,6,"N Lyon to A Rashid, SIX, 88.6 km/h good length outside off stump."
40.2,•,"N Lyon to A Rashid, no run, 86.3 km/h full length on off stump."
40.1,1,"N Lyon to C Woakes, one run, 91.6 km/h good length just outside off stump."
39.6,•,"J Behrendorff to A Rashid, no run, 129.1 km/h good length just outside off stump."
39.5,1,"J Behrendorff to C Woakes, one run, 117.5 km/h good length outside off stump."
39.4,1,"J Behrendorff to A Rashid, one run, 130.8 km/h full length on middle stump."
39.3,W,"J Behrendorff to M Ali, WICKET!!! M Ali is out c Alex Carey b Jason Behrendorff, 130.1 km/h good length on off stump."
39.2,4,"J Behrendorff to M Ali, FOUR, 111.8 km/h short length outside off stump."
39.1,1,"J Behrendorff to C Woakes, one run, 128.0 km/h good length just outside off stump."
38.6,•,"M Starc to M Ali, no run, 135.7 km/h short length on middle stump."
38.5,•,"M Starc to M Ali, no run, 148.4 km/h full toss on off stump."
38.4,•,"M Starc to M Ali, no run, 150.5 km/h full length on middle stump."
38.3,•,"M Starc to M Ali, no run, 141.9 km/h full length on middle stump."
38.2,1,"M Starc to C Woakes, one run, 146.2 km/h full length outside off stump."
38.1,•,"M Starc to C Woakes, no run, 145.6 km/h full length on middle stump."
37.6,1Lb,"P Cummins to C Woakes, 1 leg bye."
37.5,1,"P Cummins to M Ali, one run, 135.5 km/h short length on leg stump."
37.4,1,"P Cummins to C Woakes, one run, 139.7 km/h short length on leg stump."
37.3,1,"P Cummins to M Ali, one run, 140.9 km/h good length just outside off stump."
37.2,•,"P Cummins to M Ali, no run, 140.1 km/h full length just outside off stump."
37.1,1,"P Cummins to C Woakes, one run, 139.9 km/h short length just outside off stump."
37.1,1Wd,"P Cummins to C Woakes, wide delivery."
