Ball,Runs,Commentary
32.1,4,"J Behrendorff to E Morgan, FOUR, 115.7 km/h short length outside off stump."
31.6,•,"M Starc to J Root, no run, 144.3 km/h short length just outside off stump."
31.5,•,"M Starc to J Root, no run, 146.4 km/h good length just outside off stump."
31.4,1,"M Starc to E Morgan, one run, 149.5 km/h full length just outside off stump."
31.3,1,"M Starc to J Root, one run."
31.2,4,"M Starc to J Root, FOUR, 143.9 km/h good length outside off stump."
31.1,•,"M Starc to J Root, no run."
30.6,1,"J Behrendorff to J Root, one run, 108.7 km/h full toss on middle stump."
30.5,•,"J Behrendorff to J Root, no run, 129.1 km/h full length on off stump."
30.4,4,"J Behrendorff to J Root, FOUR, 118.4 km/h short length just outside off stump."
30.3,•,"J Behrendorff to J Root, no run, 116.0 km/h good length just outside off stump."
30.2,•,"J Behrendorff to J Root, no run, 126.1 km/h good length just outside off stump."
30.2,1Wd,"J Behrendorff to J Root, wide delivery."
30.1,•,"J Behrendorff to J Root, no run, 129.5 km/h short length outside off stump."
29.6,1,"N Lyon to J Root, one run, 87.6 km/h good length going down leg."
29.5,4,"N Lyon to J Root, FOUR, 91.2 km/h good length going down leg."
29.4,1,"N Lyon to E Morgan, one run, 90.1 km/h good length just outside off stump."
29.3,2,"N Lyon to E Morgan, two runs, 89.4 km/h good length outside off stump."
29.2,4,"N Lyon to E Morgan, FOUR, 93.5 km/h short length just outside off stump."
29.1,1,"N Lyon to J Root, one run, 86.9 km/h good length going down leg."
28.6,•,"J Behrendorff to E Morgan, no run, 129.7 km/h short length just outside off stump."
28.5,•,"J Behrendorff to E Morgan, no run, 111.9 km/h short length going down leg."
28.4,•,"J Behrendorff to E Morgan, no run, 131.1 km/h short length on middle stump."
28.3,•,"J Behrendorff to E Morgan, no run, 129.6 km/h short length just outside off stump."
28.2,•,"J Behrendorff to E Morgan, no run, 128.3 km/h short length just outside off stump."
28.1,•,"J Behrendorff to E Morgan, no run, 131.7 km/h short length on off stump."
27.6,1,"N Lyon to E Morgan, one run, 91.4 km/h good length just outside off stump."
27.5,•,"N Lyon to E Morgan, no run, 84.7 km/h short length outside off stump."
27.4,4,"N Lyon to E Morgan, FOUR, 87.2 km/h good length on middle stump."
27.3,4,"N Lyon to E Morgan, FOUR, 91.3 km/h good length on middle stump."
27.2,1,"N Lyon to J Root, one run, 87.7 km/h good length on off stump."
27.1,1,"N Lyon to E Morgan, one run, 95.2 km/h good length on middle stump."
26.6,1,"J Behrendorff to E Morgan, one run, 128.7 km/h short length on off stump."
26.5,4,"J Behrendorff to E Morgan, FOUR, 128.2 km/h short length on middle stump."
26.4,•,"J Behrendorff to E Morgan, no run, 130.3 km/h full length on middle stump."
26.3,2,"J Behrendorff to E Morgan, two runs, 114.8 km/h full length just outside off stump."
26.2,•,"J Behrendorff to E Morgan, no run, 129.1 km/h good length just outside off stump."
26.1,1,"J Behrendorff to J Root, one run, 132.1 km/h full length going down leg."
25.6,2,"N Lyon to E Morgan, two runs, 87.2 km/h good length on middle stump."
25.5,4,"N Lyon to E Morgan, FOUR, 86.3 km/h good length on off stump."
25.4,•,"N Lyon to E Morgan, no run, 87.3 km/h good length on middle stump."
25.3,•,"N Lyon to E Morgan, no run, 87.8 km/h good length on off stump."
25.2,•,"N Lyon to E Morgan, no run, 91.2 km/h good length just outside off stump."
25.1,1,"N Lyon to J Root, one run, 87.4 km/h good length going down leg."
24.6,1,"M Starc to J Root, one run, 147.9 km/h good length just outside off stump."
24.5,•,"M Starc to J Root, no run, 142.2 km/h short length on off stump."
24.4,4,"M Starc to J Root, FOUR, 149.2 km/h full toss going down leg."
24.3,•,"M Starc to J Root, no run, 145.0 km/h short length on off stump."
24.2,•,"M Starc to J Root, no run, 146.6 km/h full length just outside off stump."
24.1,•,"M Starc to J Root, no run, 140.2 km/h good length just outside off stump."
23.6,4,"P Cummins to E Morgan, FOUR, 144.2 km/h full length on middle stump."
23.5,•,"P Cummins to E Morgan, no run, 140.0 km/h short length going down leg."
23.5,1Wd,"P Cummins to E Morgan, wide delivery."
23.4,1,"P Cummins to J Root, one run."
23.3,1,"P Cummins to E Morgan, one run, 140.4 km/h good length on middle stump."
23.2,•,"P Cummins to E Morgan, no run, 142.4 km/h short length going down leg."
23.1,1,"P Cummins to J Root, one run, 143.5 km/h short length just outside off stump."
22.6,•,"M Starc to E Morgan, no run, 147.0 km/h short length on middle stump."
22.5,4,"M Starc to E Morgan, FOUR, 138.5 km/h short length outside off stump."
22.4,1,"M Starc to J Root, one run, 131.4 km/h short length going down leg."
22.3,•,"M Starc to J Root, no run, 140.9 km/h short length outside off stump."
22.2,•,"M Starc to J Root, no run, 138.6 km/h short length outside off stump."
22.1,•,"M Starc to J Root, no run, 146.7 km/h full length outside off stump."
21.6,•,"P Cummins to E Morgan, no run, 139.7 km/h short length going down leg."
21.5,•,"P Cummins to E Morgan, no run, 139.7 km/h short length on middle stump."
21.4,•,"P Cummins to E Morgan, no run, 139.2 km/h short length going down leg."
21.3,•,"P Cummins to E Morgan, no run, 141.8 km/h short length on middle stump."
21.2,1,"P Cummins to J Root, one run, 138.1 km/h short length on leg stump."
21.1,1,"P Cummins to E Morgan, one run, 139.1 km/h good length going down leg."
20.6,2,"M Starc to J Root, two runs, 137.9 km/h short length just outside off stump."
20.5,•,"M Starc to J Root, no run, 139.1 km/h short length just outside off stump."
20.4,2,"M Starc to J Root, two runs, 130.0 km/h short length on off stump."
20.3,•,"M Starc to J Root, no run, 147.1 km/h full length just outside off stump."
20.2,•,"M Starc to J Root, no run, 144.6 km/h full length just outside off stump."
20.1,•,"M Starc to J Root, no run, 143.3 km/h full length just outside off stump."
19.6,•,"P Cummins to E Morgan, no run, 139.0 km/h short length outside off stump."
19.5,•,"P Cummins to E Morgan, no run, 140.6 km/h short length just outside off stump."
19.4,W,"P Cummins to J Roy, WICKET!!! J Roy is out c Alex Carey b Pat Cummins."
19.3,1,"P Cummins to J Root, one run, 140.4 km/h short length just outside off stump."
