Ball,Runs,Commentary
28.4,6,"M Nabi to A Phehlukwayo, SIX, 74.3 km/h good length outside off stump."
28.3,•,"M Nabi to A Phehlukwayo, no run."
28.2,1,"M Nabi to H Amla, one run, 87.4 km/h good length on middle stump."
28.1,•,"M Nabi to H Amla, no run, 78.9 km/h good length just outside off stump."
27.6,•,"A Alam to A Phehlukwayo, no run, 105.9 km/h short length going down leg."
27.5,•,"A Alam to A Phehlukwayo, no run, 132.8 km/h full length on leg stump."
27.5,1Wd,"A Alam to A Phehlukwayo, wide delivery."
27.4,•,"A Alam to A Phehlukwayo, no run, 132.9 km/h full length on leg stump."
27.4,1Wd,"A Alam to A Phehlukwayo, wide delivery."
27.3,•,"A Alam to A Phehlukwayo, no run, 128.5 km/h short length on middle stump."
27.2,1,"A Alam to H Amla, one run."
27.1,•,"A Alam to H Amla, no run, 126.5 km/h full length just outside off stump."
26.6,•,"M Nabi to A Phehlukwayo, no run, 90.2 km/h short length going down leg."
26.5,1,"M Nabi to H Amla, one run, 88.7 km/h good length on middle stump."
26.4,1,"M Nabi to A Phehlukwayo, one run, 81.0 km/h good length on middle stump."
26.3,1,"M Nabi to H Amla, one run, 90.3 km/h good length on middle stump."
26.2,•,"M Nabi to H Amla, no run, 83.4 km/h good length on middle stump."
26.1,•,"M Nabi to H Amla, no run, 80.1 km/h good length on middle stump."
25.6,4,"R Khan to A Phehlukwayo, FOUR, 92.8 km/h short length just outside off stump."
25.5,•,"R Khan to A Phehlukwayo, no run, 95.3 km/h short length outside off stump."
25.4,1,"R Khan to H Amla, one run, 91.2 km/h good length on off stump."
25.3,•,"R Khan to H Amla, no run, 94.8 km/h full toss on off stump."
25.2,1,"R Khan to A Phehlukwayo, one run, 91.4 km/h good length on off stump."
25.1,4,"R Khan to A Phehlukwayo, FOUR, 90.4 km/h good length on middle stump."
24.6,•,"M Nabi to H Amla, no run, 83.1 km/h good length just outside off stump."
24.5,•,"M Nabi to H Amla, no run, 90.5 km/h good length outside off stump."
24.4,•,"M Nabi to H Amla, no run, 79.8 km/h good length just outside off stump."
24.3,1,"M Nabi to A Phehlukwayo, one run, 88.1 km/h good length going down leg."
24.2,•,"M Nabi to A Phehlukwayo, no run, 80.9 km/h good length on middle stump."
24.1,1,"M Nabi to H Amla, one run, 84.8 km/h short length just outside off stump."
23.6,•,"R Khan to A Phehlukwayo, no run, 87.5 km/h good length on off stump."
23.5,•,"R Khan to A Phehlukwayo, no run, 94.6 km/h good length on leg stump."
23.5,1Wd,"R Khan to A Phehlukwayo, wide delivery."
23.4,1,"R Khan to H Amla, one run, 87.3 km/h good length just outside off stump."
23.3,•,"R Khan to H Amla, no run, 93.0 km/h good length on middle stump."
23.2,•,"R Khan to H Amla, no run, 91.3 km/h full length just outside off stump."
23.1,•,"R Khan to H Amla, no run, 95.6 km/h good length on middle stump."
22.6,•,"G Naib to A Phehlukwayo, no run, 118.5 km/h full length on off stump."
22.5,W,"G Naib to Q de Kock, WICKET!!! Q de Kock is out c Mohammad Nabi b Gulbadin Naib, 98.7 km/h good length on leg stump."
22.4,4,"G Naib to Q de Kock, FOUR, 124.6 km/h full length going down leg."
22.3,1,"G Naib to H Amla, one run."
22.2,•,"G Naib to H Amla, no run, 117.6 km/h good length just outside off stump."
22.1,•,"G Naib to H Amla, no run, 124.8 km/h good length just outside off stump."
21.6,•,"M Nabi to Q de Kock, no run, 85.5 km/h good length on leg stump."
21.5,1,"M Nabi to H Amla, one run, 90.5 km/h short length on off stump."
21.4,•,"M Nabi to H Amla, no run, 83.5 km/h good length on off stump."
21.3,1,"M Nabi to Q de Kock, one run, 92.8 km/h short length going down leg."
21.3,1Wd,"M Nabi to Q de Kock, wide delivery."
21.2,•,"M Nabi to Q de Kock, no run, 85.2 km/h good length going down leg."
21.1,1,"M Nabi to H Amla, one run, 91.0 km/h good length just outside off stump."
20.6,•,"G Naib to Q de Kock, no run."
20.5,2,"G Naib to Q de Kock, two runs, 99.0 km/h short length just outside off stump."
20.4,•,"G Naib to Q de Kock, no run, 125.5 km/h full length just outside off stump."
20.3,1,"G Naib to H Amla, one run, 123.4 km/h full length on off stump."
