Ball,Runs,Commentary
49.6,1,"M Amir to A Phehlukwayo, one run, 133.1 km/h full toss going down leg."
49.5,•,"M Amir to A Phehlukwayo, no run, 135.9 km/h full toss going down leg."
49.4,4,"M Amir to A Phehlukwayo, FOUR, 137.4 km/h good length just outside off stump."
49.3,2,"M Amir to A Phehlukwayo, two runs, 121.1 km/h good length outside off stump."
49.2,2,"M Amir to A Phehlukwayo, two runs, 136.9 km/h short length just outside off stump."
49.1,2,"M Amir to A Phehlukwayo, two runs, 117.4 km/h good length outside off stump."
48.6,•,"W Riaz to I Tahir, no run, 139.9 km/h full length on middle stump."
48.5,•,"W Riaz to I Tahir, no run, 143.8 km/h full length going down leg."
48.4,1,"W Riaz to A Phehlukwayo, one run, 112.8 km/h good length just outside off stump."
48.3,1,"W Riaz to I Tahir, one run, 139.3 km/h full length on middle stump."
48.2,W,"W Riaz to L Ngidi, WICKET!!! L Ngidi is out b Wahab Riaz, 141.3 km/h full length on off stump."
48.1,•,"W Riaz to L Ngidi, no run, 143.9 km/h full length just outside off stump."
47.6,1,"M Amir to L Ngidi, one run, 132.4 km/h good length on middle stump."
47.5,•,"M Amir to L Ngidi, no run, 120.1 km/h good length just outside off stump."
47.4,•,"M Amir to L Ngidi, no run, 121.1 km/h short length just outside off stump."
47.3,1,"M Amir to A Phehlukwayo, one run, 139.3 km/h full toss outside off stump."
47.2,4,"M Amir to A Phehlukwayo, FOUR, 133.9 km/h full toss outside off stump."
47.1,•,"M Amir to A Phehlukwayo, no run, 116.9 km/h good length just outside off stump."
47.1,1Wd,"M Amir to A Phehlukwayo, wide delivery."
46.6,•,"W Riaz to L Ngidi, no run, 138.4 km/h full length just outside off stump."
46.5,W,"W Riaz to K Rabada, WICKET!!! K Rabada is out b Wahab Riaz, 138.9 km/h full toss on middle stump."
46.4,1,"W Riaz to A Phehlukwayo, one run, 140.3 km/h good length going down leg."
46.3,•,"W Riaz to A Phehlukwayo, no run, 140.1 km/h short length just outside off stump."
46.2,1,"W Riaz to K Rabada, one run, 140.4 km/h full length on middle stump."
46.1,•,"W Riaz to K Rabada, no run, 142.2 km/h full toss on middle stump."
45.6,4,"M Amir to A Phehlukwayo, FOUR, 139.1 km/h short length going down leg."
45.5,4,"M Amir to A Phehlukwayo, FOUR, 135.3 km/h full toss going down leg."
45.4,•,"M Amir to A Phehlukwayo, no run, 133.9 km/h full toss outside off stump."
45.3,2,"M Amir to A Phehlukwayo, two runs, 123.9 km/h short length going down leg."
45.2,1,"M Amir to K Rabada, one run, 114.8 km/h short length on middle stump."
45.1,1,"M Amir to A Phehlukwayo, one run, 134.1 km/h full length on off stump."
44.6,•,"W Riaz to K Rabada, no run, 140.2 km/h short length on leg stump."
44.5,1,"W Riaz to A Phehlukwayo, one run, 142.1 km/h full toss going down leg."
44.5,1Wd,"W Riaz to A Phehlukwayo, wide delivery."
44.4,1,"W Riaz to K Rabada, one run, 142.4 km/h full length just outside off stump."
44.3,•,"W Riaz to K Rabada, no run, 143.5 km/h full toss on leg stump."
44.2,W,"W Riaz to C Morris, WICKET!!! C Morris is out b Wahab Riaz, 148.0 km/h full length on leg stump."
44.1,1,"W Riaz to A Phehlukwayo, one run, 144.5 km/h full toss going down leg."
43.6,1,"S Khan to A Phehlukwayo, one run, 86.7 km/h full length on middle stump."
43.5,•,"S Khan to A Phehlukwayo, no run, 110.7 km/h good length on middle stump."
43.4,4,"S Khan to A Phehlukwayo, FOUR, 90.2 km/h good length on middle stump."
43.3,1,"S Khan to C Morris, one run, 88.7 km/h short length outside off stump."
43.2,1,"S Khan to A Phehlukwayo, one run, 88.8 km/h good length just outside off stump."
43.1,1,"S Khan to C Morris, one run, 85.2 km/h good length just outside off stump."
42.6,1,"S Afridi to C Morris, one run, 138.0 km/h full toss just outside off stump."
42.5,6,"S Afridi to C Morris, SIX, 141.9 km/h good length on middle stump."
42.4,4,"S Afridi to C Morris, FOUR, 141.4 km/h short length outside off stump."
42.3,1,"S Afridi to A Phehlukwayo, one run, 138.3 km/h short length just outside off stump."
42.2,•,"S Afridi to A Phehlukwayo, no run, 139.7 km/h good length on middle stump."
42.1,4,"S Afridi to A Phehlukwayo, FOUR, 139.0 km/h good length on leg stump."
41.6,1,"S Khan to A Phehlukwayo, one run, 84.3 km/h good length on middle stump."
41.5,•,"S Khan to A Phehlukwayo, no run."
41.4,1,"S Khan to C Morris, one run, 88.9 km/h full length on off stump."
41.3,•,"S Khan to C Morris, no run, 85.5 km/h good length just outside off stump."
41.2,1,"S Khan to A Phehlukwayo, one run, 111.3 km/h good length just outside off stump."
41.1,1,"S Khan to C Morris, one run, 86.3 km/h good length just outside off stump."
40.6,1,"S Afridi to C Morris, one run, 143.2 km/h full length outside off stump."
40.5,W,"S Afridi to D Miller, WICKET!!! D Miller is out b Shaheen Afridi, 124.5 km/h good length on middle stump."
40.4,1,"S Afridi to A Phehlukwayo, one run, 140.4 km/h full length just outside off stump."
40.3,•,"S Afridi to A Phehlukwayo, no run, 140.3 km/h full length on middle stump."
40.2,1,"S Afridi to D Miller, one run, 139.9 km/h full length just outside off stump."
40.1,1,"S Afridi to A Phehlukwayo, one run, 135.3 km/h full length outside off stump."
39.6,•,"S Khan to D Miller, no run, 86.7 km/h good length just outside off stump."
39.5,•,"S Khan to D Miller, no run, 89.8 km/h good length on leg stump."
39.4,W,"S Khan to R van der Dussen, WICKET!!! R van der Dussen is out c Mohammad Hafeez b Shadab Khan, 86.3 km/h good length just outside off stump."
39.3,1,"S Khan to D Miller, one run, 86.8 km/h full length on middle stump."
39.2,1Wd,"S Khan to R van der Dussen, wide delivery."
39.1,•,"S Khan to R van der Dussen, no run, 84.9 km/h good length outside off stump."
38.6,•,"W Riaz to D Miller, no run, 139.6 km/h short length on leg stump."
38.5,•,"W Riaz to D Miller, no run, 135.7 km/h good length on off stump."
38.4,•,"W Riaz to D Miller, no run, 149.5 km/h good length outside off stump."
38.3,1,"W Riaz to R van der Dussen, one run, 117.8 km/h short length on off stump."
38.3,1Wd,"W Riaz to R van der Dussen, wide delivery."
38.2,1,"W Riaz to D Miller, one run, 142.5 km/h full length on off stump."
38.1,1,"W Riaz to R van der Dussen, one run."
37.6,2,"S Afridi to D Miller, two runs, 122.0 km/h full length just outside off stump."
37.5,1,"S Afridi to R van der Dussen, one run, 140.0 km/h full toss on middle stump."
37.4,6,"S Afridi to R van der Dussen, SIX, 132.7 km/h good length outside off stump."
37.3,1,"S Afridi to D Miller, one run, 119.7 km/h full length on off stump."
37.2,•,"S Afridi to D Miller, no run, 135.4 km/h short length just outside off stump."
