Ball,Runs,Commentary
39.6,•,"H Pandya to I Wasim, no run."
39.5,1,"H Pandya to S Khan, one run, 130.8 km/h short length outside off stump."
39.4,1,"H Pandya to I Wasim, one run, 114.0 km/h short length on middle stump."
39.3,1,"H Pandya to S Khan, one run, 104.0 km/h full toss on off stump."
39.2,1,"H Pandya to I Wasim, one run."
39.1,•,"H Pandya to I Wasim, no run, 117.7 km/h short length outside off stump."
38.6,1,"J Bumrah to I Wasim, one run, 140.2 km/h full toss just outside off stump."
38.6,5Nb,"J Bumrah to I Wasim, 5 runs, no-ball."
38.5,•,"J Bumrah to I Wasim, no run, 140.6 km/h short length on middle stump."
38.4,1,"J Bumrah to S Khan, one run, 121.1 km/h short length just outside off stump."
38.3,1,"J Bumrah to I Wasim, one run, 121.4 km/h good length just outside off stump."
38.2,•,"J Bumrah to I Wasim, no run, 137.6 km/h short length outside off stump."
38.1,4,"J Bumrah to I Wasim, FOUR, 120.4 km/h good length just outside off stump."
37.6,2,"Y Chahal to S Khan, two runs, 70.7 km/h good length on leg stump."
37.5,2,"Y Chahal to S Khan, two runs."
37.4,2,"Y Chahal to S Khan, two runs, 74.2 km/h good length outside off stump."
37.3,1,"Y Chahal to I Wasim, one run, 70.0 km/h good length just outside off stump."
37.2,2,"Y Chahal to I Wasim, two runs, 88.8 km/h full length going down leg."
37.1,4,"Y Chahal to I Wasim, FOUR, 79.8 km/h short length outside off stump."
37.1,1Wd,"Y Chahal to I Wasim, wide delivery."
36.6,4,"J Bumrah to S Khan, FOUR, 140.8 km/h full length on off stump."
36.5,1,"J Bumrah to I Wasim, one run, 120.7 km/h short length on off stump."
36.4,2,"J Bumrah to I Wasim, two runs, 116.8 km/h short length outside off stump."
36.3,•,"J Bumrah to I Wasim, no run, 117.3 km/h full length on middle stump."
36.2,1,"J Bumrah to S Khan, one run, 136.3 km/h good length just outside off stump."
36.1,2,"J Bumrah to S Khan, two runs, 138.4 km/h full length on middle stump."
35.6,1,"Y Chahal to S Khan, one run, 70.8 km/h good length outside off stump."
35.5,1,"Y Chahal to I Wasim, one run, 70.4 km/h good length outside off stump."
35.4,•,"Y Chahal to I Wasim, no run, 81.0 km/h short length outside off stump."
35.3,1,"Y Chahal to S Khan, one run, 72.9 km/h good length just outside off stump."
35.2,1,"Y Chahal to I Wasim, one run, 77.9 km/h good length outside off stump."
35.2,1Wd,"Y Chahal to I Wasim, wide delivery."
35.1,1,"Y Chahal to S Khan, one run, 80.8 km/h full length just outside off stump."
34.6,•,"V Shankar to I Wasim, no run, 126.3 km/h short length just outside off stump."
34.5,•,"V Shankar to I Wasim, no run, 128.6 km/h full length just outside off stump."
34.4,•,"V Shankar to I Wasim, no run, 130.8 km/h short length just outside off stump."
34.3,1,"V Shankar to S Khan, one run, 125.6 km/h full length outside off stump."
34.2,•,"V Shankar to S Khan, no run, 134.1 km/h full length just outside off stump."
34.1,W,"V Shankar to S Ahmed, WICKET!!! S Ahmed is out b Vijay Shankar, 123.8 km/h short length just outside off stump."
33.6,1,"J Bumrah to S Ahmed, one run, 116.3 km/h short length just outside off stump."
33.5,1,"J Bumrah to I Wasim, one run, 138.1 km/h full toss on off stump."
33.4,1Lb,"J Bumrah to S Ahmed, 1 leg bye."
33.3,1,"J Bumrah to I Wasim, one run, 115.2 km/h good length on middle stump."
33.2,4,"J Bumrah to I Wasim, FOUR, 136.9 km/h short length just outside off stump."
33.1,•,"J Bumrah to I Wasim, no run, 136.8 km/h full length just outside off stump."
32.6,1,"V Shankar to I Wasim, one run, 124.8 km/h short length going down leg."
32.5,1,"V Shankar to S Ahmed, one run, 128.2 km/h good length on off stump."
32.4,•,"V Shankar to S Ahmed, no run, 126.5 km/h full toss just outside off stump."
32.4,1Wd,"V Shankar to S Ahmed, wide delivery."
32.3,•,"V Shankar to S Ahmed, no run, 126.4 km/h good length outside off stump."
32.2,•,"V Shankar to S Ahmed, no run, 129.8 km/h good length just outside off stump."
32.1,•,"V Shankar to S Ahmed, no run, 128.7 km/h good length outside off stump."
31.6,4,"J Bumrah to I Wasim, FOUR, 132.2 km/h short length just outside off stump."
31.5,1,"J Bumrah to S Ahmed, one run, 129.5 km/h short length just outside off stump."
31.4,1,"J Bumrah to I Wasim, one run, 135.9 km/h short length just outside off stump."
31.3,•,"J Bumrah to I Wasim, no run, 135.5 km/h short length outside off stump."
31.2,1,"J Bumrah to S Ahmed, one run, 140.3 km/h short length on middle stump."
31.1,1,"J Bumrah to I Wasim, one run, 133.5 km/h short length on off stump."
30.6,1,"H Pandya to I Wasim, one run, 128.7 km/h short length on off stump."
30.5,1,"H Pandya to S Ahmed, one run, 132.9 km/h short length just outside off stump."
30.4,1,"H Pandya to I Wasim, one run."
30.3,1,"H Pandya to S Ahmed, one run, 140.3 km/h short length on middle stump."
30.2,1,"H Pandya to I Wasim, one run, 138.1 km/h good length outside off stump."
30.1,1,"H Pandya to S Ahmed, one run, 139.5 km/h short length on middle stump."
29.6,1,"K Yadav to S Ahmed, one run, 80.6 km/h good length on middle stump."
29.5,•,"K Yadav to S Ahmed, no run, 74.9 km/h good length just outside off stump."
29.4,•,"K Yadav to S Ahmed, no run, 82.2 km/h good length on middle stump."
29.3,1,"K Yadav to I Wasim, one run, 76.2 km/h good length outside off stump."
29.2,1,"K Yadav to S Ahmed, one run, 72.6 km/h full length on middle stump."
29.1,•,"K Yadav to S Ahmed, no run, 72.9 km/h good length on middle stump."
28.6,4,"H Pandya to I Wasim, FOUR, 131.9 km/h short length on leg stump."
28.5,•,"H Pandya to I Wasim, no run, 135.5 km/h good length just outside off stump."
28.4,1,"H Pandya to S Ahmed, one run, 142.7 km/h short length on middle stump."
28.3,•,"H Pandya to S Ahmed, no run, 143.0 km/h good length on middle stump."
28.2,•,"H Pandya to S Ahmed, no run."
28.1,•,"H Pandya to S Ahmed, no run, 143.1 km/h good length just outside off stump."
27.6,1,"K Yadav to S Ahmed, one run, 79.4 km/h good length going down leg."
27.5,1,"K Yadav to I Wasim, one run, 72.5 km/h good length outside off stump."
27.4,•,"K Yadav to I Wasim, no run, 76.9 km/h good length just outside off stump."
27.3,1,"K Yadav to S Ahmed, one run, 73.5 km/h good length going down leg."
