Ball,Runs,Commentary
43.4,W,"M Starc to M Santner, WICKET!!! M Santner is out c Jason Behrendorff b Mitchell Starc, 146.2 km/h short length going down leg."
43.3,•,"M Starc to M Santner, no run, 152.1 km/h full toss going down leg."
43.2,•,"M Starc to M Santner, no run, 147.2 km/h full toss going down leg."
43.1,•,"M Starc to M Santner, no run, 148.4 km/h short length just outside off stump."
42.6,•,"N Lyon to T Boult, no run, 87.2 km/h good length on off stump."
42.5,2,"N Lyon to T Boult, two runs, 90.5 km/h good length going down leg."
42.4,1,"N Lyon to M Santner, one run, 87.2 km/h good length outside off stump."
42.3,4B,"N Lyon to M Santner, 4 byes."
42.2,6,"N Lyon to M Santner, SIX, 88.7 km/h good length on middle stump."
42.1,•,"N Lyon to M Santner, no run, 87.4 km/h good length outside off stump."
41.6,•,"M Starc to T Boult, no run, 152.4 km/h good length going down leg."
41.5,•,"M Starc to T Boult, no run, 147.1 km/h full toss going down leg."
41.4,•,"M Starc to T Boult, no run, 152.5 km/h full length on off stump."
41.3,•,"M Starc to T Boult, no run, 145.7 km/h short length just outside off stump."
41.2,•,"M Starc to T Boult, no run, 153.5 km/h full length on off stump."
41.1,W,"M Starc to L Ferguson, WICKET!!! L Ferguson is out b Mitchell Starc, 145.4 km/h good length on off stump."
40.6,•,"N Lyon to M Santner, no run, 91.4 km/h good length just outside off stump."
40.6,2Wd,"N Lyon to L Ferguson, wide delivery."
40.5,•,"N Lyon to L Ferguson, no run, 88.1 km/h good length just outside off stump."
40.4,•,"N Lyon to L Ferguson, no run, 88.3 km/h good length on off stump."
40.3,1,"N Lyon to M Santner, one run, 87.4 km/h good length just outside off stump."
40.2,•,"N Lyon to M Santner, no run, 87.2 km/h good length on middle stump."
40.1,•,"N Lyon to M Santner, no run, 87.3 km/h good length just outside off stump."
39.6,W,"M Starc to I Sodhi, WICKET!!! I Sodhi is out lbw Mitchell Starc, 154.3 km/h good length on middle stump."
39.6,1Wd,"M Starc to I Sodhi, wide delivery."
39.6,2Wd,"M Starc to M Santner, wide delivery."
39.5,1,"M Starc to I Sodhi, one run, 148.7 km/h full toss on leg stump."
39.4,1,"M Starc to M Santner, one run, 147.5 km/h short length going down leg."
39.3,•,"M Starc to M Santner, no run, 134.3 km/h full length just outside off stump."
39.2,•,"M Starc to M Santner, no run, 147.1 km/h short length just outside off stump."
39.1,•,"M Starc to M Santner, no run, 148.4 km/h full length on middle stump."
38.6,4,"N Lyon to I Sodhi, FOUR, 87.6 km/h good length going down leg."
38.5,•,"N Lyon to I Sodhi, no run, 90.6 km/h good length on leg stump."
38.4,1,"N Lyon to M Santner, one run, 87.2 km/h good length on off stump."
38.3,•,"N Lyon to M Santner, no run, 89.3 km/h good length on leg stump."
38.2,•,"N Lyon to M Santner, no run, 94.3 km/h good length on middle stump."
38.1,W,"N Lyon to J Neesham, WICKET!!! J Neesham is out c & b Nathan Lyon, 87.0 km/h good length outside off stump."
37.6,•,"M Starc to M Santner, no run, 149.5 km/h short length on middle stump."
37.5,•,"M Starc to M Santner, no run, 150.5 km/h good length on middle stump."
37.4,•,"M Starc to M Santner, no run, 151.5 km/h full length outside off stump."
37.3,1,"M Starc to J Neesham, one run, 141.6 km/h short length on leg stump."
37.2,•,"M Starc to J Neesham, no run, 144.1 km/h good length on middle stump."
37.1,•,"M Starc to J Neesham, no run, 144.1 km/h good length just outside off stump."
