Ball,Runs,Commentary
46.6,W,"N Pradeep to M Wood, WICKET!!! M Wood is out c Kusal Perera b Nuwan Pradeep, 131.3 km/h good length just outside off stump."
46.5,1,"N Pradeep to B Stokes, one run, 134.9 km/h full length on middle stump."
46.4,•,"N Pradeep to B Stokes, no run, 137.4 km/h full toss just outside off stump."
46.3,4,"N Pradeep to B Stokes, FOUR, 116.5 km/h good length on off stump."
46.2,4,"N Pradeep to B Stokes, FOUR, 135.6 km/h full toss outside off stump."
46.1,•,"N Pradeep to B Stokes, no run, 134.4 km/h full length outside off stump."
45.6,•,"I Udana to M Wood, no run, 133.5 km/h good length on middle stump."
45.5,1,"I Udana to B Stokes, one run, 133.4 km/h full length outside off stump."
45.4,2,"I Udana to B Stokes, two runs, 93.1 km/h short length going down leg."
45.3,•,"I Udana to B Stokes, no run, 101.2 km/h short length on middle stump."
45.2,6,"I Udana to B Stokes, SIX, 128.5 km/h good length outside off stump."
45.1,6,"I Udana to B Stokes, SIX, 128.4 km/h good length on middle stump."
44.6,1,"L Malinga to B Stokes, one run, 132.2 km/h full length on middle stump."
44.5,•,"L Malinga to B Stokes, no run, 134.3 km/h full length on middle stump."
44.4,•,"L Malinga to B Stokes, no run, 130.0 km/h full length just outside off stump."
44.3,•,"L Malinga to B Stokes, no run, 104.6 km/h good length outside off stump."
44.3,1Wd,"L Malinga to B Stokes, wide delivery."
44.2,•,"L Malinga to B Stokes, no run, 129.7 km/h full toss outside off stump."
44.1,•,"L Malinga to B Stokes, no run, 130.9 km/h full length outside off stump."
43.6,•,"I Udana to M Wood, no run, 128.4 km/h good length outside off stump."
43.5,•,"I Udana to M Wood, no run, 127.4 km/h full length on off stump."
43.4,W,"I Udana to J Archer, WICKET!!! J Archer is out c Thisara Perera b Isuru Udana, 100.0 km/h short length just outside off stump."
43.3,•,"I Udana to J Archer, no run, 127.2 km/h good length outside off stump."
43.2,1,"I Udana to B Stokes, one run, 128.6 km/h full length on middle stump."
43.1,•,"I Udana to B Stokes, no run, 94.9 km/h good length outside off stump."
42.6,•,"L Malinga to J Archer, no run, 136.5 km/h short length on middle stump."
42.5,•,"L Malinga to J Archer, no run, 121.8 km/h short length going down leg."
42.4,1,"L Malinga to B Stokes, one run, 130.2 km/h full length on off stump."
42.3,1,"L Malinga to J Archer, one run, 132.3 km/h full length going down leg."
42.2,•,"L Malinga to J Archer, no run, 128.9 km/h full toss on middle stump."
42.1,•,"L Malinga to J Archer, no run, 127.9 km/h good length on leg stump."
41.6,1,"I Udana to J Archer, one run, 129.5 km/h full toss just outside off stump."
41.5,•,"I Udana to J Archer, no run, 133.2 km/h full toss just outside off stump."
41.4,1,"I Udana to B Stokes, one run, 100.1 km/h short length just outside off stump."
41.3,•,"I Udana to B Stokes, no run, 130.1 km/h full length outside off stump."
41.2,1,"I Udana to J Archer, one run, 129.1 km/h short length outside off stump."
41.1,1,"I Udana to B Stokes, one run, 129.1 km/h full toss just outside off stump."
41.1,1Wd,"I Udana to B Stokes, wide delivery."
40.6,•,"D de Silva to J Archer, no run, 88.6 km/h good length on middle stump."
40.5,W,"D de Silva to A Rashid, WICKET!!! A Rashid is out c Kusal Perera b Dhananjaya de Silva, 86.4 km/h good length outside off stump."
40.4,1,"D de Silva to B Stokes, one run, 88.2 km/h good length just outside off stump."
40.3,•,"D de Silva to B Stokes, no run, 87.5 km/h good length on leg stump."
40.2,1,"D de Silva to A Rashid, one run, 86.4 km/h full length just outside off stump."
40.1,W,"D de Silva to C Woakes, WICKET!!! C Woakes is out c Kusal Perera b Dhananjaya de Silva, 85.2 km/h good length outside off stump."
39.6,•,"N Pradeep to B Stokes, no run, 131.4 km/h full toss on middle stump."
39.5,•,"N Pradeep to B Stokes, no run, 130.5 km/h good length on middle stump."
39.4,•,"N Pradeep to B Stokes, no run, 132.5 km/h full toss on off stump."
39.3,•,"N Pradeep to B Stokes, no run, 132.8 km/h full length just outside off stump."
39.2,4,"N Pradeep to B Stokes, FOUR, 132.5 km/h good length just outside off stump."
39.1,1,"N Pradeep to C Woakes, one run, 128.7 km/h short length just outside off stump."
38.6,•,"D de Silva to B Stokes, no run, 87.6 km/h full length on leg stump."
38.5,1,"D de Silva to C Woakes, one run, 79.6 km/h good length outside off stump."
38.4,•,"D de Silva to C Woakes, no run, 82.1 km/h good length just outside off stump."
38.3,W,"D de Silva to M Ali, WICKET!!! M Ali is out c Isuru Udana b Dhananjaya de Silva, 81.6 km/h good length outside off stump."
38.2,6,"D de Silva to M Ali, SIX, 84.2 km/h good length going down leg."
38.1,•,"D de Silva to M Ali, no run, 96.2 km/h good length on off stump."
37.6,1,"NTLC Perera to M Ali, one run, 123.6 km/h good length outside off stump."
37.5,•,"NTLC Perera to M Ali, no run, 124.5 km/h good length outside off stump."
37.4,•,"NTLC Perera to M Ali, no run, 126.3 km/h good length on middle stump."
37.3,2,"NTLC Perera to M Ali, two runs, 121.4 km/h good length outside off stump."
37.2,1,"NTLC Perera to B Stokes, one run, 124.1 km/h short length outside off stump."
37.1,1,"NTLC Perera to M Ali, one run, 125.7 km/h short length outside off stump."
36.6,1,"D de Silva to M Ali, one run, 86.2 km/h full length outside off stump."
36.5,1,"D de Silva to B Stokes, one run, 87.6 km/h full length on middle stump."
36.4,•,"D de Silva to B Stokes, no run, 87.5 km/h short length on leg stump."
36.3,•,"D de Silva to B Stokes, no run, 84.7 km/h good length on middle stump."
