Ball,Runs,Commentary
45.5,W,"P Cummins to N Pradeep, WICKET!!! N Pradeep is out c Alex Carey b Pat Cummins, 138.0 km/h full length going down leg."
45.4,1,"P Cummins to D de Silva, one run, 117.4 km/h short length on off stump."
45.3,•,"P Cummins to D de Silva, no run, 116.5 km/h short length just outside off stump."
45.2,•,"P Cummins to D de Silva, no run, 131.1 km/h good length on off stump."
45.1,•,"P Cummins to D de Silva, no run, 136.6 km/h short length just outside off stump."
44.6,•,"K Richardson to N Pradeep, no run, 132.4 km/h good length going down leg."
44.5,1,"K Richardson to D de Silva, one run, 125.4 km/h short length just outside off stump."
44.4,4,"K Richardson to D de Silva, FOUR, 125.0 km/h short length outside off stump."
44.3,•,"K Richardson to D de Silva, no run, 124.1 km/h short length outside off stump."
44.2,•,"K Richardson to D de Silva, no run, 130.5 km/h full toss just outside off stump."
44.2,1Wd,"K Richardson to D de Silva, wide delivery."
44.1,•,"K Richardson to D de Silva, no run, 134.1 km/h full toss just outside off stump."
43.6,•,"P Cummins to N Pradeep, no run, 139.9 km/h good length on off stump."
43.5,•,"P Cummins to N Pradeep, no run, 133.3 km/h good length just outside off stump."
43.4,1,"P Cummins to D de Silva, one run, 135.5 km/h short length on middle stump."
43.3,•,"P Cummins to D de Silva, no run, 132.8 km/h short length on middle stump."
43.2,•,"P Cummins to D de Silva, no run, 132.9 km/h short length going down leg."
43.2,1Wd,"P Cummins to D de Silva, wide delivery."
43.1,•,"P Cummins to D de Silva, no run, 131.8 km/h short length on off stump."
42.6,•,"M Starc to N Pradeep, no run, 142.2 km/h short length on middle stump."
42.5,1,"M Starc to D de Silva, one run, 146.8 km/h full length just outside off stump."
42.4,•,"M Starc to D de Silva, no run, 145.6 km/h short length on off stump."
42.3,•,"M Starc to D de Silva, no run, 141.4 km/h full length on off stump."
42.2,•,"M Starc to D de Silva, no run, 141.8 km/h full length just outside off stump."
42.1,•,"M Starc to D de Silva, no run, 140.8 km/h short length going down leg."
41.6,•,"K Richardson to N Pradeep, no run, 135.8 km/h full length going down leg."
41.5,•,"K Richardson to N Pradeep, no run, 135.9 km/h full toss on off stump."
41.4,W,"K Richardson to L Malinga, WICKET!!! L Malinga is out c Usman Khawaja b Kane Richardson, 136.6 km/h full length on off stump."
41.3,•,"K Richardson to L Malinga, no run, 131.0 km/h full length on middle stump."
41.2,•,"K Richardson to L Malinga, no run, 116.9 km/h short length just outside off stump."
41.1,•,"K Richardson to L Malinga, no run, 133.4 km/h short length going down leg."
40.6,•,"M Starc to D de Silva, no run, 149.5 km/h full toss just outside off stump."
40.5,•,"M Starc to D de Silva, no run, 146.6 km/h full toss outside off stump."
40.4,•,"M Starc to D de Silva, no run, 147.3 km/h full toss just outside off stump."
40.3,•,"M Starc to D de Silva, no run, 130.8 km/h good length on middle stump."
40.2,•,"M Starc to D de Silva, no run, 145.0 km/h full length on off stump."
