Ball,Runs,Commentary
47.6,W,"J Bumrah to M Rahman, WICKET!!! M Rahman is out b Jasprit Bumrah, 143.6 km/h full length on off stump."
47.5,W,"J Bumrah to R Hossain, WICKET!!! R Hossain is out b Jasprit Bumrah, 142.8 km/h full toss on middle stump."
47.4,1,"J Bumrah to M Saifuddin, one run, 123.6 km/h short length on off stump."
47.3,4,"J Bumrah to M Saifuddin, FOUR, 141.5 km/h full length just outside off stump."
47.2,1,"J Bumrah to R Hossain, one run, 116.8 km/h short length on off stump."
47.1,1,"J Bumrah to M Saifuddin, one run, 141.9 km/h full toss just outside off stump."
46.6,•,"M Shami to R Hossain, no run, 142.8 km/h full length on leg stump."
46.5,•,"M Shami to R Hossain, no run, 143.8 km/h full toss just outside off stump."
46.4,1,"M Shami to M Saifuddin, one run, 141.3 km/h full toss on off stump."
46.3,4,"M Shami to M Saifuddin, FOUR, 129.7 km/h short length going down leg."
46.3,1Wd,"M Shami to M Saifuddin, wide delivery."
46.2,1,"M Shami to R Hossain, one run, 138.3 km/h full toss just outside off stump."
46.1,•,"M Shami to R Hossain, no run, 138.3 km/h full length just outside off stump."
45.6,1,"J Bumrah to R Hossain, one run, 143.0 km/h full toss going down leg."
45.5,1,"J Bumrah to M Saifuddin, one run, 138.1 km/h full length on middle stump."
45.4,1,"J Bumrah to R Hossain, one run, 142.5 km/h short length on off stump."
45.3,4,"J Bumrah to R Hossain, FOUR, 139.9 km/h full length on off stump."
45.2,1,"J Bumrah to M Saifuddin, one run, 139.7 km/h full toss just outside off stump."
45.1,•,"J Bumrah to M Saifuddin, no run."
44.6,1,"B Kumar to M Saifuddin, one run, 120.5 km/h short length going down leg."
44.5,4,"B Kumar to M Saifuddin, FOUR, 135.8 km/h full toss on off stump."
44.5,1Wd,"B Kumar to M Saifuddin, wide delivery."
44.4,1,"B Kumar to R Hossain, one run, 130.7 km/h short length just outside off stump."
44.3,•,"B Kumar to R Hossain, no run."
44.2,W,"B Kumar to M Mortaza, WICKET!!! M Mortaza is out c MS Dhoni b Bhuvneshwar Kumar, 126.7 km/h good length outside off stump."
44.1,6,"B Kumar to M Mortaza, SIX, 122.7 km/h good length just outside off stump."
43.6,2,"J Bumrah to M Saifuddin, two runs, 139.3 km/h full toss on off stump."
43.6,1Wd,"J Bumrah to M Saifuddin, wide delivery."
43.5,1,"J Bumrah to M Mortaza, one run, 118.4 km/h full length on leg stump."
43.4,1,"J Bumrah to M Saifuddin, one run, 141.5 km/h full toss on off stump."
43.3,1,"J Bumrah to M Mortaza, one run, 140.8 km/h short length going down leg."
