Ball,Runs,Commentary
14.1,•,"Mosaddek Hossain to G Naib, no run, 86.2 km/h short length on middle stump."
46.6,W,"M Saifuddin to M Ur Rahman, WICKET!!! M Ur Rahman is out b Mohammad Saifuddin, 131.2 km/h short length on middle stump."
46.5,•,"M Saifuddin to M Ur Rahman, no run, 129.3 km/h full length just outside off stump."
46.4,1,"M Saifuddin to S Shinwari, one run."
46.3,4,"M Saifuddin to S Shinwari, FOUR, 124.8 km/h full length just outside off stump."
46.2,•,"M Saifuddin to S Shinwari, no run, 125.8 km/h full length on leg stump."
46.1,•,"M Saifuddin to S Shinwari, no run, 124.0 km/h full toss just outside off stump."
45.6,•,"M Rahman to M Ur Rahman, no run, 124.6 km/h short length on middle stump."
45.5,•,"M Rahman to M Ur Rahman, no run, 134.5 km/h full length outside off stump."
45.4,W,"M Rahman to D Zadran, WICKET!!! D Zadran is out c Mushfiqur Rahim b Mustafizur Rahman, 125.8 km/h short length on off stump."
45.3,•,"M Rahman to D Zadran, no run, 127.2 km/h full length just outside off stump."
45.2,•,"M Rahman to D Zadran, no run, 124.9 km/h good length on off stump."
45.1,1,"M Rahman to S Shinwari, one run, 128.8 km/h short length just outside off stump."
44.6,•,"S Al Hasan to D Zadran, no run, 75.7 km/h good length on off stump."
44.5,•,"S Al Hasan to D Zadran, no run, 84.0 km/h good length just outside off stump."
44.4,1,"S Al Hasan to S Shinwari, one run, 82.8 km/h good length on leg stump."
44.3,•,"S Al Hasan to S Shinwari, no run, 88.7 km/h good length on leg stump."
44.2,•,"S Al Hasan to S Shinwari, no run, 82.0 km/h good length on middle stump."
44.1,2,"S Al Hasan to S Shinwari, two runs, 84.6 km/h short length on middle stump."
43.6,•,"M Rahman to D Zadran, no run, 123.1 km/h short length just outside off stump."
43.5,•,"M Rahman to D Zadran, no run, 123.7 km/h short length outside off stump."
43.4,•,"M Rahman to D Zadran, no run, 126.2 km/h good length outside off stump."
43.3,W,"M Rahman to R Khan, WICKET!!! R Khan is out c Mashrafe Mortaza b Mustafizur Rahman, 126.4 km/h short length on off stump."
43.2,1,"M Rahman to S Shinwari, one run, 127.6 km/h short length on middle stump."
43.1,1,"M Rahman to R Khan, one run, 127.5 km/h short length just outside off stump."
42.6,•,"S Al Hasan to S Shinwari, no run, 81.7 km/h good length on off stump."
42.5,1,"S Al Hasan to R Khan, one run, 84.2 km/h good length on middle stump."
42.4,W,"S Al Hasan to N Zadran, WICKET!!! N Zadran is out st Mushfiqur Rahim b Shakib Al Hasan, 89.5 km/h good length outside off stump."
42.3,1,"S Al Hasan to S Shinwari, one run, 83.4 km/h good length going down leg."
42.2,2,"S Al Hasan to S Shinwari, two runs, 87.4 km/h good length outside off stump."
42.1,1,"S Al Hasan to N Zadran, one run, 88.4 km/h good length going down leg."
41.6,1,"M Saifuddin to N Zadran, one run, 126.5 km/h full toss on off stump."
41.5,1,"M Saifuddin to S Shinwari, one run, 132.6 km/h full length going down leg."
41.4,1,"M Saifuddin to N Zadran, one run, 109.0 km/h short length just outside off stump."
41.3,2,"M Saifuddin to N Zadran, two runs, 125.1 km/h full length on middle stump."
41.2,1,"M Saifuddin to S Shinwari, one run, 128.2 km/h short length on middle stump."
41.1,1,"M Saifuddin to N Zadran, one run, 109.2 km/h short length just outside off stump."
40.6,6,"S Al Hasan to S Shinwari, SIX, 74.5 km/h good length outside off stump."
40.5,•,"S Al Hasan to S Shinwari, no run, 77.5 km/h good length outside off stump."
40.4,1,"S Al Hasan to N Zadran, one run, 87.0 km/h good length on leg stump."
40.3,1,"S Al Hasan to S Shinwari, one run, 86.2 km/h short length outside off stump."
40.2,1,"S Al Hasan to N Zadran, one run, 87.4 km/h good length going down leg."
40.1,2,"S Al Hasan to N Zadran, two runs, 83.4 km/h full length on off stump."
39.6,2,"M Saifuddin to S Shinwari, two runs, 127.1 km/h good length going down leg."
39.5,•,"M Saifuddin to S Shinwari, no run, 128.5 km/h good length on off stump."
39.5,1Wd,"M Saifuddin to S Shinwari, wide delivery."
39.4,1,"M Saifuddin to N Zadran, one run, 127.8 km/h full toss just outside off stump."
39.3,•,"M Saifuddin to N Zadran, no run, 124.7 km/h full length just outside off stump."
39.2,1,"M Saifuddin to S Shinwari, one run, 124.8 km/h full length just outside off stump."
39.1,1,"M Saifuddin to N Zadran, one run, 107.4 km/h short length just outside off stump."
38.6,1,"M Rahman to N Zadran, one run, 124.5 km/h good length just outside off stump."
38.5,•,"M Rahman to N Zadran, no run, 127.3 km/h short length outside off stump."
38.4,1,"M Rahman to S Shinwari, one run, 129.6 km/h short length going down leg."
38.3,•,"M Rahman to S Shinwari, no run, 128.1 km/h full length just outside off stump."
38.2,•,"M Rahman to S Shinwari, no run, 130.5 km/h good length on middle stump."
38.1,4,"M Rahman to S Shinwari, FOUR, 129.2 km/h good length outside off stump."
37.6,•,"Mosaddek Hossain to N Zadran, no run, 76.9 km/h full length just outside off stump."
37.5,1,"Mosaddek Hossain to S Shinwari, one run."
37.4,1,"Mosaddek Hossain to N Zadran, one run."
37.3,4,"Mosaddek Hossain to N Zadran, FOUR, 84.8 km/h full length outside off stump."
37.2,•,"Mosaddek Hossain to N Zadran, no run, 85.8 km/h good length just outside off stump."
37.1,1,"Mosaddek Hossain to S Shinwari, one run, 87.6 km/h good length going down leg."
36.6,1,"M Rahman to S Shinwari, one run, 126.1 km/h good length on middle stump."
36.5,2,"M Rahman to S Shinwari, two runs, 125.9 km/h short length on middle stump."
36.4,1,"M Rahman to N Zadran, one run, 126.1 km/h good length just outside off stump."
36.3,•,"M Rahman to N Zadran, no run, 126.1 km/h good length on off stump."
36.3,1Wd,"M Rahman to N Zadran, wide delivery."
36.2,•,"M Rahman to N Zadran, no run, 132.8 km/h full length just outside off stump."
36.1,1,"M Rahman to S Shinwari, one run, 128.5 km/h full length just outside off stump."
35.6,•,"M Hasan to N Zadran, no run, 85.8 km/h full length going down leg."
35.5,4,"M Hasan to N Zadran, FOUR, 82.7 km/h good length on middle stump."
35.4,1,"M Hasan to S Shinwari, one run, 82.6 km/h good length on leg stump."
35.3,4,"M Hasan to S Shinwari, FOUR, 83.1 km/h good length on leg stump."
35.2,•,"M Hasan to S Shinwari, no run, 87.3 km/h good length on middle stump."
35.1,W,"M Hasan to S Shinwari, WICKET!!! I Ali Khil is out run out (Liton Das), 83.4 km/h good length going down leg."
34.6,4,"M Rahman to I Ali Khil, FOUR, 125.8 km/h full length just outside off stump."
34.5,1,"M Rahman to S Shinwari, one run, 130.0 km/h short length on leg stump."
34.4,1,"M Rahman to I Ali Khil, one run, 125.6 km/h full toss just outside off stump."
34.3,•,"M Rahman to I Ali Khil, no run, 127.6 km/h full length just outside off stump."
34.3,1Wd,"M Rahman to I Ali Khil, wide delivery."
34.2,•,"M Rahman to I Ali Khil, no run, 132.8 km/h short length just outside off stump."
34.1,•,"M Rahman to I Ali Khil, no run, 133.2 km/h short length on off stump."
33.6,1,"M Mortaza to I Ali Khil, one run, 124.8 km/h good length on off stump."
33.5,2,"M Mortaza to I Ali Khil, two runs, 125.1 km/h short length outside off stump."
33.4,•,"M Mortaza to I Ali Khil, no run, 123.6 km/h short length outside off stump."
33.3,2,"M Mortaza to I Ali Khil, two runs, 113.1 km/h short length going down leg."
33.2,•,"M Mortaza to I Ali Khil, no run, 119.3 km/h short length outside off stump."
33.1,1,"M Mortaza to S Shinwari, one run, 119.4 km/h short length on leg stump."
32.6,1,"S Al Hasan to S Shinwari, one run, 79.5 km/h good length just outside off stump."
32.5,•,"S Al Hasan to S Shinwari, no run."
32.4,1,"S Al Hasan to I Ali Khil, one run, 82.9 km/h full length on leg stump."
32.3,•,"S Al Hasan to I Ali Khil, no run, 83.1 km/h good length on middle stump."
32.2,W,"S Al Hasan to A Afghan, WICKET!!! A Afghan is out c (Sub), b Shakib Al Hasan, 88.2 km/h good length on leg stump."
32.1,•,"S Al Hasan to A Afghan, no run, 82.9 km/h good length just outside off stump."
31.6,1,"M Mortaza to A Afghan, one run, 115.8 km/h short length on middle stump."
31.5,2,"M Mortaza to A Afghan, two runs, 131.2 km/h short length just outside off stump."
31.4,•,"M Mortaza to A Afghan, no run, 122.5 km/h full length outside off stump."
31.3,•,"M Mortaza to A Afghan, no run, 126.2 km/h short length going down leg."
31.2,1,"M Mortaza to S Shinwari, one run, 127.8 km/h short length outside off stump."
31.1,•,"M Mortaza to S Shinwari, no run, 123.0 km/h short length going down leg."
30.6,1,"S Al Hasan to S Shinwari, one run, 83.1 km/h good length on middle stump."
30.5,•,"S Al Hasan to S Shinwari, no run, 81.9 km/h good length just outside off stump."
30.4,•,"S Al Hasan to S Shinwari, no run, 81.2 km/h good length just outside off stump."
30.3,•,"S Al Hasan to S Shinwari, no run, 86.5 km/h short length on off stump."
30.2,•,"S Al Hasan to S Shinwari, no run, 81.1 km/h good length just outside off stump."
30.1,1,"S Al Hasan to A Afghan, one run, 84.1 km/h good length on middle stump."
29.6,•,"M Saifuddin to S Shinwari, no run, 130.5 km/h good length outside off stump."
29.5,1,"M Saifuddin to A Afghan, one run, 106.7 km/h short length on middle stump."
29.4,1,"M Saifuddin to S Shinwari, one run, 129.2 km/h full length just outside off stump."
29.3,•,"M Saifuddin to S Shinwari, no run, 124.4 km/h short length just outside off stump."
29.2,1B,"M Saifuddin to A Afghan, 1 bye."
29.1,2,"M Saifuddin to A Afghan, two runs, 127.4 km/h full length just outside off stump."
28.6,•,"S Al Hasan to S Shinwari, no run, 85.2 km/h full length on off stump."
28.5,•,"S Al Hasan to S Shinwari, no run, 81.9 km/h good length just outside off stump."
28.4,2,"S Al Hasan to S Shinwari, two runs, 83.0 km/h good length on middle stump."
28.3,W,"S Al Hasan to M Nabi, WICKET!!! M Nabi is out b Shakib Al Hasan, 81.2 km/h good length on middle stump."
28.2,•,"S Al Hasan to M Nabi, no run, 84.4 km/h good length just outside off stump."
28.1,W,"S Al Hasan to G Naib, WICKET!!! G Naib is out c Liton Das b Shakib Al Hasan, 80.3 km/h full length outside off stump."
27.6,•,"M Saifuddin to A Afghan, no run, 129.5 km/h full toss just outside off stump."
27.5,•,"M Saifuddin to A Afghan, no run, 127.0 km/h short length just outside off stump."
27.4,1,"M Saifuddin to G Naib, one run, 130.6 km/h good length on off stump."
27.3,1,"M Saifuddin to A Afghan, one run, 128.7 km/h full toss on middle stump."
27.2,•,"M Saifuddin to A Afghan, no run, 127.8 km/h good length just outside off stump."
27.1,1,"M Saifuddin to G Naib, one run, 111.5 km/h short length outside off stump."
26.6,•,"S Al Hasan to A Afghan, no run, 80.1 km/h good length just outside off stump."
26.5,•,"S Al Hasan to A Afghan, no run, 88.2 km/h good length just outside off stump."
26.4,•,"S Al Hasan to A Afghan, no run, 79.9 km/h good length on middle stump."
26.3,•,"S Al Hasan to A Afghan, no run, 80.1 km/h good length on off stump."
26.2,•,"S Al Hasan to A Afghan, no run, 88.0 km/h short length on middle stump."
26.1,•,"S Al Hasan to A Afghan, no run, 82.3 km/h good length outside off stump."
25.6,•,"M Saifuddin to G Naib, no run, 126.5 km/h full toss going down leg."
25.5,1,"M Saifuddin to A Afghan, one run, 126.3 km/h short length on middle stump."
25.4,•,"M Saifuddin to A Afghan, no run, 111.2 km/h short length outside off stump."
25.3,•,"M Saifuddin to A Afghan, no run, 127.7 km/h full toss just outside off stump."
25.2,1,"M Saifuddin to G Naib, one run, 126.6 km/h full length on leg stump."
25.1,1,"M Saifuddin to A Afghan, one run, 127.5 km/h short length on middle stump."
24.6,1,"S Al Hasan to A Afghan, one run, 79.7 km/h good length on middle stump."
24.5,•,"S Al Hasan to A Afghan, no run, 76.7 km/h good length on off stump."
24.4,•,"S Al Hasan to A Afghan, no run, 77.9 km/h good length on middle stump."
24.3,1,"S Al Hasan to G Naib, one run, 88.1 km/h good length just outside off stump."
24.2,•,"S Al Hasan to G Naib, no run, 82.1 km/h good length just outside off stump."
24.1,•,"S Al Hasan to G Naib, no run, 80.9 km/h good length just outside off stump."
23.6,1,"M Hasan to G Naib, one run, 82.9 km/h good length just outside off stump."
23.5,1,"M Hasan to A Afghan, one run, 88.4 km/h good length on middle stump."
23.4,4,"M Hasan to A Afghan, FOUR."
23.3,•,"M Hasan to A Afghan, no run, 85.3 km/h good length on middle stump."
23.2,2,"M Hasan to A Afghan, two runs."
23.1,1,"M Hasan to G Naib, one run, 87.3 km/h good length on off stump."
22.6,•,"Mosaddek Hossain to A Afghan, no run, 94.1 km/h full length on middle stump."
22.5,•,"Mosaddek Hossain to A Afghan, no run, 84.7 km/h good length just outside off stump."
22.4,1,"Mosaddek Hossain to G Naib, one run, 85.5 km/h short length on middle stump."
22.3,4,"Mosaddek Hossain to G Naib, FOUR, 82.7 km/h short length going down leg."
22.2,1,"Mosaddek Hossain to A Afghan, one run, 86.7 km/h good length on middle stump."
22.1,•,"Mosaddek Hossain to A Afghan, no run, 89.5 km/h good length going down leg."
21.6,•,"M Hasan to G Naib, no run, 91.9 km/h good length on off stump."
21.5,•,"M Hasan to G Naib, no run, 83.0 km/h good length on middle stump."
21.4,•,"M Hasan to G Naib, no run, 85.2 km/h good length just outside off stump."
21.3,1,"M Hasan to A Afghan, one run, 86.5 km/h good length on middle stump."
21.2,•,"M Hasan to A Afghan, no run, 84.1 km/h good length outside off stump."
21.1,1,"M Hasan to G Naib, one run, 88.9 km/h good length on off stump."
20.6,•,"Mosaddek Hossain to A Afghan, no run, 85.9 km/h short length on middle stump."
20.5,W,"Mosaddek Hossain to H Shahidi, WICKET!!! H Shahidi is out st Mushfiqur Rahim b Mosaddek Hossain, 83.5 km/h good length just outside off stump."
20.4,1,"Mosaddek Hossain to G Naib, one run, 86.7 km/h good length just outside off stump."
20.3,1,"Mosaddek Hossain to H Shahidi, one run, 83.1 km/h good length going down leg."
20.2,•,"Mosaddek Hossain to H Shahidi, no run, 88.4 km/h good length just outside off stump."
20.1,•,"Mosaddek Hossain to H Shahidi, no run, 89.9 km/h short length just outside off stump."
19.6,•,"M Hasan to G Naib, no run, 86.0 km/h good length outside off stump."
19.5,•,"M Hasan to G Naib, no run."
19.4,1,"M Hasan to H Shahidi, one run, 85.7 km/h short length on leg stump."
19.3,1,"M Hasan to G Naib, one run, 87.6 km/h good length on middle stump."
19.2,1,"M Hasan to H Shahidi, one run, 86.7 km/h good length on off stump."
19.1,1,"M Hasan to G Naib, one run, 87.3 km/h good length outside off stump."
18.6,•,"Mosaddek Hossain to H Shahidi, no run, 87.1 km/h good length on off stump."
18.5,•,"Mosaddek Hossain to H Shahidi, no run, 88.3 km/h good length on middle stump."
18.4,•,"Mosaddek Hossain to H Shahidi, no run, 89.5 km/h good length just outside off stump."
18.3,•,"Mosaddek Hossain to H Shahidi, no run, 86.7 km/h good length outside off stump."
18.2,•,"Mosaddek Hossain to H Shahidi, no run, 86.8 km/h good length on off stump."
18.1,1,"Mosaddek Hossain to G Naib, one run, 86.6 km/h good length going down leg."
17.6,1,"M Hasan to G Naib, one run, 83.2 km/h good length on middle stump."
17.5,2,"M Hasan to G Naib, two runs, 87.8 km/h good length going down leg."
17.4,•,"M Hasan to G Naib, no run, 83.9 km/h full length on middle stump."
17.3,3,"M Hasan to H Shahidi, three runs, 88.2 km/h good length on off stump."
17.2,•,"M Hasan to H Shahidi, no run, 86.0 km/h good length just outside off stump."
17.1,1,"M Hasan to G Naib, one run, 88.6 km/h good length just outside off stump."
16.6,2,"Mosaddek Hossain to H Shahidi, two runs."
16.5,1,"Mosaddek Hossain to G Naib, one run, 93.2 km/h good length on leg stump."
16.4,1,"Mosaddek Hossain to H Shahidi, one run, 89.2 km/h good length just outside off stump."
16.3,•,"Mosaddek Hossain to H Shahidi, no run, 86.7 km/h good length just outside off stump."
16.2,•,"Mosaddek Hossain to H Shahidi, no run, 88.4 km/h good length just outside off stump."
16.1,1,"Mosaddek Hossain to G Naib, one run, 88.0 km/h good length going down leg."
15.6,1,"M Hasan to G Naib, one run, 86.5 km/h good length on middle stump."
15.5,•,"M Hasan to G Naib, no run, 87.9 km/h good length just outside off stump."
15.4,1,"M Hasan to H Shahidi, one run, 86.2 km/h full length just outside off stump."
15.3,•,"M Hasan to H Shahidi, no run, 87.2 km/h good length on off stump."
15.2,•,"M Hasan to H Shahidi, no run, 90.0 km/h good length just outside off stump."
15.1,•,"M Hasan to H Shahidi, no run, 87.4 km/h good length on off stump."
14.6,4,"Mosaddek Hossain to G Naib, FOUR, 88.1 km/h good length going down leg."
14.5,•,"Mosaddek Hossain to G Naib, no run, 85.4 km/h good length on leg stump."
14.4,•,"Mosaddek Hossain to G Naib, no run, 88.0 km/h good length on middle stump."
14.3,•,"Mosaddek Hossain to G Naib, no run, 92.6 km/h good length on off stump."
14.2,•,"Mosaddek Hossain to G Naib, no run, 83.8 km/h good length just outside off stump."
13.6,•,"M Hasan to H Shahidi, no run, 83.8 km/h good length just outside off stump."
13.5,1,"M Hasan to G Naib, one run, 85.8 km/h good length on middle stump."
13.4,•,"M Hasan to G Naib, no run, 92.3 km/h short length on middle stump."
13.3,1,"M Hasan to H Shahidi, one run, 86.0 km/h good length on middle stump."
13.2,1,"M Hasan to G Naib, one run, 84.0 km/h good length on leg stump."
13.1,•,"M Hasan to G Naib, no run, 84.5 km/h good length on middle stump."
12.6,•,"S Al Hasan to H Shahidi, no run, 79.2 km/h good length on middle stump."
12.5,•,"S Al Hasan to H Shahidi, no run, 82.9 km/h good length just outside off stump."
12.4,•,"S Al Hasan to H Shahidi, no run, 84.1 km/h full length on off stump."
12.3,•,"S Al Hasan to H Shahidi, no run."
12.2,1,"S Al Hasan to G Naib, one run, 81.6 km/h good length outside off stump."
12.1,•,"S Al Hasan to G Naib, no run, 84.3 km/h good length on middle stump."
11.6,•,"M Hasan to H Shahidi, no run, 86.2 km/h good length on middle stump."
11.5,•,"M Hasan to H Shahidi, no run, 87.7 km/h good length on middle stump."
11.4,•,"M Hasan to H Shahidi, no run, 87.0 km/h good length just outside off stump."
11.3,1,"M Hasan to G Naib, one run, 89.2 km/h good length just outside off stump."
11.2,•,"M Hasan to G Naib, no run, 90.4 km/h good length going down leg."
11.1,•,"M Hasan to G Naib, no run, 89.1 km/h good length on leg stump."
10.6,•,"S Al Hasan to H Shahidi, no run, 84.6 km/h full length on off stump."
10.5,W,"S Al Hasan to R Shah, WICKET!!! R Shah is out c Tamim Iqbal b Shakib Al Hasan, 86.5 km/h good length on off stump."
10.4,•,"S Al Hasan to R Shah, no run."
10.3,•,"S Al Hasan to R Shah, no run, 83.8 km/h good length on off stump."
10.2,•,"S Al Hasan to R Shah, no run, 84.6 km/h good length just outside off stump."
10.1,1,"S Al Hasan to G Naib, one run, 85.6 km/h good length outside off stump."
9.6,•,"M Saifuddin to R Shah, no run, 125.7 km/h good length just outside off stump."
9.5,1,"M Saifuddin to G Naib, one run, 130.5 km/h short length on middle stump."
9.4,•,"M Saifuddin to G Naib, no run, 133.2 km/h good length just outside off stump."
9.3,•,"M Saifuddin to G Naib, no run."
