Ball,Runs,Commentary
34.2,W,"M Shami to O Thomas, WICKET!!! O Thomas is out c Rohit Sharma b Mohammed Shami, 133.4 km/h short length on leg stump."
34.1,•,"M Shami to O Thomas, no run, 134.6 km/h full length just outside off stump."
33.6,4,"Y Chahal to K Roach, FOUR, 75.7 km/h good length outside off stump."
33.5,•,"Y Chahal to K Roach, no run, 90.9 km/h good length on middle stump."
33.4,•,"Y Chahal to K Roach, no run, 77.8 km/h good length outside off stump."
33.3,•,"Y Chahal to K Roach, no run, 94.5 km/h short length on off stump."
33.2,•,"Y Chahal to K Roach, no run, 86.8 km/h full length just outside off stump."
33.1,4,"Y Chahal to K Roach, FOUR, 75.7 km/h good length on middle stump."
32.6,•,"K Yadav to O Thomas, no run, 76.7 km/h short length going down leg."
32.5,1,"K Yadav to K Roach, one run, 71.7 km/h full toss on middle stump."
32.4,•,"K Yadav to K Roach, no run, 76.6 km/h good length on off stump."
32.3,•,"K Yadav to K Roach, no run, 82.9 km/h good length going down leg."
32.2,4,"K Yadav to K Roach, FOUR, 75.8 km/h full length just outside off stump."
32.1,1,"K Yadav to O Thomas, one run, 75.4 km/h full length on off stump."
31.6,1,"Y Chahal to O Thomas, one run, 69.6 km/h good length on middle stump."
31.5,•,"Y Chahal to O Thomas, no run, 85.2 km/h good length on off stump."
31.4,4,"Y Chahal to O Thomas, FOUR, 67.8 km/h good length going down leg."
31.3,•,"Y Chahal to O Thomas, no run, 88.3 km/h good length just outside off stump."
31.2,•,"Y Chahal to O Thomas, no run, 77.9 km/h good length on off stump."
31.1,•,"Y Chahal to O Thomas, no run, 87.8 km/h good length going down leg."
30.6,•,"K Yadav to K Roach, no run, 76.0 km/h good length just outside off stump."
30.5,•,"K Yadav to K Roach, no run, 79.9 km/h full length just outside off stump."
30.4,•,"K Yadav to K Roach, no run, 73.7 km/h good length on off stump."
30.3,•,"K Yadav to K Roach, no run, 72.3 km/h good length on leg stump."
30.2,•,"K Yadav to K Roach, no run, 75.2 km/h good length on off stump."
30.1,•,"K Yadav to K Roach, no run, 76.0 km/h good length outside off stump."
29.6,•,"Y Chahal to O Thomas, no run, 80.6 km/h good length just outside off stump."
29.5,W,"Y Chahal to S Cottrell, WICKET!!! S Cottrell is out lbw Yuzvendra Chahal, 86.3 km/h short length on middle stump."
29.4,•,"Y Chahal to S Cottrell, no run, 82.0 km/h good length outside off stump."
29.3,•,"Y Chahal to S Cottrell, no run, 81.8 km/h good length outside off stump."
29.2,6,"Y Chahal to S Cottrell, SIX, 73.7 km/h full length outside off stump."
29.1,4,"Y Chahal to S Cottrell, FOUR, 79.7 km/h good length just outside off stump."
28.6,1Lb,"M Shami to S Cottrell, 1 leg bye."
28.5,•,"M Shami to S Cottrell, no run, 131.6 km/h short length going down leg."
28.4,•,"M Shami to S Cottrell, no run, 133.3 km/h short length just outside off stump."
28.4,1Wd,"M Shami to S Cottrell, wide delivery."
28.3,W,"M Shami to S Hetmyer, WICKET!!! S Hetmyer is out c KL Rahul b Mohammed Shami, 138.5 km/h good length outside off stump."
28.2,•,"M Shami to S Hetmyer, no run, 135.4 km/h short length on middle stump."
28.1,•,"M Shami to S Hetmyer, no run, 133.2 km/h good length outside off stump."
27.6,1,"Y Chahal to S Hetmyer, one run, 75.2 km/h full length just outside off stump."
27.5,1,"Y Chahal to K Roach, one run, 82.9 km/h full length on middle stump."
27.4,1,"Y Chahal to S Hetmyer, one run, 76.6 km/h good length going down leg."
27.3,•,"Y Chahal to S Hetmyer, no run, 74.3 km/h good length going down leg."
27.2,•,"Y Chahal to S Hetmyer, no run, 76.5 km/h good length going down leg."
27.1,2,"Y Chahal to S Hetmyer, two runs, 89.8 km/h short length going down leg."
26.6,•,"J Bumrah to K Roach, no run, 137.0 km/h short length on middle stump."
26.5,•,"J Bumrah to K Roach, no run, 136.3 km/h short length just outside off stump."
26.4,•,"J Bumrah to K Roach, no run, 139.5 km/h short length just outside off stump."
26.3,•,"J Bumrah to K Roach, no run, 97.5 km/h full toss on middle stump."
26.2,W,"J Bumrah to F Allen, WICKET!!! F Allen is out lbw Jasprit Bumrah, 143.7 km/h good length on leg stump."
26.1,W,"J Bumrah to C Brathwaite, WICKET!!! C Brathwaite is out c MS Dhoni b Jasprit Bumrah, 137.7 km/h short length on off stump."
25.6,•,"Y Chahal to S Hetmyer, no run, 79.3 km/h good length just outside off stump."
25.5,4,"Y Chahal to S Hetmyer, FOUR, 72.3 km/h good length on off stump."
25.4,•,"Y Chahal to S Hetmyer, no run, 72.3 km/h good length just outside off stump."
25.3,•,"Y Chahal to S Hetmyer, no run, 84.2 km/h good length on off stump."
25.2,1,"Y Chahal to C Brathwaite, one run, 83.4 km/h full length just outside off stump."
25.1,1,"Y Chahal to S Hetmyer, one run, 75.0 km/h good length on leg stump."
24.6,•,"J Bumrah to C Brathwaite, no run, 143.6 km/h full length on middle stump."
24.5,•,"J Bumrah to C Brathwaite, no run, 96.9 km/h full length just outside off stump."
