Ball,Runs,Commentary
49.6,4,"Wahab Riaz to M Wood, FOUR, 102.9 km/h short length going down leg."
49.5,1,"Wahab Riaz to A Rashid, one run, 118.1 km/h short length going down leg."
49.4,1,"Wahab Riaz to M Wood, one run, 140.6 km/h full length on middle stump."
49.3,•,"Wahab Riaz to M Wood, no run, 141.7 km/h full length just outside off stump."
49.2,4,"Wahab Riaz to M Wood, FOUR."
49.1,•,"Wahab Riaz to M Wood, no run."
48.6,1,"M Amir to M Wood, one run, 122.5 km/h good length outside off stump."
48.5,1,"M Amir to A Rashid, one run, 139.9 km/h full length outside off stump."
48.4,W,"M Amir to J Archer, WICKET!!! J Archer is out c Wahab Riaz b Mohammad Amir, 145.4 km/h good length outside off stump."
48.3,1,"M Amir to A Rashid, one run, 138.0 km/h full toss outside off stump."
48.2,•,"M Amir to A Rashid, no run, 128.5 km/h good length outside off stump."
48.1,1,"M Amir to J Archer, one run, 140.5 km/h full length outside off stump."
47.6,W,"Wahab Riaz to C Woakes, WICKET!!! C Woakes is out c Sarfaraz Ahmed b Wahab Riaz, 140.4 km/h short length just outside off stump."
47.5,W,"Wahab Riaz to M Ali, WICKET!!! M Ali is out c Fakhar Zaman b Wahab Riaz, 125.3 km/h short length outside off stump."
47.4,1,"Wahab Riaz to C Woakes, one run, 126.0 km/h short length outside off stump."
47.3,6,"Wahab Riaz to C Woakes, SIX, 141.4 km/h full length on leg stump."
47.2,•,"Wahab Riaz to C Woakes, no run, 145.1 km/h full toss going down leg."
47.1,2,"Wahab Riaz to C Woakes, two runs, 141.3 km/h full length just outside off stump."
46.6,4,"M Amir to M Ali, FOUR, 138.4 km/h short length going down leg."
46.5,1Lb,"M Amir to C Woakes, 1 leg bye."
46.5,1Wd,"M Amir to C Woakes, wide delivery."
46.5,1Wd,"M Amir to C Woakes, wide delivery."
46.4,•,"M Amir to C Woakes, no run, 139.9 km/h full length outside off stump."
46.3,4,"M Amir to C Woakes, FOUR, 137.4 km/h short length just outside off stump."
46.2,2,"M Amir to C Woakes, two runs, 122.3 km/h full length outside off stump."
46.1,2,"M Amir to C Woakes, two runs, 136.7 km/h good length on middle stump."
45.6,2,"H Ali to M Ali, two runs, 121.5 km/h short length on off stump."
45.5,•,"H Ali to M Ali, no run, 119.6 km/h short length just outside off stump."
45.4,•,"H Ali to M Ali, no run, 119.4 km/h short length just outside off stump."
