Ball,Runs,Commentary
43.3,1,"I Udana to H Pandya, one run, 100.6 km/h good length just outside off stump."
43.1,•,"I Udana to V Kohli, no run, 124.6 km/h short length just outside off stump."
42.6,4,"L Malinga to H Pandya, FOUR, 131.1 km/h full toss going down leg."
42.5,1,"L Malinga to V Kohli, one run, 132.0 km/h short length just outside off stump."
42.4,1,"L Malinga to H Pandya, one run, 132.6 km/h full length just outside off stump."
42.3,1,"L Malinga to V Kohli, one run, 110.6 km/h short length outside off stump."
42.3,1Wd,"L Malinga to V Kohli, wide delivery."
42.2,1,"L Malinga to H Pandya, one run, 113.9 km/h full length on off stump."
42.1,1,"L Malinga to V Kohli, one run."
41.6,W,"I Udana to R Pant, WICKET!!! R Pant is out lbw Isuru Udana, 99.8 km/h short length on leg stump."
41.5,•,"I Udana to R Pant, no run, 125.1 km/h short length outside off stump."
41.4,4,"I Udana to R Pant, FOUR, 128.7 km/h full length just outside off stump."
41.3,•,"I Udana to R Pant, no run, 127.8 km/h full length on leg stump."
41.2,1,"I Udana to V Kohli, one run, 129.1 km/h full length outside off stump."
41.1,4,"I Udana to V Kohli, FOUR, 125.4 km/h full length outside off stump."
40.6,W,"L Malinga to KL Rahul, WICKET!!! KL Rahul is out c Kusal Perera b Lasith Malinga, 127.3 km/h full toss going down leg."
40.5,1,"L Malinga to V Kohli, one run, 125.2 km/h short length on leg stump."
40.4,•,"L Malinga to V Kohli, no run, 114.5 km/h full length outside off stump."
40.3,1,"L Malinga to KL Rahul, one run, 132.3 km/h full length going down leg."
40.2,4,"L Malinga to KL Rahul, FOUR, 107.6 km/h short length just outside off stump."
40.1,4,"L Malinga to KL Rahul, FOUR, 127.0 km/h short length on middle stump."
39.6,•,"I Udana to V Kohli, no run, 95.3 km/h short length outside off stump."
39.5,1,"I Udana to KL Rahul, one run, 121.1 km/h short length outside off stump."
39.4,•,"I Udana to KL Rahul, no run, 101.2 km/h short length outside off stump."
39.2,1,"I Udana to V Kohli, one run, 123.7 km/h good length outside off stump."
39.1,2,"I Udana to V Kohli, two runs, 116.3 km/h short length outside off stump."
38.6,•,"L Malinga to KL Rahul, no run, 114.4 km/h full length outside off stump."
38.5,1,"L Malinga to V Kohli, one run, 127.7 km/h full length going down leg."
38.4,1,"L Malinga to KL Rahul, one run, 130.4 km/h full length on middle stump."
38.3,1,"L Malinga to V Kohli, one run, 129.9 km/h full length on middle stump."
38.2,4,"L Malinga to V Kohli, FOUR."
38.1,1,"L Malinga to KL Rahul, one run, 116.8 km/h short length outside off stump."
37.6,•,"NTLC Perera to V Kohli, no run, 124.7 km/h good length just outside off stump."
37.5,•,"NTLC Perera to V Kohli, no run, 128.2 km/h good length outside off stump."
37.4,•,"NTLC Perera to V Kohli, no run, 119.6 km/h short length outside off stump."
37.3,1,"NTLC Perera to KL Rahul, one run, 124.2 km/h short length just outside off stump."
37.2,•,"NTLC Perera to KL Rahul, no run, 127.9 km/h short length just outside off stump."
37.1,•,"NTLC Perera to KL Rahul, no run, 126.8 km/h good length outside off stump."
36.6,1,"D de Silva to KL Rahul, one run, 86.3 km/h short length going down leg."
36.5,2,"D de Silva to KL Rahul, two runs, 87.4 km/h good length going down leg."
36.4,1,"D de Silva to V Kohli, one run, 89.5 km/h short length on off stump."
36.2,1,"D de Silva to V Kohli, one run, 83.8 km/h good length going down leg."
36.1,1,"D de Silva to KL Rahul, one run, 88.2 km/h short length on middle stump."
35.6,1,"NTLC Perera to KL Rahul, one run, 122.6 km/h good length outside off stump."
35.5,•,"NTLC Perera to KL Rahul, no run, 124.3 km/h full length outside off stump."
35.4,1,"NTLC Perera to V Kohli, one run, 124.9 km/h good length on middle stump."
35.3,•,"NTLC Perera to V Kohli, no run, 122.7 km/h good length just outside off stump."
35.2,1,"NTLC Perera to KL Rahul, one run, 121.0 km/h short length just outside off stump."
35.1,•,"NTLC Perera to KL Rahul, no run, 125.2 km/h short length just outside off stump."
34.6,•,"D de Silva to V Kohli, no run, 88.0 km/h good length just outside off stump."
34.5,•,"D de Silva to V Kohli, no run, 89.8 km/h good length just outside off stump."
34.4,•,"D de Silva to V Kohli, no run, 81.9 km/h short length on middle stump."
34.3,2,"D de Silva to V Kohli, two runs, 86.5 km/h short length on middle stump."
34.2,1,"D de Silva to KL Rahul, one run, 88.6 km/h short length going down leg."
34.1,1,"D de Silva to V Kohli, one run, 83.8 km/h short length going down leg."
33.6,1,"NTLC Perera to V Kohli, one run, 123.0 km/h good length outside off stump."
33.5,•,"NTLC Perera to V Kohli, no run, 125.8 km/h good length outside off stump."
33.4,1,"NTLC Perera to KL Rahul, one run, 124.9 km/h good length outside off stump."
33.3,1,"NTLC Perera to V Kohli, one run, 117.1 km/h short length on off stump."
33.2,•,"NTLC Perera to V Kohli, no run, 125.1 km/h short length outside off stump."
33.1,1,"NTLC Perera to KL Rahul, one run, 128.9 km/h short length on middle stump."
32.6,1,"K Rajitha to KL Rahul, one run, 111.5 km/h short length just outside off stump."
32.5,4,"K Rajitha to KL Rahul, FOUR, 121.5 km/h short length on off stump."
32.4,1,"K Rajitha to V Kohli, one run, 128.6 km/h good length just outside off stump."
32.3,1,"K Rajitha to KL Rahul, one run, 124.3 km/h short length outside off stump."
32.2,•,"K Rajitha to KL Rahul, no run, 126.0 km/h full length on middle stump."
32.1,•,"K Rajitha to KL Rahul, no run, 109.0 km/h full length just outside off stump."
31.6,•,"NTLC Perera to V Kohli, no run, 120.9 km/h good length just outside off stump."
31.5,•,"NTLC Perera to V Kohli, no run, 124.1 km/h good length just outside off stump."
31.4,1,"NTLC Perera to KL Rahul, one run, 119.7 km/h short length on middle stump."
31.3,•,"NTLC Perera to KL Rahul, no run, 127.2 km/h good length outside off stump."
31.2,1,"NTLC Perera to V Kohli, one run, 122.8 km/h good length outside off stump."
31.1,•,"NTLC Perera to V Kohli, no run, 118.9 km/h good length outside off stump."
30.6,1,"K Rajitha to V Kohli, one run, 128.5 km/h short length going down leg."
30.5,4,"K Rajitha to V Kohli, FOUR, 123.3 km/h good length outside off stump."
30.4,•,"K Rajitha to V Kohli, no run, 124.3 km/h good length just outside off stump."
30.3,•,"K Rajitha to V Kohli, no run, 126.4 km/h good length on off stump."
30.2,•,"K Rajitha to V Kohli, no run, 126.6 km/h good length on middle stump."
30.1,W,"K Rajitha to R Sharma, WICKET!!! R Sharma is out c Angelo Mathews b Kasun Rajitha, 131.9 km/h full length just outside off stump."
29.6,•,"I Udana to KL Rahul, no run, 130.5 km/h full toss on middle stump."
29.5,2,"I Udana to KL Rahul, two runs, 123.6 km/h short length on leg stump."
29.4,2,"I Udana to KL Rahul, two runs, 130.8 km/h full length on off stump."
29.3,•,"I Udana to KL Rahul, no run, 120.2 km/h short length just outside off stump."
29.2,1,"I Udana to R Sharma, one run, 132.6 km/h full toss just outside off stump."
29.1,1,"I Udana to KL Rahul, one run, 124.8 km/h short length on off stump."
28.6,4,"K Rajitha to R Sharma, FOUR, 127.8 km/h short length on middle stump."
28.5,•,"K Rajitha to R Sharma, no run, 108.9 km/h short length outside off stump."
28.4,•,"K Rajitha to R Sharma, no run, 128.3 km/h short length outside off stump."
28.3,•,"K Rajitha to R Sharma, no run, 130.8 km/h good length just outside off stump."
28.2,1,"K Rajitha to KL Rahul, one run, 123.5 km/h short length outside off stump."
28.1,1,"K Rajitha to R Sharma, one run, 106.2 km/h full toss going down leg."
27.6,•,"I Udana to KL Rahul, no run, 117.0 km/h short length on middle stump."
27.5,•,"I Udana to KL Rahul, no run, 130.0 km/h full toss just outside off stump."
27.4,1,"I Udana to R Sharma, one run, 119.7 km/h full length outside off stump."
27.3,1,"I Udana to KL Rahul, one run, 120.9 km/h full length just outside off stump."
27.2,1,"I Udana to R Sharma, one run, 126.9 km/h good length outside off stump."
27.1,•,"I Udana to R Sharma, no run, 125.6 km/h good length just outside off stump."
26.6,1,"L Malinga to R Sharma, one run, 110.7 km/h short length going down leg."
26.5,4,"L Malinga to R Sharma, FOUR, 130.9 km/h full toss outside off stump."
26.4,1,"L Malinga to KL Rahul, one run, 132.5 km/h full toss going down leg."
26.3,4,"L Malinga to KL Rahul, FOUR, 118.3 km/h full length just outside off stump."
26.3,1Wd,"L Malinga to KL Rahul, wide delivery."
26.2,1,"L Malinga to R Sharma, one run, 115.2 km/h short length outside off stump."
26.1,1,"L Malinga to KL Rahul, one run."
26.1,1Wd,"L Malinga to KL Rahul, wide delivery."
25.6,4,"I Udana to R Sharma, FOUR, 124.9 km/h good length outside off stump."
25.5,•,"I Udana to R Sharma, no run, 128.5 km/h good length on off stump."
25.4,4,"I Udana to R Sharma, FOUR, 125.4 km/h good length outside off stump."
25.3,•,"I Udana to R Sharma, no run, 117.9 km/h good length just outside off stump."
25.2,•,"I Udana to R Sharma, no run, 129.4 km/h full length on off stump."
25.1,•,"I Udana to R Sharma, no run, 127.1 km/h full length on off stump."
24.6,•,"L Malinga to KL Rahul, no run, 113.0 km/h full toss on middle stump."
24.5,1,"L Malinga to R Sharma, one run, 134.1 km/h full length outside off stump."
24.4,2,"L Malinga to R Sharma, two runs."
24.3,1,"L Malinga to KL Rahul, one run, 128.2 km/h full toss going down leg."
24.3,1Wd,"L Malinga to KL Rahul, wide delivery."
24.2,4,"L Malinga to KL Rahul, FOUR."
24.1,2,"L Malinga to KL Rahul, two runs, 126.3 km/h short length on middle stump."
23.6,•,"I Udana to R Sharma, no run, 123.4 km/h short length outside off stump."
23.5,•,"I Udana to R Sharma, no run, 98.4 km/h short length outside off stump."
23.4,1,"I Udana to KL Rahul, one run, 120.2 km/h good length outside off stump."
23.3,1,"I Udana to R Sharma, one run, 126.1 km/h short length on off stump."
23.2,2,"I Udana to R Sharma, two runs, 124.1 km/h short length on leg stump."
23.1,•,"I Udana to R Sharma, no run, 122.0 km/h short length outside off stump."
22.6,4,"D de Silva to KL Rahul, FOUR, 90.2 km/h good length just outside off stump."
22.5,•,"D de Silva to KL Rahul, no run, 81.1 km/h good length on leg stump."
22.4,6,"D de Silva to KL Rahul, SIX, 83.0 km/h good length just outside off stump."
22.3,4,"D de Silva to KL Rahul, FOUR, 86.0 km/h good length just outside off stump."
22.2,1,"D de Silva to R Sharma, one run, 86.1 km/h good length on middle stump."
22.2,1Wd,"D de Silva to R Sharma, wide delivery."
22.1,1,"D de Silva to KL Rahul, one run, 78.6 km/h good length just outside off stump."
21.6,1,"NTLC Perera to KL Rahul, one run, 124.5 km/h full length outside off stump."
21.5,2,"NTLC Perera to KL Rahul, two runs, 128.0 km/h good length just outside off stump."
21.4,•,"NTLC Perera to KL Rahul, no run, 128.1 km/h good length just outside off stump."
21.3,1,"NTLC Perera to R Sharma, one run, 127.1 km/h good length just outside off stump."
21.2,•,"NTLC Perera to R Sharma, no run, 127.1 km/h good length just outside off stump."
21.1,2,"NTLC Perera to R Sharma, two runs, 125.5 km/h good length outside off stump."
20.6,•,"D de Silva to KL Rahul, no run, 84.5 km/h good length on middle stump."
20.5,1,"D de Silva to R Sharma, one run, 86.9 km/h good length going down leg."
20.4,4,"D de Silva to R Sharma, FOUR, 93.1 km/h short length just outside off stump."
20.3,•,"D de Silva to R Sharma, no run, 92.9 km/h good length just outside off stump."
20.2,•,"D de Silva to R Sharma, no run, 89.0 km/h good length just outside off stump."
20.1,•,"D de Silva to R Sharma, no run, 80.9 km/h good length just outside off stump."
19.6,1,"NTLC Perera to R Sharma, one run, 123.2 km/h short length just outside off stump."
19.5,•,"NTLC Perera to R Sharma, no run, 126.8 km/h short length just outside off stump."
19.4,4,"NTLC Perera to R Sharma, FOUR, 124.5 km/h short length just outside off stump."
19.3,•,"NTLC Perera to R Sharma, no run, 126.9 km/h good length on off stump."
19.2,1,"NTLC Perera to KL Rahul, one run, 127.7 km/h short length outside off stump."
19.1,•,"NTLC Perera to KL Rahul, no run, 128.5 km/h good length outside off stump."
18.6,•,"D de Silva to R Sharma, no run."
18.5,•,"D de Silva to R Sharma, no run, 84.4 km/h good length just outside off stump."
18.4,1,"D de Silva to KL Rahul, one run, 83.2 km/h full length on middle stump."
18.3,2,"D de Silva to KL Rahul, two runs, 84.0 km/h short length just outside off stump."
18.2,•,"D de Silva to KL Rahul, no run, 80.2 km/h good length on off stump."
18.1,1,"D de Silva to R Sharma, one run, 85.6 km/h good length on leg stump."
17.6,•,"NTLC Perera to KL Rahul, no run, 127.3 km/h good length on off stump."
17.5,•,"NTLC Perera to KL Rahul, no run, 126.2 km/h short length just outside off stump."
17.4,1,"NTLC Perera to R Sharma, one run, 130.4 km/h short length just outside off stump."
17.3,1,"NTLC Perera to KL Rahul, one run, 125.9 km/h short length on off stump."
17.2,•,"NTLC Perera to KL Rahul, no run, 127.1 km/h good length just outside off stump."
17.1,•,"NTLC Perera to KL Rahul, no run, 128.4 km/h good length on middle stump."
16.6,1,"D de Silva to KL Rahul, one run, 88.3 km/h good length on middle stump."
16.5,•,"D de Silva to KL Rahul, no run, 81.5 km/h short length on middle stump."
16.4,1,"D de Silva to R Sharma, one run, 79.4 km/h good length going down leg."
16.3,6,"D de Silva to R Sharma, SIX, 84.5 km/h good length outside off stump."
16.2,•,"D de Silva to R Sharma, no run, 83.9 km/h good length just outside off stump."
16.1,6,"D de Silva to R Sharma, SIX, 82.5 km/h good length outside off stump."
15.6,•,"NTLC Perera to KL Rahul, no run, 123.0 km/h good length just outside off stump."
15.5,•,"NTLC Perera to KL Rahul, no run, 129.2 km/h good length just outside off stump."
15.4,•,"NTLC Perera to KL Rahul, no run, 128.3 km/h good length outside off stump."
15.3,1,"NTLC Perera to R Sharma, one run, 128.7 km/h short length outside off stump."
15.2,•,"NTLC Perera to R Sharma, no run, 127.6 km/h good length just outside off stump."
15.1,1,"NTLC Perera to KL Rahul, one run, 129.8 km/h short length just outside off stump."
14.6,•,"I Udana to R Sharma, no run, 130.1 km/h good length just outside off stump."
14.5,•,"I Udana to R Sharma, no run, 127.1 km/h short length on off stump."
14.4,•,"I Udana to R Sharma, no run, 100.6 km/h short length outside off stump."
14.3,•,"I Udana to R Sharma, no run, 119.9 km/h short length outside off stump."
14.2,1,"I Udana to KL Rahul, one run, 100.1 km/h short length just outside off stump."
14.1,1,"I Udana to R Sharma, one run, 121.9 km/h good length just outside off stump."
13.6,•,"NTLC Perera to KL Rahul, no run, 125.7 km/h good length just outside off stump."
13.5,1,"NTLC Perera to R Sharma, one run, 124.8 km/h good length outside off stump."
13.4,•,"NTLC Perera to R Sharma, no run, 130.3 km/h short length just outside off stump."
13.3,•,"NTLC Perera to R Sharma, no run, 128.1 km/h good length on off stump."
13.2,•,"NTLC Perera to R Sharma, no run, 127.8 km/h good length just outside off stump."
13.1,1,"NTLC Perera to KL Rahul, one run, 127.8 km/h good length on middle stump."
12.6,•,"I Udana to R Sharma, no run, 129.6 km/h good length outside off stump."
12.5,1,"I Udana to KL Rahul, one run, 126.8 km/h short length just outside off stump."
12.4,1,"I Udana to R Sharma, one run, 126.0 km/h short length outside off stump."
12.3,4,"I Udana to R Sharma, FOUR, 99.3 km/h good length just outside off stump."
12.2,•,"I Udana to R Sharma, no run, 126.5 km/h good length just outside off stump."
