Ball,Runs,Commentary
39.5,W,"B Stokes to I Tahir, WICKET!!! I Tahir is out c Joe Root b Ben Stokes, 135.8 km/h short length just outside off stump."
39.4,W,"B Stokes to K Rabada, WICKET!!! K Rabada is out c Liam Plunkett b Ben Stokes, 125.8 km/h short length outside off stump."
39.3,4Lb,"B Stokes to K Rabada, 4 leg byes."
39.2,•,"B Stokes to K Rabada, no run, 135.4 km/h short length on off stump."
39.1,4,"B Stokes to K Rabada, FOUR, 132.1 km/h short length outside off stump."
38.6,•,"L Plunkett to L Ngidi, no run, 137.7 km/h good length on off stump."
38.5,•,"L Plunkett to L Ngidi, no run, 132.2 km/h good length on middle stump."
38.4,6,"L Plunkett to L Ngidi, SIX, 114.2 km/h full length on middle stump."
38.3,•,"L Plunkett to L Ngidi, no run, 135.2 km/h short length outside off stump."
38.2,•,"L Plunkett to L Ngidi, no run, 136.0 km/h full length just outside off stump."
38.1,W,"L Plunkett to H Amla, WICKET!!! H Amla is out c Jos Buttler b Liam Plunkett, 126.6 km/h short length just outside off stump."
37.6,1,"B Stokes to H Amla, one run, 135.0 km/h short length on middle stump."
37.5,1,"B Stokes to K Rabada, one run, 135.2 km/h short length just outside off stump."
37.4,•,"B Stokes to K Rabada, no run, 109.7 km/h full length going down leg."
37.3,•,"B Stokes to K Rabada, no run, 134.9 km/h short length on off stump."
37.2,4,"B Stokes to K Rabada, FOUR, 133.8 km/h short length just outside off stump."
37.1,1,"B Stokes to H Amla, one run, 119.5 km/h good length just outside off stump."
36.6,•,"L Plunkett to K Rabada, no run, 132.1 km/h good length just outside off stump."
36.5,1,"L Plunkett to H Amla, one run, 129.6 km/h short length on off stump."
36.4,1,"L Plunkett to K Rabada, one run, 118.9 km/h short length on leg stump."
36.3,•,"L Plunkett to K Rabada, no run, 125.2 km/h short length just outside off stump."
36.2,1,"L Plunkett to H Amla, one run, 134.5 km/h short length going down leg."
36.1,•,"L Plunkett to H Amla, no run, 117.9 km/h short length outside off stump."
35.6,•,"B Stokes to K Rabada, no run, 119.5 km/h short length outside off stump."
35.5,•,"B Stokes to K Rabada, no run, 133.4 km/h short length on off stump."
35.4,•,"B Stokes to K Rabada, no run, 139.8 km/h short length outside off stump."
35.3,•,"B Stokes to K Rabada, no run, 135.5 km/h short length just outside off stump."
35.2,•,"B Stokes to K Rabada, no run, 133.7 km/h short length outside off stump."
35.1,1,"B Stokes to H Amla, one run, 135.0 km/h short length on middle stump."
34.6,1,"A Rashid to H Amla, one run, 80.3 km/h good length just outside off stump."
34.5,•,"A Rashid to H Amla, no run, 76.2 km/h short length outside off stump."
34.4,1,"A Rashid to K Rabada, one run, 79.5 km/h good length just outside off stump."
34.3,•,"A Rashid to K Rabada, no run, 83.8 km/h good length outside off stump."
34.2,•,"A Rashid to K Rabada, no run, 78.8 km/h short length on middle stump."
34.1,W,"A Rashid to A Phehlukwayo, WICKET!!! A Phehlukwayo is out c Ben Stokes b Adil Rashid, 82.9 km/h good length outside off stump."
33.6,1,"J Archer to A Phehlukwayo, one run, 143.9 km/h short length just outside off stump."
33.5,•,"J Archer to A Phehlukwayo, no run, 141.0 km/h short length on middle stump."
33.5,1Wd,"J Archer to A Phehlukwayo, wide delivery."
33.4,4,"J Archer to A Phehlukwayo, FOUR, 145.2 km/h short length going down leg."
33.3,•,"J Archer to A Phehlukwayo, no run, 141.9 km/h good length on off stump."
33.2,1,"J Archer to H Amla, one run, 139.9 km/h short length outside off stump."
33.1,•,"J Archer to H Amla, no run, 121.3 km/h full length on middle stump."
32.6,•,"A Rashid to A Phehlukwayo, no run, 77.7 km/h good length just outside off stump."
32.5,1,"A Rashid to H Amla, one run, 83.7 km/h short length going down leg."
32.4,•,"A Rashid to H Amla, no run, 75.9 km/h good length outside off stump."
32.3,•,"A Rashid to H Amla, no run, 84.8 km/h good length on off stump."
32.2,1,"A Rashid to A Phehlukwayo, one run, 72.2 km/h good length going down leg."
32.1,4,"A Rashid to A Phehlukwayo, FOUR, 81.1 km/h good length outside off stump."
31.6,•,"J Archer to H Amla, no run, 141.4 km/h short length just outside off stump."
31.5,W,"J Archer to R van der Dussen, WICKET!!! R van der Dussen is out c Moeen Ali b Jofra Archer, 144.5 km/h short length outside off stump."
31.4,•,"J Archer to R van der Dussen, no run, 118.1 km/h good length just outside off stump."
31.3,•,"J Archer to R van der Dussen, no run, 141.1 km/h full length outside off stump."
31.2,•,"J Archer to R van der Dussen, no run, 121.1 km/h good length on off stump."
31.1,•,"J Archer to R van der Dussen, no run, 115.4 km/h good length just outside off stump."
30.6,•,"A Rashid to A Phehlukwayo, no run, 83.5 km/h good length on middle stump."
30.5,•,"A Rashid to A Phehlukwayo, no run, 81.6 km/h good length on off stump."
30.4,1,"A Rashid to R van der Dussen, one run, 85.2 km/h good length outside off stump."
30.3,•,"A Rashid to R van der Dussen, no run, 76.9 km/h good length on middle stump."
30.2,•,"A Rashid to R van der Dussen, no run, 81.7 km/h good length just outside off stump."
30.1,•,"A Rashid to R van der Dussen, no run, 85.8 km/h good length on middle stump."
29.6,1,"M Ali to R van der Dussen, one run, 88.4 km/h good length on off stump."
29.5,•,"M Ali to R van der Dussen, no run, 88.6 km/h good length on off stump."
29.4,4,"M Ali to R van der Dussen, FOUR, 89.7 km/h short length just outside off stump."
29.3,1,"M Ali to A Phehlukwayo, one run, 88.4 km/h good length on off stump."
29.2,•,"M Ali to A Phehlukwayo, no run, 89.0 km/h good length on off stump."
29.1,4,"M Ali to A Phehlukwayo, FOUR, 85.7 km/h good length outside off stump."
28.6,1,"A Rashid to A Phehlukwayo, one run, 80.5 km/h short length on middle stump."
28.5,•,"A Rashid to A Phehlukwayo, no run, 82.4 km/h good length just outside off stump."
28.4,4,"A Rashid to A Phehlukwayo, FOUR, 83.6 km/h good length just outside off stump."
28.3,•,"A Rashid to A Phehlukwayo, no run, 80.6 km/h good length just outside off stump."
28.2,•,"A Rashid to A Phehlukwayo, no run, 79.5 km/h full length just outside off stump."
28.1,1,"A Rashid to R van der Dussen, one run, 82.5 km/h good length on leg stump."
27.6,1,"M Ali to R van der Dussen, one run, 84.4 km/h good length on off stump."
27.5,1,"M Ali to A Phehlukwayo, one run, 88.3 km/h full length on leg stump."
27.4,•,"M Ali to A Phehlukwayo, no run, 88.1 km/h good length going down leg."
27.3,•,"M Ali to A Phehlukwayo, no run, 87.1 km/h good length on middle stump."
27.2,•,"M Ali to A Phehlukwayo, no run, 85.9 km/h good length on middle stump."
27.1,2,"M Ali to A Phehlukwayo, two runs, 89.1 km/h short length just outside off stump."
26.6,•,"L Plunkett to R van der Dussen, no run, 127.8 km/h good length just outside off stump."
26.5,1,"L Plunkett to A Phehlukwayo, one run, 138.4 km/h short length just outside off stump."
26.4,•,"L Plunkett to A Phehlukwayo, no run, 134.9 km/h good length on leg stump."
26.3,1,"L Plunkett to R van der Dussen, one run, 130.9 km/h short length outside off stump."
26.2,1W,"L Plunkett to R van der Dussen, WICKET!!! D Pretorius is out run out (Ben Stokes/Eoin Morgan), 132.4 km/h good length outside off stump."
