Ball,Runs,Commentary
47.1,4,"M Rahman to M Santner, FOUR, 138.9 km/h full length just outside off stump."
46.6,4,"M Saifuddin to L Ferguson, FOUR, 125.2 km/h full length just outside off stump."
46.6,1Wd,"M Saifuddin to L Ferguson, wide delivery."
46.6,1Wd,"M Saifuddin to L Ferguson, wide delivery."
46.5,•,"M Saifuddin to L Ferguson, no run, 126.0 km/h good length on off stump."
46.4,•,"M Saifuddin to L Ferguson, no run, 132.2 km/h full toss on middle stump."
46.3,W,"M Saifuddin to M Henry, WICKET!!! M Henry is out b Mohammad Saifuddin, 126.1 km/h full toss on middle stump."
46.2,1,"M Saifuddin to M Santner, one run, 114.5 km/h short length on middle stump."
46.1,2,"M Saifuddin to M Santner, two runs, 127.1 km/h short length outside off stump."
45.6,•,"M Rahman to M Henry, no run, 131.7 km/h good length just outside off stump."
45.6,1Wd,"M Rahman to M Henry, wide delivery."
45.5,•,"M Rahman to M Henry, no run, 129.7 km/h full length just outside off stump."
45.4,4,"M Rahman to M Henry, FOUR, 138.7 km/h full length outside off stump."
45.3,•,"M Rahman to M Henry, no run, 134.6 km/h good length outside off stump."
45.2,1,"M Rahman to M Santner, one run, 136.2 km/h good length just outside off stump."
45.1,2,"M Rahman to M Santner, two runs, 134.1 km/h good length just outside off stump."
44.6,1,"M Saifuddin to M Santner, one run, 125.1 km/h full length on middle stump."
44.5,•,"M Saifuddin to M Santner, no run, 128.3 km/h good length outside off stump."
44.4,4,"M Saifuddin to M Santner, FOUR, 129.4 km/h good length outside off stump."
44.3,•,"M Saifuddin to M Santner, no run, 123.9 km/h full length on middle stump."
44.2,1,"M Saifuddin to M Henry, one run, 126.3 km/h full length outside off stump."
44.1,1,"M Saifuddin to M Santner, one run, 124.8 km/h full length just outside off stump."
43.6,•,"Mosaddek Hossain to M Henry, no run, 93.3 km/h good length on middle stump."
43.5,1,"Mosaddek Hossain to M Santner, one run, 83.0 km/h full length on leg stump."
43.4,1,"Mosaddek Hossain to M Henry, one run, 92.1 km/h good length going down leg."
43.3,W,"Mosaddek Hossain to J Neesham, WICKET!!! J Neesham is out c Soumya Sarkar b Mosaddek Hossain, 87.2 km/h good length outside off stump."
43.2,•,"Mosaddek Hossain to J Neesham, no run, 87.7 km/h good length on middle stump."
43.1,•,"Mosaddek Hossain to J Neesham, no run, 88.9 km/h full length just outside off stump."
42.6,•,"M Saifuddin to M Santner, no run, 127.7 km/h full length just outside off stump."
42.5,W,"M Saifuddin to C de Grandhomme, WICKET!!! C de Grandhomme is out c Mushfiqur Rahim b Mohammad Saifuddin, 110.2 km/h short length just outside off stump."
42.4,1,"M Saifuddin to J Neesham, one run, 125.2 km/h full toss outside off stump."
42.3,•,"M Saifuddin to J Neesham, no run, 127.8 km/h short length outside off stump."
42.2,1,"M Saifuddin to C de Grandhomme, one run, 128.2 km/h good length going down leg."
42.1,4,"M Saifuddin to C de Grandhomme, FOUR, 128.0 km/h short length outside off stump."
41.6,•,"M Rahman to J Neesham, no run, 120.2 km/h short length outside off stump."
41.5,1,"M Rahman to C de Grandhomme, one run, 123.7 km/h good length on leg stump."
41.4,1,"M Rahman to J Neesham, one run, 132.9 km/h good length just outside off stump."
41.4,1Wd,"M Rahman to J Neesham, wide delivery."
41.3,•,"M Rahman to J Neesham, no run, 135.6 km/h full length going down leg."
41.2,4,"M Rahman to J Neesham, FOUR, 123.4 km/h full length outside off stump."
41.1,•,"M Rahman to J Neesham, no run, 136.3 km/h short length going down leg."
40.6,•,"S Al Hasan to C de Grandhomme, no run, 78.2 km/h full length just outside off stump."
40.5,1,"S Al Hasan to J Neesham, one run, 83.9 km/h short length just outside off stump."
40.5,1Wd,"S Al Hasan to J Neesham, wide delivery."
40.4,•,"S Al Hasan to J Neesham, no run, 90.0 km/h good length on off stump."
40.3,1,"S Al Hasan to C de Grandhomme, one run, 79.6 km/h good length on middle stump."
40.2,•,"S Al Hasan to C de Grandhomme, no run, 84.6 km/h good length going down leg."
40.1,2,"S Al Hasan to C de Grandhomme, two runs, 83.4 km/h good length just outside off stump."
39.6,•,"M Mortaza to J Neesham, no run, 114.8 km/h full length on middle stump."
39.5,•,"M Mortaza to J Neesham, no run, 116.2 km/h full length on middle stump."
39.4,1,"M Mortaza to C de Grandhomme, one run, 117.4 km/h good length outside off stump."
39.3,•,"M Mortaza to C de Grandhomme, no run, 124.6 km/h short length just outside off stump."
39.2,•,"M Mortaza to C de Grandhomme, no run, 130.0 km/h good length outside off stump."
39.1,4,"M Mortaza to C de Grandhomme, FOUR, 120.4 km/h full toss outside off stump."
39.1,2Nb,"M Mortaza to J Neesham, 2 runs, no-ball."
38.6,1,"Mosaddek Hossain to J Neesham, one run, 87.0 km/h full length on middle stump."
38.5,•,"Mosaddek Hossain to J Neesham, no run, 84.5 km/h good length on middle stump."
38.4,1,"Mosaddek Hossain to C de Grandhomme, one run, 88.4 km/h short length just outside off stump."
38.3,W,"Mosaddek Hossain to R Taylor, WICKET!!! R Taylor is out c Mushfiqur Rahim b Mosaddek Hossain, 85.8 km/h good length going down leg."
38.2,•,"Mosaddek Hossain to R Taylor, no run, 84.2 km/h good length on leg stump."
38.1,•,"Mosaddek Hossain to R Taylor, no run, 84.1 km/h good length just outside off stump."
37.6,2,"M Hasan to J Neesham, two runs, 83.9 km/h full length on middle stump."
37.5,•,"M Hasan to J Neesham, no run, 83.1 km/h good length going down leg."
37.4,1,"M Hasan to R Taylor, one run, 80.7 km/h good length just outside off stump."
37.3,•,"M Hasan to R Taylor, no run, 83.8 km/h good length just outside off stump."
37.2,1,"M Hasan to J Neesham, one run, 84.5 km/h short length on middle stump."
37.1,•,"M Hasan to J Neesham, no run, 82.1 km/h good length on middle stump."
36.6,•,"Mosaddek Hossain to R Taylor, no run, 103.1 km/h short length just outside off stump."
36.5,4,"Mosaddek Hossain to R Taylor, FOUR, 81.9 km/h full length outside off stump."
36.4,1,"Mosaddek Hossain to J Neesham, one run, 93.5 km/h short length just outside off stump."
36.3,4,"Mosaddek Hossain to J Neesham, FOUR, 83.9 km/h good length on middle stump."
36.2,•,"Mosaddek Hossain to J Neesham, no run, 85.9 km/h good length just outside off stump."
36.1,1,"Mosaddek Hossain to R Taylor, one run, 85.0 km/h full length on middle stump."
35.6,•,"M Hasan to J Neesham, no run, 88.6 km/h good length just outside off stump."
35.5,•,"M Hasan to J Neesham, no run, 84.2 km/h good length on middle stump."
35.4,1,"M Hasan to R Taylor, one run, 83.0 km/h short length on off stump."
35.3,1,"M Hasan to J Neesham, one run, 81.0 km/h good length on middle stump."
35.2,•,"M Hasan to J Neesham, no run, 82.2 km/h good length going down leg."
35.1,6,"M Hasan to J Neesham, SIX, 81.7 km/h good length just outside off stump."
34.6,2,"Mosaddek Hossain to R Taylor, two runs, 88.5 km/h good length on middle stump."
34.5,•,"Mosaddek Hossain to R Taylor, no run, 89.0 km/h good length on off stump."
34.4,1,"Mosaddek Hossain to J Neesham, one run, 88.0 km/h good length just outside off stump."
34.3,•,"Mosaddek Hossain to J Neesham, no run, 87.4 km/h good length just outside off stump."
34.2,1,"Mosaddek Hossain to R Taylor, one run, 82.7 km/h good length on middle stump."
34.1,•,"Mosaddek Hossain to R Taylor, no run, 86.6 km/h good length on leg stump."
33.6,1,"M Hasan to R Taylor, one run, 84.3 km/h good length just outside off stump."
33.5,•,"M Hasan to R Taylor, no run, 87.7 km/h good length on middle stump."
33.4,•,"M Hasan to R Taylor, no run, 82.5 km/h good length on leg stump."
33.3,•,"M Hasan to R Taylor, no run, 82.4 km/h good length on middle stump."
33.2,•,"M Hasan to R Taylor, no run, 86.5 km/h good length on off stump."
33.1,•,"M Hasan to R Taylor, no run, 80.9 km/h good length on leg stump."
32.6,•,"Mosaddek Hossain to J Neesham, no run, 89.9 km/h good length on middle stump."
32.5,•,"Mosaddek Hossain to J Neesham, no run, 91.0 km/h good length on leg stump."
32.4,1,"Mosaddek Hossain to R Taylor, one run, 90.1 km/h good length just outside off stump."
32.3,•,"Mosaddek Hossain to R Taylor, no run, 86.1 km/h good length just outside off stump."
