Ball,Runs,Commentary
49.6,W,"B Kumar to A Zampa, WICKET!!! A Zampa is out c sub (Ravindra Jadeja) b Bhuvneshwar Kumar, 117.4 km/h full length on leg stump."
49.5,1,"B Kumar to A Carey, one run, 120.9 km/h full length outside off stump."
49.4,1,"B Kumar to A Zampa, one run, 136.5 km/h full length just outside off stump."
49.3,•,"B Kumar to A Zampa, no run, 132.8 km/h short length on leg stump."
49.2,1,"B Kumar to A Carey, one run, 120.5 km/h short length going down leg."
49.1,1W,"B Kumar to A Carey, WICKET!!! M Starc is out run out (sub [Vijay Shankar]), 136.9 km/h full length just outside off stump."
48.6,1,"J Bumrah to A Carey, one run, 124.5 km/h good length going down leg."
48.5,•,"J Bumrah to A Carey, no run, 116.7 km/h good length on off stump."
48.4,2B,"J Bumrah to A Carey, 2 byes."
48.3,•,"J Bumrah to A Carey, no run, 120.2 km/h good length just outside off stump."
48.2,•,"J Bumrah to A Carey, no run, 134.9 km/h good length going down leg."
48.1,•,"J Bumrah to A Carey, no run, 137.0 km/h full toss going down leg."
47.6,2,"B Kumar to M Starc, two runs, 116.7 km/h good length just outside off stump."
47.5,1,"B Kumar to A Carey, one run, 120.3 km/h good length on leg stump."
47.4,1,"B Kumar to M Starc, one run, 116.6 km/h good length on off stump."
47.3,•,"B Kumar to M Starc, no run, 137.6 km/h good length just outside off stump."
47.2,1,"B Kumar to A Carey, one run, 134.9 km/h full length going down leg."
47.1,4,"B Kumar to A Carey, FOUR, 126.2 km/h short length on middle stump."
46.6,W,"J Bumrah to P Cummins, WICKET!!! P Cummins is out c MS Dhoni b Jasprit Bumrah, 119.5 km/h good length outside off stump."
46.5,1,"J Bumrah to A Carey, one run, 138.0 km/h full length on off stump."
46.4,1,"J Bumrah to P Cummins, one run, 118.3 km/h short length on off stump."
46.3,2,"J Bumrah to P Cummins, two runs, 144.2 km/h full toss on off stump."
46.2,4,"J Bumrah to P Cummins, FOUR, 139.7 km/h short length just outside off stump."
46.1,1,"J Bumrah to A Carey, one run, 136.1 km/h full length going down leg."
45.6,•,"B Kumar to P Cummins, no run, 123.0 km/h short length on leg stump."
45.5,1,"B Kumar to A Carey, one run, 136.0 km/h full length on leg stump."
45.4,4,"B Kumar to A Carey, FOUR, 118.5 km/h good length outside off stump."
45.3,1,"B Kumar to P Cummins, one run, 133.8 km/h short length on middle stump."
45.2,•,"B Kumar to P Cummins, no run, 136.4 km/h short length just outside off stump."
45.1,1,"B Kumar to A Carey, one run, 116.6 km/h good length outside off stump."
44.6,1,"J Bumrah to A Carey, one run, 120.0 km/h short length just outside off stump."
44.5,W,"J Bumrah to N Coulter-Nile, WICKET!!! N Coulter-Nile is out c Virat Kohli b Jasprit Bumrah, 119.9 km/h good length outside off stump."
44.4,•,"J Bumrah to N Coulter-Nile, no run, 119.9 km/h good length just outside off stump."
44.3,1,"J Bumrah to A Carey, one run, 141.3 km/h full length on middle stump."
44.2,4,"J Bumrah to A Carey, FOUR, 137.7 km/h short length on middle stump."
44.1,•,"J Bumrah to A Carey, no run, 139.8 km/h full toss going down leg."
43.6,1,"H Pandya to A Carey, one run, 116.9 km/h short length on middle stump."
43.5,4,"H Pandya to A Carey, FOUR, 113.8 km/h full length just outside off stump."
