Ball,Runs,Commentary
49.6,1,"C Woakes to K Jadhav, one run, 137.6 km/h full length going down leg."
49.5,•,"C Woakes to K Jadhav, no run, 129.8 km/h short length on off stump."
49.4,4,"C Woakes to K Jadhav, FOUR, 114.7 km/h short length on leg stump."
49.3,1,"C Woakes to MS Dhoni, one run, 120.2 km/h short length on middle stump."
49.2,•,"C Woakes to MS Dhoni, no run, 135.7 km/h short length on leg stump."
49.1,6,"C Woakes to MS Dhoni, SIX, 120.6 km/h short length going down leg."
48.6,•,"J Archer to K Jadhav, no run, 141.1 km/h short length outside off stump."
48.5,1,"J Archer to MS Dhoni, one run, 115.6 km/h good length just outside off stump."
48.4,1,"J Archer to K Jadhav, one run, 141.1 km/h full toss just outside off stump."
48.3,1,"J Archer to MS Dhoni, one run, 126.3 km/h short length outside off stump."
48.2,4,"J Archer to MS Dhoni, FOUR, 143.6 km/h full length just outside off stump."
48.1,•,"J Archer to MS Dhoni, no run, 121.0 km/h short length just outside off stump."
47.6,1,"M Wood to MS Dhoni, one run, 129.0 km/h short length going down leg."
47.5,•,"M Wood to MS Dhoni, no run, 129.8 km/h short length going down leg."
47.5,1Wd,"M Wood to MS Dhoni, wide delivery."
47.4,1,"M Wood to K Jadhav, one run, 125.8 km/h short length going down leg."
47.3,1,"M Wood to MS Dhoni, one run, 131.7 km/h short length on leg stump."
47.2,1,"M Wood to K Jadhav, one run, 138.6 km/h short length going down leg."
47.1,1,"M Wood to MS Dhoni, one run, 129.6 km/h short length going down leg."
46.6,1,"J Archer to MS Dhoni, one run."
46.5,1,"J Archer to K Jadhav, one run."
46.4,•,"J Archer to K Jadhav, no run, 121.4 km/h good length going down leg."
46.3,1,"J Archer to MS Dhoni, one run, 114.4 km/h short length on leg stump."
46.2,1,"J Archer to K Jadhav, one run, 134.6 km/h short length on middle stump."
46.1,1,"J Archer to MS Dhoni, one run, 114.6 km/h good length on off stump."
45.6,1,"M Wood to MS Dhoni, one run, 131.1 km/h short length on leg stump."
45.5,1,"M Wood to K Jadhav, one run, 149.1 km/h good length on middle stump."
45.4,1,"M Wood to MS Dhoni, one run, 141.5 km/h short length going down leg."
45.3,4,"M Wood to MS Dhoni, FOUR."
45.2,1,"M Wood to K Jadhav, one run, 130.2 km/h short length on middle stump."
45.1,1,"M Wood to MS Dhoni, one run, 130.9 km/h short length on leg stump."
44.6,•,"L Plunkett to K Jadhav, no run, 128.0 km/h short length outside off stump."
44.5,W,"L Plunkett to H Pandya, WICKET!!! H Pandya is out c sub (James Vince) b Liam Plunkett, 121.5 km/h good length just outside off stump."
44.4,1,"L Plunkett to MS Dhoni, one run, 121.7 km/h short length outside off stump."
44.4,1Wd,"L Plunkett to MS Dhoni, wide delivery."
44.3,4,"L Plunkett to MS Dhoni, FOUR, 128.2 km/h short length just outside off stump."
44.2,1,"L Plunkett to H Pandya, one run, 128.7 km/h good length just outside off stump."
44.1,•,"L Plunkett to H Pandya, no run, 136.5 km/h full length outside off stump."
43.6,1,"J Archer to H Pandya, one run, 122.5 km/h good length outside off stump."
43.5,•,"J Archer to H Pandya, no run, 117.9 km/h short length going down leg."
43.4,1,"J Archer to MS Dhoni, one run, 120.1 km/h good length just outside off stump."
43.3,2,"J Archer to MS Dhoni, two runs."
43.2,1,"J Archer to H Pandya, one run, 117.7 km/h good length outside off stump."
43.1,•,"J Archer to H Pandya, no run, 119.8 km/h good length just outside off stump."
42.6,•,"C Woakes to MS Dhoni, no run, 118.0 km/h short length outside off stump."
42.5,1,"C Woakes to H Pandya, one run, 118.4 km/h good length outside off stump."
42.4,1,"C Woakes to MS Dhoni, one run, 141.7 km/h full length just outside off stump."
42.3,•,"C Woakes to MS Dhoni, no run, 136.2 km/h short length outside off stump."
42.2,4,"C Woakes to MS Dhoni, FOUR, 138.1 km/h good length just outside off stump."
42.1,1,"C Woakes to H Pandya, one run, 120.1 km/h full length outside off stump."
