Ball,Runs,Commentary
31.6,W,"M Saifuddin to B Azam, WICKET!!! B Azam is out lbw Mohammad Saifuddin, 130.5 km/h full toss on leg stump."
44.1,W,"S Afridi to M Rahman, WICKET!!! M Rahman is out b Shaheen Afridi, 143.5 km/h full toss on leg stump."
44.1,1Wd,"S Afridi to M Rahman, wide delivery."
43.6,1,"S Khan to M Rahman, one run, 82.8 km/h good length just outside off stump."
43.5,•,"S Khan to M Rahman, no run, 92.6 km/h short length just outside off stump."
43.4,W,"S Khan to M Mortaza, WICKET!!! M Mortaza is out st Sarfaraz Ahmed b Shadab Khan, 92.4 km/h short length outside off stump."
43.3,1,"S Khan to M Hasan, one run, 79.8 km/h full length just outside off stump."
43.2,•,"S Khan to M Hasan, no run, 84.9 km/h good length just outside off stump."
43.1,4,"S Khan to M Hasan, FOUR, 86.5 km/h good length just outside off stump."
42.6,•,"S Afridi to M Mortaza, no run, 122.5 km/h full length outside off stump."
42.5,•,"S Afridi to M Mortaza, no run, 126.2 km/h good length outside off stump."
42.4,1,"S Afridi to M Hasan, one run, 143.7 km/h full toss just outside off stump."
42.3,1,"S Afridi to M Mortaza, one run, 140.4 km/h short length going down leg."
42.2,•,"S Afridi to M Mortaza, no run, 144.6 km/h short length on off stump."
42.1,6,"S Afridi to M Mortaza, SIX, 124.0 km/h full length just outside off stump."
41.6,1,"S Khan to M Mortaza, one run, 85.6 km/h good length going down leg."
41.5,•,"S Khan to M Mortaza, no run, 86.6 km/h good length outside off stump."
41.4,6,"S Khan to M Mortaza, SIX, 78.4 km/h good length just outside off stump."
41.3,•,"S Khan to M Mortaza, no run, 87.9 km/h good length on middle stump."
41.2,•,"S Khan to M Mortaza, no run, 84.4 km/h good length just outside off stump."
41.1,•,"S Khan to M Mortaza, no run, 92.0 km/h short length just outside off stump."
40.6,•,"S Afridi to M Hasan, no run, 136.9 km/h good length outside off stump."
40.5,1,"S Afridi to M Mortaza, one run, 140.2 km/h full length outside off stump."
40.4,•,"S Afridi to M Mortaza, no run, 139.8 km/h good length just outside off stump."
40.3,W,"S Afridi to Mahmudullah, WICKET!!! Mahmudullah is out b Shaheen Afridi, 142.2 km/h full toss on middle stump."
40.2,1,"S Afridi to M Hasan, one run, 137.9 km/h short length outside off stump."
40.1,W,"S Afridi to M Saifuddin, WICKET!!! M Saifuddin is out c Mohammad Amir b Shaheen Afridi, 135.2 km/h good length outside off stump."
39.6,•,"S Khan to Mahmudullah, no run, 88.9 km/h good length just outside off stump."
39.5,•,"S Khan to Mahmudullah, no run, 86.2 km/h good length on middle stump."
39.4,W,"S Khan to M Hossain, WICKET!!! M Hossain is out c Babar Azam b Shadab Khan, 88.2 km/h good length on middle stump."
39.3,1,"S Khan to Mahmudullah, one run, 88.8 km/h full length on middle stump."
39.2,1,"S Khan to M Hossain, one run, 84.7 km/h good length on off stump."
39.1,4,"S Khan to M Hossain, FOUR, 88.9 km/h good length outside off stump."
38.6,•,"W Riaz to Mahmudullah, no run, 139.0 km/h short length outside off stump."
38.5,4,"W Riaz to Mahmudullah, FOUR."
38.4,1,"W Riaz to M Hossain, one run."
38.3,•,"W Riaz to M Hossain, no run, 138.1 km/h short length on off stump."
38.2,3,"W Riaz to Mahmudullah, three runs, 148.6 km/h full length on middle stump."
38.1,•,"W Riaz to Mahmudullah, no run, 139.4 km/h short length outside off stump."
37.6,•,"S Khan to M Hossain, no run, 92.6 km/h short length outside off stump."
37.5,2,"S Khan to M Hossain, two runs, 90.3 km/h good length going down leg."
37.4,•,"S Khan to M Hossain, no run, 85.4 km/h good length on off stump."
37.3,1,"S Khan to Mahmudullah, one run, 91.3 km/h short length outside off stump."
37.2,2,"S Khan to Mahmudullah, two runs, 84.1 km/h full length on middle stump."
37.1,•,"S Khan to Mahmudullah, no run, 85.5 km/h good length outside off stump."
36.6,1,"W Riaz to Mahmudullah, one run, 141.9 km/h good length on leg stump."
36.5,4,"W Riaz to Mahmudullah, FOUR, 149.2 km/h full length just outside off stump."
36.4,•,"W Riaz to Mahmudullah, no run, 138.9 km/h good length on middle stump."
36.3,•,"W Riaz to Mahmudullah, no run, 140.1 km/h short length on middle stump."
36.2,•,"W Riaz to Mahmudullah, no run, 122.4 km/h full length going down leg."
36.1,1,"W Riaz to M Hossain, one run, 139.7 km/h short length on leg stump."
35.6,1,"M Amir to M Hossain, one run, 135.1 km/h full toss going down leg."
35.6,1Wd,"M Amir to M Hossain, wide delivery."
35.5,1,"M Amir to Mahmudullah, one run, 111.8 km/h full length outside off stump."
35.4,•,"M Amir to Mahmudullah, no run, 135.6 km/h full toss just outside off stump."
35.3,•,"M Amir to Mahmudullah, no run, 119.8 km/h full length on off stump."
35.2,1,"M Amir to M Hossain, one run, 135.2 km/h good length just outside off stump."
35.1,•,"M Amir to M Hossain, no run, 120.5 km/h good length on middle stump."
34.6,•,"W Riaz to Mahmudullah, no run, 144.5 km/h good length on off stump."
34.5,1,"W Riaz to M Hossain, one run, 124.5 km/h short length outside off stump."
34.4,1,"W Riaz to Mahmudullah, one run, 141.8 km/h good length just outside off stump."
34.3,•,"W Riaz to Mahmudullah, no run, 137.4 km/h short length outside off stump."
34.2,1,"W Riaz to M Hossain, one run, 137.9 km/h good length going down leg."
34.1,1,"W Riaz to Mahmudullah, one run, 140.5 km/h short length just outside off stump."
33.6,1,"M Amir to Mahmudullah, one run, 134.1 km/h short length on middle stump."
33.5,•,"M Amir to Mahmudullah, no run, 118.7 km/h good length on off stump."
