Ball,Runs,Commentary
11.1,4,"C Morris to D Warner, FOUR, 135.2 km/h good length outside off stump."
49.5,W,"A Phehlukwayo to N Lyon, WICKET!!! N Lyon is out c Aiden Markram b Andile Phehlukwayo, 122.6 km/h good length on middle stump."
49.4,1,"A Phehlukwayo to J Behrendorff, one run, 107.7 km/h short length just outside off stump."
49.3,2,"A Phehlukwayo to J Behrendorff, two runs, 101.6 km/h short length outside off stump."
49.2,1,"A Phehlukwayo to N Lyon, one run, 111.8 km/h short length outside off stump."
49.1,3,"A Phehlukwayo to J Behrendorff, three runs, 105.6 km/h short length going down leg."
48.6,2,"K Rabada to N Lyon, two runs, 136.2 km/h good length just outside off stump."
48.5,W,"K Rabada to M Starc, WICKET!!! M Starc is out b Kagiso Rabada, 138.8 km/h good length on middle stump."
48.4,1,"K Rabada to J Behrendorff, one run, 134.3 km/h short length just outside off stump."
48.3,2,"K Rabada to J Behrendorff, two runs, 116.5 km/h short length outside off stump."
48.2,2,"K Rabada to J Behrendorff, two runs, 139.8 km/h short length on leg stump."
48.1,W,"K Rabada to U Khawaja, WICKET!!! U Khawaja is out b Kagiso Rabada, 136.1 km/h full toss outside off stump."
47.6,1,"C Morris to U Khawaja, one run, 140.3 km/h full toss outside off stump."
47.5,4,"C Morris to U Khawaja, FOUR, 132.9 km/h full toss outside off stump."
47.4,1,"C Morris to M Starc, one run, 116.6 km/h full length outside off stump."
47.3,4,"C Morris to M Starc, FOUR, 139.6 km/h full length on middle stump."
47.2,6,"C Morris to M Starc, SIX, 133.5 km/h good length on middle stump."
47.1,1,"C Morris to U Khawaja, one run, 137.8 km/h full toss just outside off stump."
46.6,1,"K Rabada to U Khawaja, one run, 134.4 km/h full toss on leg stump."
46.5,4,"K Rabada to U Khawaja, FOUR, 117.5 km/h short length going down leg."
46.4,1,"K Rabada to M Starc, one run, 134.8 km/h full toss just outside off stump."
46.3,1,"K Rabada to U Khawaja, one run, 122.8 km/h short length on middle stump."
46.2,•,"K Rabada to U Khawaja, no run, 134.2 km/h good length just outside off stump."
46.1,•,"K Rabada to U Khawaja, no run, 131.9 km/h short length just outside off stump."
45.6,•,"C Morris to M Starc, no run, 135.8 km/h short length going down leg."
45.5,•,"C Morris to M Starc, no run, 137.5 km/h good length on middle stump."
45.4,2,"C Morris to M Starc, two runs, 118.7 km/h short length going down leg."
45.3,•,"C Morris to M Starc, no run, 134.1 km/h full length on middle stump."
45.2,W,"C Morris to A Carey, WICKET!!! A Carey is out c Aiden Markram b Chris Morris, 136.5 km/h good length just outside off stump."
45.1,1,"C Morris to M Starc, one run, 135.3 km/h full toss just outside off stump."
44.6,1,"A Phehlukwayo to M Starc, one run, 127.3 km/h full length just outside off stump."
44.5,1,"A Phehlukwayo to A Carey, one run, 110.3 km/h short length going down leg."
44.4,W,"A Phehlukwayo to P Cummins, WICKET!!! P Cummins is out c JP Duminy b Andile Phehlukwayo, 106.4 km/h short length outside off stump."
44.3,1,"A Phehlukwayo to A Carey, one run, 107.4 km/h short length going down leg."
44.3,1Wd,"A Phehlukwayo to A Carey, wide delivery."
44.2,1,"A Phehlukwayo to P Cummins, one run, 105.7 km/h good length outside off stump."
44.1,•,"A Phehlukwayo to P Cummins, no run, 106.0 km/h short length outside off stump."
43.6,1,"T Shamsi to P Cummins, one run, 86.7 km/h short length going down leg."
43.5,1,"T Shamsi to A Carey, one run, 87.1 km/h good length just outside off stump."
43.4,2,"T Shamsi to A Carey, two runs, 91.5 km/h short length on off stump."
43.3,•,"T Shamsi to A Carey, no run, 84.7 km/h short length outside off stump."
43.2,4,"T Shamsi to A Carey, FOUR, 84.4 km/h good length on leg stump."
43.1,4,"T Shamsi to A Carey, FOUR, 90.7 km/h good length just outside off stump."
42.6,1,"I Tahir to A Carey, one run, 80.7 km/h good length outside off stump."
42.5,4,"I Tahir to A Carey, FOUR, 76.2 km/h good length just outside off stump."
42.4,6,"I Tahir to A Carey, SIX, 80.0 km/h good length on off stump."
