Ball,Runs,Commentary
49.6,W,"O Thomas to S Shirzad, WICKET!!! S Shirzad is out c Fabian Allen b Oshane Thomas, 117.1 km/h good length outside off stump."
49.5,6,"O Thomas to S Shirzad, SIX, 136.0 km/h full length just outside off stump."
49.4,•,"O Thomas to S Shirzad, no run, 130.8 km/h good length just outside off stump."
49.3,4,"O Thomas to S Shirzad, FOUR, 137.2 km/h full toss outside off stump."
49.2,•,"O Thomas to S Shirzad, no run, 134.5 km/h short length just outside off stump."
49.1,•,"O Thomas to S Shirzad, no run, 142.3 km/h full toss outside off stump."
48.6,•,"C Brathwaite to M Ur Rahman, no run, 125.5 km/h short length on leg stump."
48.5,1,"C Brathwaite to S Shirzad, one run, 127.9 km/h full length on middle stump."
48.4,1,"C Brathwaite to M Ur Rahman, one run, 126.8 km/h full length on leg stump."
48.3,1,"C Brathwaite to S Shirzad, one run, 104.1 km/h short length outside off stump."
48.2,•,"C Brathwaite to S Shirzad, no run, 108.9 km/h good length outside off stump."
48.1,•,"C Brathwaite to S Shirzad, no run, 127.1 km/h full toss just outside off stump."
47.6,1,"O Thomas to S Shirzad, one run, 135.6 km/h full toss on middle stump."
47.5,1,"O Thomas to M Ur Rahman, one run, 136.8 km/h full length on leg stump."
47.4,4,"O Thomas to M Ur Rahman, FOUR, 138.0 km/h full length just outside off stump."
47.3,1,"O Thomas to S Shirzad, one run, 136.6 km/h full length just outside off stump."
47.2,•,"O Thomas to S Shirzad, no run, 134.0 km/h short length outside off stump."
47.1,•,"O Thomas to S Shirzad, no run, 136.7 km/h short length just outside off stump."
46.6,1,"C Brathwaite to S Shirzad, one run, 98.6 km/h good length outside off stump."
46.5,6,"C Brathwaite to S Shirzad, SIX, 125.3 km/h full toss on leg stump."
46.4,1,"C Brathwaite to M Ur Rahman, one run, 128.8 km/h short length outside off stump."
46.3,W,"C Brathwaite to R Khan, WICKET!!! R Khan is out c Jason Holder b Carlos Brathwaite, 123.5 km/h full toss just outside off stump."
46.2,•,"C Brathwaite to R Khan, no run, 126.3 km/h full toss outside off stump."
46.1,•,"C Brathwaite to R Khan, no run, 105.7 km/h short length outside off stump."
45.6,4,"O Thomas to S Shirzad, FOUR, 139.0 km/h full length on middle stump."
45.5,1,"O Thomas to R Khan, one run, 133.8 km/h full toss just outside off stump."
45.4,•,"O Thomas to R Khan, no run, 139.7 km/h short length outside off stump."
45.3,•,"O Thomas to R Khan, no run, 138.7 km/h good length on off stump."
45.2,•,"O Thomas to R Khan, no run, 130.8 km/h good length just outside off stump."
45.1,•,"O Thomas to R Khan, no run, 130.5 km/h short length going down leg."
