Ball,Runs,Commentary
4.1,4,"C Woakes to R Shah, FOUR, 131.8 km/h short length outside off stump."
4.4,•,"C Woakes to R Shah, no run, 137.1 km/h full length just outside off stump."
4.5,•,"C Woakes to R Shah, no run, 132.3 km/h short length outside off stump."
4.6,•,"C Woakes to R Shah, no run, 134.5 km/h short length on middle stump."
4.2,•,"C Woakes to R Shah, no run, 136.7 km/h good length on off stump."
4.3,•,"C Woakes to R Shah, no run, 132.6 km/h good length outside off stump."
49.6,•,"J Archer to I Ali Khil, no run, 140.6 km/h short length on middle stump."
49.5,•,"J Archer to I Ali Khil, no run, 142.4 km/h short length going down leg."
49.4,W,"J Archer to R Khan, WICKET!!! R Khan is out c Jonny Bairstow b Jofra Archer, 141.6 km/h short length just outside off stump."
49.3,1Lb,"J Archer to I Ali Khil, 1 leg bye."
49.2,•,"J Archer to I Ali Khil, no run, 144.3 km/h full toss on off stump."
49.1,•,"J Archer to I Ali Khil, no run, 128.3 km/h good length going down leg."
48.6,•,"M Wood to R Khan, no run, 140.2 km/h short length on leg stump."
48.5,2,"M Wood to R Khan, two runs, 143.6 km/h full length on leg stump."
48.4,4,"M Wood to R Khan, FOUR, 121.9 km/h good length just outside off stump."
48.3,•,"M Wood to R Khan, no run, 141.6 km/h short length just outside off stump."
48.2,1,"M Wood to I Ali Khil, one run, 146.2 km/h full toss on off stump."
48.1,•,"M Wood to I Ali Khil, no run, 145.5 km/h full length on middle stump."
47.6,•,"J Archer to R Khan, no run, 96.9 km/h short length outside off stump."
47.5,•,"J Archer to R Khan, no run, 146.4 km/h full toss on middle stump."
47.5,1Wd,"J Archer to R Khan, wide delivery."
47.4,2,"J Archer to R Khan, two runs, 120.5 km/h good length on middle stump."
47.3,•,"J Archer to R Khan, no run, 142.8 km/h short length on off stump."
47.2,1,"J Archer to I Ali Khil, one run, 145.5 km/h full length on middle stump."
47.1,•,"J Archer to I Ali Khil, no run, 138.9 km/h short length on middle stump."
