Ball,Runs,Commentary
49.1,4,"L Ferguson to S Ahmed, FOUR, 139.1 km/h full toss outside off stump."
48.6,•,"M Henry to B Azam, no run, 133.8 km/h good length on off stump."
48.5,1,"M Henry to S Ahmed, one run, 130.8 km/h short length on off stump."
48.4,•,"M Henry to S Ahmed, no run, 131.6 km/h short length just outside off stump."
48.3,W,"M Henry to B Azam, WICKET!!! H Sohail is out run out (Martin Guptill), 120.9 km/h full length on off stump."
48.2,1,"M Henry to H Sohail, one run, 128.1 km/h short length on off stump."
48.1,1,"M Henry to B Azam, one run, 119.3 km/h short length just outside off stump."
47.6,•,"L Ferguson to H Sohail, no run."
47.5,2,"L Ferguson to H Sohail, two runs, 139.3 km/h full toss just outside off stump."
47.5,1Wd,"L Ferguson to H Sohail, wide delivery."
47.4,•,"L Ferguson to H Sohail, no run, 144.0 km/h short length on middle stump."
47.3,1,"L Ferguson to B Azam, one run, 138.9 km/h short length outside off stump."
47.2,1,"L Ferguson to H Sohail, one run, 141.1 km/h full length going down leg."
47.1,4,"L Ferguson to H Sohail, FOUR, 141.0 km/h good length on middle stump."
46.6,•,"T Boult to B Azam, no run, 140.0 km/h full length outside off stump."
46.5,•,"T Boult to B Azam, no run, 137.1 km/h short length on off stump."
46.4,•,"T Boult to B Azam, no run, 136.8 km/h full length outside off stump."
46.3,•,"T Boult to B Azam, no run, 137.1 km/h short length outside off stump."
46.2,1,"T Boult to H Sohail, one run, 139.2 km/h short length on middle stump."
46.1,•,"T Boult to H Sohail, no run, 136.7 km/h good length on off stump."
45.6,4,"L Ferguson to B Azam, FOUR, 124.1 km/h short length just outside off stump."
45.5,1,"L Ferguson to H Sohail, one run, 143.0 km/h short length going down leg."
45.5,1Wd,"L Ferguson to H Sohail, wide delivery."
45.4,1,"L Ferguson to B Azam, one run."
45.3,1,"L Ferguson to H Sohail, one run, 140.8 km/h full toss going down leg."
45.2,1,"L Ferguson to B Azam, one run, 139.3 km/h full toss outside off stump."
45.1,•,"L Ferguson to B Azam, no run, 119.2 km/h good length just outside off stump."
44.6,4,"T Boult to H Sohail, FOUR, 138.4 km/h good length just outside off stump."
44.5,•,"T Boult to H Sohail, no run, 138.2 km/h short length outside off stump."
44.4,2,"T Boult to H Sohail, two runs, 138.7 km/h short length on middle stump."
44.3,2,"T Boult to H Sohail, two runs, 120.7 km/h short length outside off stump."
44.2,•,"T Boult to H Sohail, no run, 138.0 km/h short length outside off stump."
44.1,•,"T Boult to H Sohail, no run, 137.1 km/h short length just outside off stump."
43.6,•,"M Santner to B Azam, no run, 86.7 km/h good length just outside off stump."
43.5,•,"M Santner to B Azam, no run."
43.4,2,"M Santner to B Azam, two runs, 90.3 km/h short length on off stump."
43.3,•,"M Santner to B Azam, no run, 84.7 km/h good length on off stump."
43.2,1,"M Santner to H Sohail, one run, 92.1 km/h good length on leg stump."
43.1,•,"M Santner to H Sohail, no run."
42.6,•,"T Boult to B Azam, no run, 138.2 km/h good length outside off stump."
42.5,•,"T Boult to B Azam, no run, 138.0 km/h good length just outside off stump."
42.4,•,"T Boult to B Azam, no run, 119.5 km/h full length outside off stump."
42.3,2,"T Boult to B Azam, two runs, 140.9 km/h full length outside off stump."
42.2,1,"T Boult to H Sohail, one run."
42.1,•,"T Boult to H Sohail, no run, 130.8 km/h short length on off stump."
41.6,1,"M Santner to H Sohail, one run, 84.4 km/h good length going down leg."
41.5,1,"M Santner to B Azam, one run, 90.2 km/h short length outside off stump."
41.4,1,"M Santner to H Sohail, one run, 82.4 km/h short length on off stump."
41.3,1,"M Santner to B Azam, one run, 88.3 km/h good length outside off stump."
41.2,4,"M Santner to B Azam, FOUR, 83.3 km/h good length just outside off stump."
41.1,4,"M Santner to B Azam, FOUR, 88.4 km/h good length just outside off stump."
40.6,4,"T Boult to H Sohail, FOUR, 134.0 km/h short length just outside off stump."
40.5,•,"T Boult to H Sohail, no run, 129.8 km/h good length just outside off stump."
40.4,1,"T Boult to B Azam, one run."
40.3,•,"T Boult to B Azam, no run, 140.3 km/h full length outside off stump."
40.2,•,"T Boult to B Azam, no run, 137.0 km/h short length just outside off stump."
40.1,1,"T Boult to H Sohail, one run, 140.8 km/h short length outside off stump."
39.6,•,"M Santner to B Azam, no run, 86.0 km/h good length on off stump."
39.5,2,"M Santner to B Azam, two runs, 89.0 km/h full length just outside off stump."
39.4,1,"M Santner to H Sohail, one run, 90.6 km/h good length on middle stump."
39.3,•,"M Santner to H Sohail, no run, 89.7 km/h good length going down leg."
39.2,•,"M Santner to H Sohail, no run, 89.2 km/h good length on middle stump."
39.1,1,"M Santner to B Azam, one run, 89.0 km/h full length on middle stump."
38.6,4,"K Williamson to H Sohail, FOUR, 80.5 km/h full length just outside off stump."
38.5,•,"K Williamson to H Sohail, no run, 78.1 km/h good length on middle stump."
38.4,1,"K Williamson to B Azam, one run, 79.0 km/h good length on middle stump."
38.3,1,"K Williamson to H Sohail, one run, 77.4 km/h good length just outside off stump."
38.2,1,"K Williamson to B Azam, one run, 80.5 km/h good length going down leg."
38.1,•,"K Williamson to B Azam, no run, 81.6 km/h short length going down leg."
37.6,•,"T Boult to H Sohail, no run, 136.2 km/h short length outside off stump."
37.5,•,"T Boult to H Sohail, no run, 137.6 km/h short length on off stump."
37.4,6,"T Boult to H Sohail, SIX, 112.0 km/h full length outside off stump."
37.3,•,"T Boult to H Sohail, no run, 139.1 km/h short length just outside off stump."
37.2,1,"T Boult to B Azam, one run, 115.3 km/h good length on middle stump."
37.1,1,"T Boult to H Sohail, one run."
36.6,•,"K Williamson to B Azam, no run, 88.8 km/h good length outside off stump."
36.5,1,"K Williamson to H Sohail, one run, 79.7 km/h good length outside off stump."
36.4,1,"K Williamson to B Azam, one run, 83.7 km/h full length on middle stump."
36.3,4,"K Williamson to B Azam, FOUR, 79.4 km/h short length going down leg."
36.2,4,"K Williamson to B Azam, FOUR, 78.8 km/h good length just outside off stump."
36.1,•,"K Williamson to B Azam, no run, 78.6 km/h good length just outside off stump."
35.6,1,"C Munro to B Azam, one run, 94.6 km/h full length outside off stump."
35.5,•,"C Munro to B Azam, no run, 108.3 km/h good length just outside off stump."
35.5,1Wd,"C Munro to B Azam, wide delivery."
35.4,1,"C Munro to H Sohail, one run, 95.4 km/h good length on middle stump."
35.3,1,"C Munro to B Azam, one run, 109.0 km/h short length outside off stump."
35.2,4,"C Munro to B Azam, FOUR, 93.1 km/h good length outside off stump."
35.1,1,"C Munro to H Sohail, one run, 112.4 km/h good length on leg stump."
34.6,1,"K Williamson to H Sohail, one run, 76.2 km/h good length just outside off stump."
34.5,•,"K Williamson to H Sohail, no run, 80.4 km/h good length outside off stump."
34.4,1,"K Williamson to B Azam, one run, 81.3 km/h good length on middle stump."
34.3,•,"K Williamson to B Azam, no run, 79.4 km/h short length going down leg."
34.2,1,"K Williamson to H Sohail, one run, 79.2 km/h short length outside off stump."
34.1,•,"K Williamson to H Sohail, no run, 80.2 km/h good length outside off stump."
33.6,•,"L Ferguson to B Azam, no run, 143.5 km/h good length going down leg."
33.5,•,"L Ferguson to B Azam, no run."
33.4,1,"L Ferguson to H Sohail, one run, 142.2 km/h short length outside off stump."
33.3,•,"L Ferguson to H Sohail, no run, 141.4 km/h short length outside off stump."
33.2,1,"L Ferguson to B Azam, one run, 140.9 km/h full length outside off stump."
33.1,1,"L Ferguson to H Sohail, one run, 143.7 km/h short length outside off stump."
32.6,•,"K Williamson to B Azam, no run, 79.3 km/h full length on middle stump."
32.5,1,"K Williamson to H Sohail, one run, 79.9 km/h full length just outside off stump."
32.4,•,"K Williamson to H Sohail, no run, 77.3 km/h good length just outside off stump."
32.3,1,"K Williamson to B Azam, one run, 78.2 km/h good length going down leg."
32.2,•,"K Williamson to B Azam, no run, 83.2 km/h good length on off stump."
32.1,1,"K Williamson to H Sohail, one run, 81.7 km/h good length on leg stump."
31.6,•,"L Ferguson to B Azam, no run, 141.4 km/h full length just outside off stump."
31.5,•,"L Ferguson to B Azam, no run, 145.8 km/h good length on middle stump."
