Ball,Runs,Commentary
47.3,4,"A Phehlukwayo to H Pandya, FOUR, 132.3 km/h short length outside off stump."
47.3,1Wd,"A Phehlukwayo to H Pandya, wide delivery."
47.2,•,"A Phehlukwayo to H Pandya, no run, 125.5 km/h short length on middle stump."
47.1,2,"A Phehlukwayo to H Pandya, two runs, 129.7 km/h good length just outside off stump."
46.6,1,"C Morris to H Pandya, one run, 133.6 km/h short length just outside off stump."
46.5,4,"C Morris to H Pandya, FOUR, 127.5 km/h short length on off stump."
46.4,4,"C Morris to H Pandya, FOUR, 130.4 km/h short length just outside off stump."
46.3,•,"C Morris to H Pandya, no run, 130.6 km/h good length just outside off stump."
46.2,1,"C Morris to R Sharma, one run, 131.4 km/h short length just outside off stump."
46.1,W,"C Morris to MS Dhoni, WICKET!!! MS Dhoni is out c & b Chris Morris, 123.3 km/h good length just outside off stump."
45.6,1,"K Rabada to MS Dhoni, one run, 113.4 km/h good length outside off stump."
45.5,1,"K Rabada to R Sharma, one run, 135.1 km/h short length going down leg."
45.4,•,"K Rabada to R Sharma, no run, 112.5 km/h short length outside off stump."
45.3,1,"K Rabada to MS Dhoni, one run, 141.9 km/h good length on leg stump."
45.2,2,"K Rabada to MS Dhoni, two runs."
45.1,•,"K Rabada to MS Dhoni, no run, 139.2 km/h full length just outside off stump."
44.6,1,"I Tahir to MS Dhoni, one run, 86.6 km/h good length going down leg."
44.5,1,"I Tahir to R Sharma, one run, 82.4 km/h good length outside off stump."
44.4,4,"I Tahir to R Sharma, FOUR, 77.6 km/h good length on middle stump."
44.3,1,"I Tahir to MS Dhoni, one run, 89.6 km/h good length just outside off stump."
44.2,1,"I Tahir to R Sharma, one run, 83.8 km/h good length on middle stump."
44.1,2,"I Tahir to R Sharma, two runs, 82.9 km/h good length outside off stump."
43.6,1,"K Rabada to R Sharma, one run, 138.6 km/h short length just outside off stump."
43.5,•,"K Rabada to R Sharma, no run."
43.4,4,"K Rabada to R Sharma, FOUR, 132.3 km/h short length just outside off stump."
43.3,•,"K Rabada to R Sharma, no run, 118.2 km/h short length outside off stump."
43.2,•,"K Rabada to R Sharma, no run, 141.0 km/h short length on leg stump."
43.1,•,"K Rabada to R Sharma, no run, 141.4 km/h short length on middle stump."
42.6,2,"T Shamsi to MS Dhoni, two runs, 82.6 km/h good length outside off stump."
42.5,3,"T Shamsi to R Sharma, three runs."
42.4,4,"T Shamsi to R Sharma, FOUR, 83.4 km/h good length outside off stump."
42.3,1,"T Shamsi to MS Dhoni, one run, 84.8 km/h good length just outside off stump."
42.2,4,"T Shamsi to MS Dhoni, FOUR, 80.4 km/h good length outside off stump."
42.1,•,"T Shamsi to MS Dhoni, no run, 84.9 km/h good length on leg stump."
41.6,•,"A Phehlukwayo to R Sharma, no run, 134.2 km/h short length on off stump."
41.5,1Lb,"A Phehlukwayo to MS Dhoni, 1 leg bye."
41.4,•,"A Phehlukwayo to MS Dhoni, no run, 126.0 km/h full length just outside off stump."
41.3,•,"A Phehlukwayo to MS Dhoni, no run, 130.8 km/h good length just outside off stump."
41.2,•,"A Phehlukwayo to MS Dhoni, no run, 131.1 km/h short length just outside off stump."
41.1,2,"A Phehlukwayo to MS Dhoni, two runs."
40.6,1,"T Shamsi to MS Dhoni, one run, 85.9 km/h good length on leg stump."
40.5,•,"T Shamsi to MS Dhoni, no run, 91.4 km/h good length just outside off stump."
40.4,1,"T Shamsi to R Sharma, one run, 88.0 km/h good length on off stump."
40.3,2,"T Shamsi to R Sharma, two runs, 80.7 km/h good length outside off stump."
40.2,•,"T Shamsi to R Sharma, no run."
40.1,1,"T Shamsi to MS Dhoni, one run, 83.4 km/h good length on off stump."
39.6,1,"C Morris to MS Dhoni, one run, 132.3 km/h short length outside off stump."
39.5,2,"C Morris to MS Dhoni, two runs, 135.2 km/h good length outside off stump."
39.4,•,"C Morris to MS Dhoni, no run, 131.7 km/h good length just outside off stump."
39.3,•,"C Morris to MS Dhoni, no run, 133.3 km/h good length on middle stump."
39.2,•,"C Morris to MS Dhoni, no run, 130.6 km/h short length on off stump."
39.1,•,"C Morris to MS Dhoni, no run, 134.2 km/h good length just outside off stump."
38.6,1,"A Phehlukwayo to MS Dhoni, one run, 131.4 km/h short length outside off stump."
38.5,1,"A Phehlukwayo to R Sharma, one run, 127.3 km/h short length outside off stump."
38.4,•,"A Phehlukwayo to R Sharma, no run, 128.7 km/h full length outside off stump."
38.3,1,"A Phehlukwayo to MS Dhoni, one run, 125.4 km/h good length on middle stump."
38.2,1,"A Phehlukwayo to R Sharma, one run, 132.4 km/h good length just outside off stump."
38.1,•,"A Phehlukwayo to R Sharma, no run, 131.3 km/h good length outside off stump."
37.6,4,"C Morris to MS Dhoni, FOUR, 134.3 km/h short length on middle stump."
37.5,•,"C Morris to MS Dhoni, no run, 135.9 km/h good length on middle stump."
37.4,1,"C Morris to R Sharma, one run, 135.0 km/h short length on middle stump."
37.3,•,"C Morris to R Sharma, no run, 131.4 km/h short length on leg stump."
37.2,•,"C Morris to R Sharma, no run, 132.7 km/h good length outside off stump."
37.1,1,"C Morris to MS Dhoni, one run, 128.0 km/h good length just outside off stump."
36.6,•,"A Phehlukwayo to R Sharma, no run, 124.3 km/h good length on off stump."
36.5,4,"A Phehlukwayo to R Sharma, FOUR, 125.5 km/h short length outside off stump."
36.4,•,"A Phehlukwayo to R Sharma, no run, 127.4 km/h good length just outside off stump."
36.3,•,"A Phehlukwayo to R Sharma, no run, 127.6 km/h short length outside off stump."
36.2,•,"A Phehlukwayo to R Sharma, no run, 129.4 km/h full length just outside off stump."
36.1,•,"A Phehlukwayo to R Sharma, no run, 124.2 km/h good length outside off stump."
35.6,•,"T Shamsi to MS Dhoni, no run, 80.8 km/h good length outside off stump."
35.5,1,"T Shamsi to R Sharma, one run, 81.0 km/h good length just outside off stump."
35.4,1,"T Shamsi to MS Dhoni, one run, 82.6 km/h good length just outside off stump."
35.3,•,"T Shamsi to MS Dhoni, no run, 91.5 km/h good length going down leg."
35.2,1,"T Shamsi to R Sharma, one run, 86.0 km/h full length just outside off stump."
35.1,1,"T Shamsi to MS Dhoni, one run, 84.3 km/h full length just outside off stump."
34.6,•,"I Tahir to R Sharma, no run, 81.9 km/h short length on middle stump."
34.5,1,"I Tahir to MS Dhoni, one run, 78.2 km/h good length outside off stump."
34.4,1,"I Tahir to R Sharma, one run."
34.3,1,"I Tahir to MS Dhoni, one run, 78.4 km/h full toss outside off stump."
34.2,1,"I Tahir to R Sharma, one run, 79.8 km/h good length just outside off stump."
34.1,1,"I Tahir to MS Dhoni, one run, 81.2 km/h good length outside off stump."
33.6,•,"T Shamsi to R Sharma, no run, 86.2 km/h good length going down leg."
33.5,1,"T Shamsi to MS Dhoni, one run, 87.3 km/h full length on leg stump."
