Ball,Runs,Commentary
0.6,1W,"J Archer to M Guptill, WICKET!!! M Guptill is out run out (Jason Roy/Jos Buttler)."
0.5,1,"J Archer to J Neesham, one run."
0.4,2,"J Archer to J Neesham, two runs."
0.3,2,"J Archer to J Neesham, two runs."
0.2,6,"J Archer to J Neesham, SIX."
0.1,2,"J Archer to J Neesham, two runs."
0.1,1Wd,"J Archer to J Neesham, wide delivery."
0.6,4,"T Boult to J Buttler, FOUR, 133.7 km/h full toss on leg stump."
0.5,2,"T Boult to J Buttler, two runs, 135.5 km/h full toss just outside off stump."
0.4,1,"T Boult to B Stokes, one run, 133.1 km/h full toss going down leg."
0.3,4,"T Boult to B Stokes, FOUR, 134.3 km/h full length on middle stump."
0.2,1,"T Boult to J Buttler, one run, 134.2 km/h full length on middle stump."
0.1,3,"T Boult to B Stokes, three runs, 134.4 km/h full length going down leg."
49.6,1W,"T Boult to B Stokes, WICKET!!! M Wood is out run out (Jimmy Neesham/Trent Boult), 135.9 km/h full toss going down leg."
49.5,1W,"T Boult to B Stokes, WICKET!!! A Rashid is out run out (Mitchell Santner/Trent Boult), 133.1 km/h full length on middle stump."
49.4,6,"T Boult to B Stokes, six runs, 135.0 km/h full toss on middle stump."
49.3,6,"T Boult to B Stokes, SIX, 137.3 km/h full length just outside off stump."
49.2,•,"T Boult to B Stokes, no run, 134.3 km/h full length just outside off stump."
49.1,•,"T Boult to B Stokes, no run, 138.6 km/h full toss just outside off stump."
48.6,W,"J Neesham to J Archer, WICKET!!! J Archer is out b Jimmy Neesham, 118.2 km/h full length on middle stump."
48.5,1,"J Neesham to B Stokes, one run, 141.0 km/h full length going down leg."
48.4,6,"J Neesham to B Stokes, SIX, 114.2 km/h full length outside off stump."
48.3,W,"J Neesham to L Plunkett, WICKET!!! L Plunkett is out c Trent Boult b Jimmy Neesham, 114.4 km/h good length outside off stump."
48.2,1,"J Neesham to B Stokes, one run, 140.4 km/h full toss going down leg."
48.1,1,"J Neesham to L Plunkett, one run, 120.0 km/h good length on off stump."
47.6,1,"T Boult to L Plunkett, one run, 136.0 km/h full toss on middle stump."
47.5,2,"T Boult to L Plunkett, two runs, 135.6 km/h full toss just outside off stump."
47.4,•,"T Boult to L Plunkett, no run, 140.5 km/h short length just outside off stump."
