Ball,Runs,Commentary
32.4,W,"L Malinga to H Hassan, WICKET!!! H Hassan is out b Lasith Malinga, 135.7 km/h full toss on middle stump."
32.3,6,"L Malinga to H Hassan, SIX, 114.5 km/h good length outside off stump."
32.2,•,"L Malinga to H Hassan, no run, 133.3 km/h short length outside off stump."
32.1,1,"L Malinga to M Ur Rahman, one run, 133.5 km/h full length going down leg."
31.6,W,"I Udana to N Zadran, WICKET!!! N Zadran is out run out (Dimuth Karunaratne), 128.6 km/h full length just outside off stump."
31.5,•,"I Udana to N Zadran, no run, 102.6 km/h short length going down leg."
31.4,•,"I Udana to N Zadran, no run, 129.8 km/h short length on off stump."
31.4,5Nb,"I Udana to N Zadran, 5 runs, no-ball."
31.3,•,"I Udana to N Zadran, no run, 130.2 km/h short length going down leg."
31.2,4,"I Udana to N Zadran, FOUR."
31.1,•,"I Udana to N Zadran, no run, 128.8 km/h good length just outside off stump."
30.6,•,"L Malinga to H Hassan, no run."
30.5,•,"L Malinga to H Hassan, no run, 134.3 km/h full toss on leg stump."
30.4,W,"L Malinga to D Zadran, WICKET!!! D Zadran is out b Lasith Malinga, 134.0 km/h full length on middle stump."
30.3,•,"L Malinga to D Zadran, no run."
30.2,•,"L Malinga to D Zadran, no run, 136.1 km/h short length on off stump."
30.1,•,"L Malinga to D Zadran, no run, 132.7 km/h full length on leg stump."
30.1,1Wd,"L Malinga to D Zadran, wide delivery."
29.6,•,"S Lakmal to N Zadran, no run, 128.8 km/h good length outside off stump."
29.5,1,"S Lakmal to D Zadran, one run, 133.7 km/h good length on middle stump."
29.4,•,"S Lakmal to D Zadran, no run, 131.0 km/h short length just outside off stump."
29.3,•,"S Lakmal to D Zadran, no run, 133.9 km/h short length on off stump."
29.2,•,"S Lakmal to D Zadran, no run, 132.1 km/h short length just outside off stump."
29.1,1,"S Lakmal to N Zadran, one run, 128.9 km/h short length on off stump."
28.6,•,"N Pradeep to D Zadran, no run, 131.1 km/h short length just outside off stump."
28.5,1,"N Pradeep to N Zadran, one run, 136.7 km/h short length on middle stump."
28.4,2,"N Pradeep to N Zadran, two runs, 134.2 km/h short length on middle stump."
28.3,•,"N Pradeep to N Zadran, no run, 129.2 km/h short length just outside off stump."
28.2,•,"N Pradeep to N Zadran, no run, 135.8 km/h full length outside off stump."
28.1,•,"N Pradeep to N Zadran, no run, 133.7 km/h short length just outside off stump."
27.6,•,"S Lakmal to D Zadran, no run, 136.6 km/h short length outside off stump."
27.5,1,"S Lakmal to N Zadran, one run, 133.0 km/h good length on off stump."
27.4,1,"S Lakmal to D Zadran, one run, 132.3 km/h good length on leg stump."
27.3,•,"S Lakmal to D Zadran, no run, 135.4 km/h short length on middle stump."
