Ball,Runs,Commentary
34.6,W,"R Khan to H Sohail, WICKET!!! H Sohail is out lbw Rashid Khan, 95.1 km/h good length on middle stump."
49.4,4,"G Naib to I Wasim, FOUR, 129.1 km/h full toss outside off stump."
49.3,2,"G Naib to I Wasim, two runs, 124.4 km/h full length outside off stump."
49.2,1,"G Naib to W Riaz, one run."
49.1,1,"G Naib to I Wasim, one run, 126.8 km/h full toss outside off stump."
48.6,1Lb,"R Khan to I Wasim, 1 leg bye."
48.5,1,"R Khan to W Riaz, one run, 93.4 km/h good length on leg stump."
48.4,•,"R Khan to W Riaz, no run, 85.7 km/h good length just outside off stump."
48.3,2,"R Khan to W Riaz, two runs, 83.2 km/h short length on off stump."
48.2,6,"R Khan to W Riaz, SIX, 94.3 km/h good length on off stump."
48.1,•,"R Khan to W Riaz, no run, 91.1 km/h full length outside off stump."
47.6,•,"M Ur Rahman to I Wasim, no run, 109.4 km/h full toss outside off stump."
47.5,1,"M Ur Rahman to W Riaz, one run, 98.9 km/h short length on middle stump."
47.4,1,"M Ur Rahman to I Wasim, one run, 88.5 km/h full length just outside off stump."
47.3,•,"M Ur Rahman to I Wasim, no run, 97.9 km/h good length outside off stump."
47.2,•,"M Ur Rahman to I Wasim, no run, 98.0 km/h good length just outside off stump."
47.1,•,"M Ur Rahman to I Wasim, no run, 94.0 km/h good length just outside off stump."
46.6,4,"R Khan to W Riaz, FOUR, 85.9 km/h full length outside off stump."
46.5,•,"R Khan to W Riaz, no run, 90.0 km/h good length on leg stump."
46.4,1W,"R Khan to S Khan, WICKET!!! S Khan is out run out (Gulbadin Naib/Ikram Ali Khil), 95.2 km/h short length on leg stump."
46.3,4,"R Khan to S Khan, FOUR, 91.0 km/h good length outside off stump."
46.2,1,"R Khan to I Wasim, one run, 78.4 km/h good length outside off stump."
46.1,•,"R Khan to I Wasim, no run, 83.9 km/h good length just outside off stump."
45.6,1,"G Naib to I Wasim, one run, 127.6 km/h full length on off stump."
45.6,1Wd,"G Naib to I Wasim, wide delivery."
45.5,4,"G Naib to I Wasim, FOUR, 105.0 km/h short length outside off stump."
45.4,4,"G Naib to I Wasim, FOUR, 124.9 km/h full length outside off stump."
45.3,2,"G Naib to I Wasim, two runs, 123.4 km/h short length on middle stump."
45.2,2,"G Naib to I Wasim, two runs, 122.4 km/h good length outside off stump."
45.1,4,"G Naib to I Wasim, FOUR, 123.6 km/h full toss outside off stump."
44.6,1,"S Shinwari to I Wasim, one run, 92.0 km/h short length just outside off stump."
44.5,1,"S Shinwari to S Khan, one run, 81.1 km/h short length on off stump."
44.4,•,"S Shinwari to S Khan, no run, 86.2 km/h good length outside off stump."
44.3,•,"S Shinwari to S Khan, no run, 83.6 km/h good length just outside off stump."
44.2,•,"S Shinwari to S Khan, no run, 81.0 km/h good length on off stump."
44.1,•,"S Shinwari to S Khan, no run, 84.2 km/h good length just outside off stump."
43.6,2,"R Khan to I Wasim, two runs, 85.0 km/h good length going down leg."
43.5,1Lb,"R Khan to S Khan, 1 leg bye."
43.4,1,"R Khan to I Wasim, one run, 93.3 km/h good length on middle stump."
43.3,1,"R Khan to S Khan, one run, 93.4 km/h good length just outside off stump."
43.2,•,"R Khan to S Khan, no run."
43.1,1,"R Khan to I Wasim, one run, 83.3 km/h short length outside off stump."
42.6,1,"M Ur Rahman to I Wasim, one run, 86.1 km/h good length on middle stump."
42.5,2,"M Ur Rahman to I Wasim, two runs, 100.1 km/h short length outside off stump."
42.4,1,"M Ur Rahman to S Khan, one run, 99.3 km/h full toss on middle stump."
42.3,•,"M Ur Rahman to S Khan, no run, 96.3 km/h short length on middle stump."
42.2,1,"M Ur Rahman to I Wasim, one run, 94.9 km/h full toss on middle stump."
42.1,•,"M Ur Rahman to I Wasim, no run, 84.7 km/h good length just outside off stump."
41.6,1,"G Naib to I Wasim, one run, 126.8 km/h full length on leg stump."
41.5,4,"G Naib to I Wasim, FOUR, 126.5 km/h full toss just outside off stump."
41.4,•,"G Naib to I Wasim, no run, 120.8 km/h good length on middle stump."
41.3,1,"G Naib to S Khan, one run."
41.2,1,"G Naib to I Wasim, one run, 125.2 km/h full length outside off stump."
41.1,1,"G Naib to S Khan, one run, 122.2 km/h good length on middle stump."
40.6,•,"S Shinwari to I Wasim, no run, 81.1 km/h good length just outside off stump."
40.5,2,"S Shinwari to I Wasim, two runs, 85.2 km/h good length on middle stump."
40.4,1,"S Shinwari to S Khan, one run, 76.7 km/h good length just outside off stump."
40.3,1,"S Shinwari to I Wasim, one run, 79.9 km/h good length just outside off stump."
40.2,•,"S Shinwari to I Wasim, no run, 79.8 km/h short length just outside off stump."
40.1,•,"S Shinwari to I Wasim, no run, 84.4 km/h good length on off stump."
39.6,•,"M Ur Rahman to S Khan, no run, 100.3 km/h good length on off stump."
39.5,•,"M Ur Rahman to S Khan, no run, 90.6 km/h good length on off stump."
39.4,1,"M Ur Rahman to I Wasim, one run, 96.9 km/h full length on middle stump."
39.3,•,"M Ur Rahman to I Wasim, no run."
39.2,•,"M Ur Rahman to I Wasim, no run, 89.6 km/h good length going down leg."
39.1,•,"M Ur Rahman to I Wasim, no run, 98.5 km/h good length on leg stump."
38.6,1W,"R Khan to S Ahmed, WICKET!!! S Ahmed is out run out (Najibullah Zadran/Ikram Ali Khil), 88.3 km/h good length just outside off stump."
38.5,1,"R Khan to I Wasim, one run, 93.2 km/h full toss just outside off stump."
38.4,•,"R Khan to I Wasim, no run, 93.6 km/h short length on middle stump."
38.3,•,"R Khan to I Wasim, no run."
38.2,•,"R Khan to I Wasim, no run, 87.2 km/h good length outside off stump."
38.1,•,"R Khan to I Wasim, no run, 81.1 km/h good length outside off stump."
37.6,4,"G Naib to S Ahmed, FOUR, 98.0 km/h short length just outside off stump."
37.5,1,"G Naib to I Wasim, one run."
37.4,•,"G Naib to I Wasim, no run, 100.6 km/h good length just outside off stump."
37.3,1,"G Naib to S Ahmed, one run, 127.7 km/h good length on leg stump."
37.2,1,"G Naib to I Wasim, one run, 125.9 km/h full length on leg stump."
37.1,1,"G Naib to S Ahmed, one run, 121.9 km/h good length just outside off stump."
36.6,•,"R Khan to I Wasim, no run, 89.3 km/h good length on middle stump."
36.5,•,"R Khan to I Wasim, no run, 96.8 km/h short length on middle stump."
36.4,•,"R Khan to I Wasim, no run, 91.1 km/h good length on off stump."
36.4,1Wd,"R Khan to I Wasim, wide delivery."
36.3,•,"R Khan to I Wasim, no run, 93.9 km/h good length on middle stump."
36.2,•,"R Khan to I Wasim, no run, 86.1 km/h good length just outside off stump."
36.1,•,"R Khan to I Wasim, no run, 83.9 km/h good length outside off stump."
36.1,1Wd,"R Khan to I Wasim, wide delivery."
35.6,•,"M Nabi to S Ahmed, no run, 86.8 km/h good length on middle stump."
35.5,1,"M Nabi to I Wasim, one run, 81.9 km/h full length outside off stump."
35.4,•,"M Nabi to I Wasim, no run, 78.1 km/h good length outside off stump."
35.3,1,"M Nabi to S Ahmed, one run, 80.1 km/h good length outside off stump."
35.2,•,"M Nabi to S Ahmed, no run, 87.1 km/h full length outside off stump."
35.1,•,"M Nabi to S Ahmed, no run, 83.5 km/h good length just outside off stump."
34.7,W,"R Khan to H Sohail, WICKET!!! H Sohail is out lbw Rashid Khan."
34.5,•,"R Khan to H Sohail, no run, 92.6 km/h short length on middle stump."
34.5,1Wd,"R Khan to H Sohail, wide delivery."
34.4,•,"R Khan to H Sohail, no run, 77.9 km/h short length outside off stump."
34.3,•,"R Khan to H Sohail, no run, 83.7 km/h good length outside off stump."
34.2,•,"R Khan to H Sohail, no run, 94.6 km/h short length on middle stump."
34.1,1,"R Khan to S Ahmed, one run, 93.3 km/h good length outside off stump."
33.6,•,"M Nabi to H Sohail, no run, 80.8 km/h good length outside off stump."
33.5,1,"M Nabi to S Ahmed, one run, 90.9 km/h good length just outside off stump."
33.4,1,"M Nabi to H Sohail, one run, 87.8 km/h good length on middle stump."
33.3,1,"M Nabi to S Ahmed, one run, 81.4 km/h good length on middle stump."
33.2,1,"M Nabi to H Sohail, one run, 83.8 km/h good length just outside off stump."
33.1,1,"M Nabi to S Ahmed, one run, 86.1 km/h good length on middle stump."
32.6,•,"S Shinwari to H Sohail, no run, 82.7 km/h good length just outside off stump."
32.5,2,"S Shinwari to H Sohail, two runs, 80.8 km/h short length just outside off stump."
32.4,•,"S Shinwari to H Sohail, no run, 76.5 km/h good length on off stump."
32.3,•,"S Shinwari to H Sohail, no run, 77.2 km/h full length going down leg."
32.2,•,"S Shinwari to H Sohail, no run, 76.7 km/h good length going down leg."
32.1,1,"S Shinwari to S Ahmed, one run, 80.9 km/h good length outside off stump."
31.6,•,"M Nabi to H Sohail, no run, 86.3 km/h good length just outside off stump."
31.5,1Lb,"M Nabi to S Ahmed, 1 leg bye."
31.4,•,"M Nabi to S Ahmed, no run, 77.0 km/h good length just outside off stump."
31.3,1,"M Nabi to H Sohail, one run, 81.7 km/h good length just outside off stump."
31.2,•,"M Nabi to H Sohail, no run, 84.7 km/h good length on off stump."
31.1,1,"M Nabi to S Ahmed, one run, 81.9 km/h full length just outside off stump."
30.6,•,"S Shinwari to H Sohail, no run, 75.7 km/h full length on off stump."
30.5,1,"S Shinwari to S Ahmed, one run, 77.2 km/h good length just outside off stump."
30.4,1,"S Shinwari to H Sohail, one run, 76.0 km/h full length going down leg."
30.3,2,"S Shinwari to H Sohail, two runs, 79.8 km/h good length outside off stump."
30.2,1,"S Shinwari to S Ahmed, one run, 75.7 km/h good length outside off stump."
30.1,•,"S Shinwari to S Ahmed, no run."
29.6,•,"M Ur Rahman to H Sohail, no run, 90.8 km/h good length just outside off stump."
29.5,1,"M Ur Rahman to S Ahmed, one run, 97.6 km/h short length on off stump."
29.4,1,"M Ur Rahman to H Sohail, one run, 96.3 km/h short length on off stump."
29.3,1,"M Ur Rahman to S Ahmed, one run, 88.2 km/h short length on middle stump."
29.2,•,"M Ur Rahman to S Ahmed, no run, 92.2 km/h full length going down leg."
29.1,W,"M Ur Rahman to M Hafeez, WICKET!!! M Hafeez is out c Hashmatullah Shahidi b Mujeeb Ur Rahman, 91.0 km/h short length outside off stump."
28.6,1,"S Shinwari to M Hafeez, one run, 84.0 km/h good length outside off stump."
28.5,1,"S Shinwari to H Sohail, one run, 81.1 km/h good length on off stump."
28.4,1,"S Shinwari to M Hafeez, one run, 78.7 km/h good length outside off stump."
28.3,•,"S Shinwari to M Hafeez, no run."
28.2,•,"S Shinwari to M Hafeez, no run, 81.9 km/h good length just outside off stump."
28.1,•,"S Shinwari to M Hafeez, no run, 80.5 km/h good length outside off stump."
27.6,•,"G Naib to H Sohail, no run, 129.7 km/h good length going down leg."
27.5,•,"G Naib to H Sohail, no run, 124.7 km/h short length on off stump."
27.4,4,"G Naib to H Sohail, FOUR, 100.0 km/h short length outside off stump."
27.3,•,"G Naib to H Sohail, no run, 124.1 km/h good length outside off stump."
27.2,1B,"G Naib to M Hafeez, 1 bye."
27.1,•,"G Naib to M Hafeez, no run, 95.4 km/h good length outside off stump."
26.6,•,"S Shinwari to H Sohail, no run, 79.3 km/h good length on middle stump."
26.5,•,"S Shinwari to H Sohail, no run, 81.0 km/h good length just outside off stump."
26.4,•,"S Shinwari to H Sohail, no run, 76.7 km/h good length on off stump."
26.3,•,"S Shinwari to H Sohail, no run, 76.0 km/h full length on leg stump."
26.2,•,"S Shinwari to H Sohail, no run, 80.7 km/h good length on off stump."
26.2,1Wd,"S Shinwari to H Sohail, wide delivery."
26.1,4,"S Shinwari to H Sohail, FOUR."
25.6,•,"G Naib to M Hafeez, no run, 124.5 km/h good length outside off stump."
25.5,1,"G Naib to H Sohail, one run."
25.4,1,"G Naib to M Hafeez, one run."
