Ball,Runs,Commentary
41.3,4,"S Gabriel to L Das, FOUR, 126.0 km/h short length on middle stump."
41.2,•,"S Gabriel to L Das, no run, 118.8 km/h short length going down leg."
41.1,2,"S Gabriel to L Das, two runs, 110.7 km/h full toss going down leg."
40.6,1,"J Holder to L Das, one run, 125.5 km/h short length just outside off stump."
40.5,•,"J Holder to L Das, no run, 126.3 km/h short length on middle stump."
40.4,4,"J Holder to L Das, FOUR, 126.8 km/h short length outside off stump."
40.3,1,"J Holder to S Al Hasan, one run, 123.0 km/h short length on off stump."
40.2,1,"J Holder to L Das, one run, 126.2 km/h full length just outside off stump."
40.1,4,"J Holder to L Das, FOUR, 127.9 km/h full length outside off stump."
39.6,1,"S Gabriel to L Das, one run, 120.0 km/h short length on middle stump."
39.5,1,"S Gabriel to S Al Hasan, one run, 127.6 km/h short length just outside off stump."
39.4,•,"S Gabriel to S Al Hasan, no run, 117.6 km/h good length on leg stump."
39.3,1,"S Gabriel to L Das, one run, 140.8 km/h short length going down leg."
39.2,1,"S Gabriel to S Al Hasan, one run, 128.4 km/h short length on off stump."
39.1,2,"S Gabriel to S Al Hasan, two runs, 137.2 km/h full length just outside off stump."
38.6,•,"S Cotterrell to L Das, no run, 118.5 km/h short length on middle stump."
38.5,•,"S Cotterrell to L Das, no run, 123.7 km/h good length outside off stump."
38.4,4,"S Cotterrell to L Das, FOUR, 129.1 km/h short length on leg stump."
38.3,•,"S Cotterrell to L Das, no run, 108.6 km/h short length on middle stump."
38.2,•,"S Cotterrell to L Das, no run, 133.7 km/h full length going down leg."
38.1,1,"S Cotterrell to S Al Hasan, one run, 110.6 km/h short length just outside off stump."
37.6,1,"S Gabriel to S Al Hasan, one run, 134.7 km/h full length just outside off stump."
37.5,4,"S Gabriel to S Al Hasan, FOUR, 132.6 km/h good length on middle stump."
37.4,1,"S Gabriel to L Das, one run, 133.7 km/h full toss outside off stump."
37.3,6,"S Gabriel to L Das, SIX, 138.9 km/h short length on off stump."
37.2,6,"S Gabriel to L Das, SIX, 139.1 km/h full length on off stump."
37.1,6,"S Gabriel to L Das, SIX."
36.6,•,"S Cotterrell to S Al Hasan, no run, 136.1 km/h good length just outside off stump."
36.5,4,"S Cotterrell to S Al Hasan, FOUR, 132.2 km/h full length going down leg."
36.4,•,"S Cotterrell to S Al Hasan, no run, 104.5 km/h good length on leg stump."
36.3,1,"S Cotterrell to L Das, one run, 133.3 km/h short length on middle stump."
36.2,•,"S Cotterrell to L Das, no run, 128.8 km/h good length just outside off stump."
36.1,•,"S Cotterrell to L Das, no run, 132.2 km/h good length just outside off stump."
36.1,1Wd,"S Cotterrell to L Das, wide delivery."
35.6,4,"O Thomas to S Al Hasan, FOUR, 134.2 km/h good length just outside off stump."
35.6,1Wd,"O Thomas to S Al Hasan, wide delivery."
35.6,1Wd,"O Thomas to S Al Hasan, wide delivery."
35.5,2,"O Thomas to S Al Hasan, two runs."
35.4,2,"O Thomas to S Al Hasan, two runs, 126.9 km/h good length just outside off stump."
35.3,1,"O Thomas to L Das, one run, 136.0 km/h good length just outside off stump."
35.2,•,"O Thomas to L Das, no run, 136.6 km/h short length just outside off stump."
35.1,•,"O Thomas to L Das, no run, 136.9 km/h full length on leg stump."
34.6,1,"S Cotterrell to L Das, one run, 135.6 km/h short length just outside off stump."
34.5,1,"S Cotterrell to S Al Hasan, one run, 132.8 km/h full toss just outside off stump."
34.4,•,"S Cotterrell to S Al Hasan, no run, 134.0 km/h good length just outside off stump."
34.3,1,"S Cotterrell to L Das, one run, 126.7 km/h good length on off stump."
34.2,2,"S Cotterrell to L Das, two runs, 132.5 km/h short length on leg stump."
34.1,•,"S Cotterrell to L Das, no run, 131.2 km/h short length outside off stump."
33.6,4,"O Thomas to S Al Hasan, FOUR, 137.5 km/h full length outside off stump."
33.5,1,"O Thomas to L Das, one run, 137.8 km/h good length on middle stump."
33.4,•,"O Thomas to L Das, no run, 139.9 km/h full length on middle stump."
33.3,4,"O Thomas to L Das, FOUR, 132.0 km/h short length on middle stump."
33.2,1,"O Thomas to S Al Hasan, one run, 134.6 km/h short length outside off stump."
