Ball,Runs,Commentary
33.1,4,"J Holder to B Stokes, FOUR, 134.0 km/h full length going down leg."
33.1,5Nb,"J Holder to B Stokes, 5 runs, no-ball."
32.6,•,"O Thomas to J Root, no run, 142.2 km/h short length on middle stump."
32.5,1,"O Thomas to B Stokes, one run, 137.1 km/h short length on leg stump."
32.4,1,"O Thomas to J Root, one run, 138.9 km/h short length on middle stump."
32.3,1,"O Thomas to B Stokes, one run."
32.2,•,"O Thomas to B Stokes, no run, 142.7 km/h good length just outside off stump."
32.1,1,"O Thomas to J Root, one run, 141.0 km/h short length on leg stump."
31.6,•,"S Gabriel to B Stokes, no run, 132.6 km/h short length outside off stump."
31.6,1Wd,"S Gabriel to B Stokes, wide delivery."
31.5,W,"S Gabriel to C Woakes, WICKET!!! C Woakes is out c (Sub), b Shannon Gabriel, 137.1 km/h short length on middle stump."
31.4,1,"S Gabriel to J Root, one run, 138.8 km/h short length just outside off stump."
31.3,2,"S Gabriel to J Root, two runs, 140.0 km/h full length outside off stump."
31.3,1Wd,"S Gabriel to J Root, wide delivery."
31.2,2,"S Gabriel to J Root, two runs, 138.6 km/h short length just outside off stump."
31.1,•,"S Gabriel to J Root, no run, 131.9 km/h full length going down leg."
30.6,•,"O Thomas to C Woakes, no run, 143.5 km/h short length going down leg."
30.5,•,"O Thomas to C Woakes, no run, 134.9 km/h short length on middle stump."
30.5,1Wd,"O Thomas to C Woakes, wide delivery."
30.4,•,"O Thomas to C Woakes, no run, 137.2 km/h good length just outside off stump."
30.3,•,"O Thomas to C Woakes, no run, 137.1 km/h short length just outside off stump."
30.3,1Wd,"O Thomas to C Woakes, wide delivery."
30.2,1,"O Thomas to J Root, one run, 139.4 km/h full length going down leg."
30.1,•,"O Thomas to J Root, no run, 140.7 km/h full length on middle stump."
29.6,•,"S Gabriel to C Woakes, no run, 129.5 km/h short length going down leg."
29.5,•,"S Gabriel to C Woakes, no run, 144.9 km/h short length on off stump."
29.4,•,"S Gabriel to C Woakes, no run, 134.2 km/h short length on leg stump."
29.3,•,"S Gabriel to C Woakes, no run, 135.7 km/h good length on leg stump."
29.2,3,"S Gabriel to J Root, three runs, 136.9 km/h full length on middle stump."
29.1,1,"S Gabriel to C Woakes, one run, 143.1 km/h short length on middle stump."
28.6,1,"C Gayle to C Woakes, one run, 85.5 km/h good length on middle stump."
28.5,1,"C Gayle to J Root, one run, 81.4 km/h good length going down leg."
28.4,1,"C Gayle to C Woakes, one run, 82.3 km/h good length going down leg."
28.3,•,"C Gayle to C Woakes, no run, 78.3 km/h good length going down leg."
28.2,1,"C Gayle to J Root, one run, 84.3 km/h good length going down leg."
28.1,4,"C Gayle to J Root, FOUR, 82.9 km/h good length outside off stump."
27.6,4,"C Brathwaite to C Woakes, FOUR, 124.0 km/h short length on off stump."
27.5,•,"C Brathwaite to C Woakes, no run, 132.4 km/h good length on middle stump."
27.4,1,"C Brathwaite to J Root, one run, 125.3 km/h short length outside off stump."
27.3,1,"C Brathwaite to C Woakes, one run, 121.3 km/h short length just outside off stump."
27.2,1,"C Brathwaite to J Root, one run, 128.6 km/h full length going down leg."
27.1,•,"C Brathwaite to J Root, no run, 129.9 km/h good length on leg stump."
26.6,•,"C Gayle to C Woakes, no run, 85.7 km/h good length on leg stump."
26.5,1,"C Gayle to J Root, one run, 75.9 km/h short length going down leg."
26.4,1,"C Gayle to C Woakes, one run."
26.3,2,"C Gayle to C Woakes, two runs, 79.9 km/h good length going down leg."
26.2,1,"C Gayle to J Root, one run, 90.9 km/h good length going down leg."
26.1,•,"C Gayle to J Root, no run, 80.2 km/h full length going down leg."
25.6,2,"C Brathwaite to C Woakes, two runs, 126.0 km/h short length on middle stump."
