Ball,Runs,Commentary
49.6,4,"N Coulter-Nile to A Nurse, FOUR, 132.1 km/h full length just outside off stump."
49.5,4,"N Coulter-Nile to A Nurse, FOUR, 110.0 km/h short length going down leg."
49.4,4,"N Coulter-Nile to A Nurse, FOUR, 130.0 km/h full length outside off stump."
49.3,4,"N Coulter-Nile to A Nurse, FOUR, 104.1 km/h short length going down leg."
49.2,•,"N Coulter-Nile to A Nurse, no run, 108.4 km/h short length going down leg."
49.1,•,"N Coulter-Nile to A Nurse, no run, 132.8 km/h full toss just outside off stump."
48.6,•,"M Stoinis to O Thomas, no run, 125.9 km/h good length on off stump."
48.5,1,"M Stoinis to A Nurse, one run, 135.0 km/h short length just outside off stump."
48.4,•,"M Stoinis to A Nurse, no run, 133.0 km/h full length on middle stump."
48.3,•,"M Stoinis to A Nurse, no run, 133.3 km/h full length on middle stump."
48.2,•,"M Stoinis to A Nurse, no run, 125.6 km/h full length just outside off stump."
48.1,•,"M Stoinis to A Nurse, no run, 130.4 km/h short length just outside off stump."
47.6,•,"M Starc to O Thomas, no run, 147.1 km/h full toss on leg stump."
47.5,•,"M Starc to O Thomas, no run, 147.2 km/h full length on off stump."
47.4,•,"M Starc to O Thomas, no run, 149.8 km/h full length going down leg."
47.3,W,"M Starc to S Cotterrell, WICKET!!! S Cotterrell is out b Mitchell Starc, 143.1 km/h full length on leg stump."
47.2,1Lb,"M Starc to A Nurse, 1 leg bye."
47.1,•,"M Starc to A Nurse, no run, 143.8 km/h full toss outside off stump."
46.6,1,"M Stoinis to A Nurse, one run, 129.4 km/h full length going down leg."
46.5,1,"M Stoinis to S Cotterrell, one run, 130.8 km/h full length just outside off stump."
46.4,1,"M Stoinis to A Nurse, one run, 130.8 km/h full toss on middle stump."
46.3,•,"M Stoinis to A Nurse, no run, 130.0 km/h full length going down leg."
46.2,•,"M Stoinis to A Nurse, no run, 132.8 km/h short length going down leg."
46.1,•,"M Stoinis to A Nurse, no run, 141.5 km/h full toss just outside off stump."
45.6,W,"M Starc to J Holder, WICKET!!! J Holder is out c Adam Zampa b Mitchell Starc, 135.2 km/h short length going down leg."
45.5,•,"M Starc to J Holder, no run, 139.3 km/h full toss outside off stump."
45.4,•,"M Starc to J Holder, no run, 135.8 km/h full toss just outside off stump."
45.3,W,"M Starc to C Brathwaite, WICKET!!! C Brathwaite is out c Aaron Finch b Mitchell Starc, 124.3 km/h full toss just outside off stump."
45.2,•,"M Starc to C Brathwaite, no run, 142.7 km/h good length just outside off stump."
45.1,1,"M Starc to J Holder, one run, 138.7 km/h good length on off stump."
44.6,1Lb,"P Cummins to J Holder, 1 leg bye."
44.5,•,"P Cummins to J Holder, no run, 132.8 km/h short length on middle stump."
44.4,•,"P Cummins to J Holder, no run, 142.5 km/h good length on off stump."
44.3,1,"P Cummins to C Brathwaite, one run, 118.5 km/h good length on leg stump."
44.2,2,"P Cummins to C Brathwaite, two runs, 131.0 km/h short length on middle stump."
44.1,4,"P Cummins to C Brathwaite, FOUR, 134.4 km/h short length just outside off stump."
43.6,1,"N Coulter-Nile to C Brathwaite, one run, 130.2 km/h short length just outside off stump."
43.5,6,"N Coulter-Nile to C Brathwaite, SIX, 129.4 km/h short length just outside off stump."
43.4,1,"N Coulter-Nile to J Holder, one run, 133.8 km/h short length on off stump."
43.3,•,"N Coulter-Nile to J Holder, no run, 114.3 km/h short length on off stump."
43.2,2,"N Coulter-Nile to J Holder, two runs, 129.2 km/h good length on off stump."
43.1,•,"N Coulter-Nile to J Holder, no run, 114.8 km/h short length just outside off stump."
42.6,•,"P Cummins to C Brathwaite, no run, 133.9 km/h short length on middle stump."
42.5,•,"P Cummins to C Brathwaite, no run, 141.2 km/h full length on off stump."
42.4,•,"P Cummins to C Brathwaite, no run, 132.6 km/h good length outside off stump."
42.3,•,"P Cummins to C Brathwaite, no run, 133.1 km/h short length on off stump."
42.2,1,"P Cummins to J Holder, one run, 118.1 km/h short length going down leg."
42.1,•,"P Cummins to J Holder, no run, 132.0 km/h good length outside off stump."
